Match ID,Team ID,Team Name,Player From ID,Player From Name,Event ID,Event Description,Tags,Period ID,Period Description,Start Minute,Start Second,End Minute,End Second,Intersection Point,Intersection Point Norm,Start X,Start Y,End X,End Y,Next Event Description,Shot On Target
131493,416,COSTA RICA,11332.0,FRANCISCO CALVO,25,Goal,"Headed Shot, From inside the Penalty Area, Corner",1,1t,2,48,3,0,105.00;37.06;0.51,105.00;37.06;0.51,97.54,34.26,105.00,37.06,Pass,False
131493,416,COSTA RICA,11332.0,FRANCISCO CALVO,5,Shot,"On Target, Goal, Big Chance, Headed Shot, From inside the Penalty Area",1,1t,2,48,3,0,105.00;37.06;0.51,105.00;37.06;0.51,97.54,34.26,105.00,37.06,Goal,True
131493,416,COSTA RICA,49651.0,JOSIMAR ALCOCER,25,Goal,"Right, From outside the Penalty Area, Lateral Free Kick",1,1t,6,27,6,39,105.00;31.47;0.15,105.00;31.47;0.15,77.46,24.84,105.00,31.47,"Dribbling
 Suffered",False
131493,416,COSTA RICA,49651.0,JOSIMAR ALCOCER,5,Shot,"On Target, Goal, Right, From outside the Penalty Area",1,1t,6,27,6,39,105.00;31.47;0.15,105.00;31.47;0.15,77.46,24.84,105.00,31.47,Goal,True
131493,787,PARAGUAY,43664.0,RAMON SOSA ACOSTA,5,Shot,"On Target, GK Save, Left, From outside the Penalty Area, Deflected",1,1t,11,14,11,26,0.00;34.00;0.51,105.00;34.00;0.51,74.76,40.78,85.13,41.41,Shot Against,True
131493,787,PARAGUAY,26480.0,JULIO ENCISO,5,Shot,"Left, From outside the Penalty Area, Off Target",1,1t,18,23,18,35,0.00;38.95;6.50,105.00;29.05;6.50,78.70,25.46,105.00,29.05,Shot Against,False
131493,787,PARAGUAY,26480.0,JULIO ENCISO,5,Shot,"On Target, GK Save, Right, From outside the Penalty Area",1,1t,22,29,22,41,0.00;36.49;1.58,105.00;31.51;1.58,78.59,40.68,102.02,34.40,Shot Against,True
131493,787,PARAGUAY,68174.0,DAMIAN JOSUE' BOBADILLA BENITEZ,5,Shot,"Right, From outside the Penalty Area, Off Target",1,1t,23,17,23,29,0.00;42.93;0.25,105.00;25.07;0.25,77.14,47.71,105.00,25.07,Shot Against,False
131493,787,PARAGUAY,43664.0,RAMON SOSA ACOSTA,25,Goal,"Right, From inside the Penalty Area, Offensive Action",2,2t,9,2,9,38,105.00;37.02;1.12,105.00;37.02;1.12,90.61,20.39,105.00,37.02,"Duel 
Won",False
131493,787,PARAGUAY,43664.0,RAMON SOSA ACOSTA,5,Shot,"On Target, Goal, Right, From inside the Penalty Area",2,2t,9,26,9,38,105.00;37.02;1.12,105.00;37.02;1.12,90.61,20.39,105.00,37.02,Shot Against,True
131493,787,PARAGUAY,26480.0,JULIO ENCISO,5,Shot,"Right, From outside the Penalty Area, Off Target",2,2t,11,10,11,22,105.00;40.20;0.64,105.00;40.20;0.64,71.97,24.94,105.00,40.20,Shot Against,False
131493,787,PARAGUAY,26481.0,ANGEL ROMERO,5,Shot,"Left, From outside the Penalty Area, Off Target, Deflected",2,2t,14,45,14,57,105.00;25.63;0.25,105.00;25.63;0.25,85.95,38.09,91.49,35.67,"Possession 
Lost",False
131493,787,PARAGUAY,43664.0,RAMON SOSA ACOSTA,5,Shot,"On Target, GK Save, Promising Action, Left, From inside the Penalty Area",2,2t,15,46,15,58,105.00;31.28;1.25,105.00;31.28;1.25,92.88,17.18,101.89,31.01,Shot Against,True
131493,787,PARAGUAY,11339.0,FABIAN BALBUENA,5,Shot,"On Target, GK Save, Headed Shot, From inside the Penalty Area",2,2t,18,6,18,18,105.00;32.43;1.95,105.00;32.43;1.95,97.44,31.67,102.55,33.08,Shot Against,True
131493,787,PARAGUAY,26480.0,JULIO ENCISO,5,Shot,"On Target, GK Save, Right, From outside the Penalty Area",2,2t,18,48,19,0,105.00;32.71;0.61,105.00;32.71;0.61,73.00,21.42,102.28,33.66,Shot Against,True
131493,787,PARAGUAY,26481.0,ANGEL ROMERO,5,Shot,"On Target, Blocked, Right, Direct Free Kick, From outside the Penalty Area",2,2t,38,30,38,42,105.00;36.65;1.29,105.00;36.65;1.29,84.19,43.37,94.00,38.88,Shot Against,True
131493,787,PARAGUAY,23794.0,OMAR FEDERICO ALDERETE FERNANDEZ,5,Shot,"On Target, Blocked, Left, From outside the Penalty Area",2,2t,46,51,47,3,105.00;31.70;1.48,105.00;31.70;1.48,80.46,28.98,86.98,30.55,Shot Against,True
131493,787,PARAGUAY,26481.0,ANGEL ROMERO,5,Shot,"On Target, GK Save, Promising Action, Right, From inside the Penalty Area",2,2t,48,1,48,13,105.00;31.56;0.86,105.00;31.56;0.86,99.82,32.60,102.15,32.62,Set Pieces,True
