,ID,Code,Description,Extended Description,Percentage on Item ID
0,1,playTime,Play Time,,
1,1a,playTime_MEAN,Play Time average per game,,
2,2,tiri,Shots,,
3,2a,tiri_MEAN,Shots average per game,,
4,3,tiriInPorta,Shots on Target,"A deliberate attempt to score that is on target. Includes all Goals being scored and shots on target saved by the Goalkeeper.
It not includes shots on target that are Blocked by a defending player, preventing the ball from entering the Goal, even if by the last line defender. 
A Blocked Shot is not classified as a Shot On Target.",2
5,3a,tiriInPorta_MEAN,Shots on Target average per game,"A deliberate attempt to score that is on target. Includes all Goals being scored and shots on target saved by the Goalkeeper.
It not includes shots on target that are Blocked by a defending player, preventing the ball from entering the Goal, even if by the last line defender. 
A Blocked Shot is not classified as a Shot On Target.",2
6,3p,tiriInPorta_PERC,Shots on Target percentage on total Shots,"A deliberate attempt to score that is on target. Includes all Goals being scored and shots on target saved by the Goalkeeper.
It not includes shots on target that are Blocked by a defending player, preventing the ball from entering the Goal, even if by the last line defender. 
A Blocked Shot is not classified as a Shot On Target.",2
7,4,tiriDaArea,Shots from Inside the Box,,2
8,4a,tiriDaArea_MEAN,Shots from Inside the Box average per game,,2
9,4p,tiriDaArea_PERC,Shots from Inside the Box percentage on total Shots,,2
10,5,tiriDaFuori,Shots from Outside the Box,,2
11,5a,tiriDaFuori_MEAN,Shots from Outside the Box average per game,,2
12,5p,tiriDaFuori_PERC,Shots from Outside the Box percentage on total Shots,,2
13,6,tiriDiTesta,Head Shot,,2
14,6a,tiriDiTesta_MEAN,Head Shot average per game,,2
15,6p,tiriDiTesta_PERC,Head Shot percentage on total Shots,,2
16,7,tiriDiRigore,Penalties,Penalty Shots,2
17,7a,tiriDiRigore_MEAN,Penalties average per game,Penalty Shots,2
18,7p,tiriDiRigore_PERC,Penalties percentage on total Shots,Penalty Shots,2
19,8,passChiave,Killer Passes,The Killer Pass is a ball transmission that makes a significant contribution to the development of the offensive phase. Killer pass can be - Verticalization and Switch play.,
