Player ID,First Name,Last Name,Known Name,Born Date,Season ID,playTime,playTime_MEAN,passChiave,passChiave_MEAN,passChiaveInArea,passChiaveInArea_PERC,passChiaveInArea_MEAN,pass,pass_MEAN,passInArea,passInArea_PERC,passInArea_MEAN,passRiusciti,passRiusciti_PERC,passRiusciti_MEAN,passInAreaRiusciti,passInAreaRiusciti_PERC,passInAreaRiusciti_MEAN,passRicevuti,passRicevuti_MEAN,passRicevutiInArea,passRicevutiInArea_PERC,passRicevutiInArea_MEAN,giochiPortiereRicevuti,giochiPortiereRicevuti_MEAN,assist,assist_MEAN,assistInArea,assistInArea_PERC,assistInArea_MEAN,perdePalla,perdePalla_MEAN,recuperaPalla,recuperaPalla_MEAN,perdeMetaCampoProria,perdeMetaCampoProria_PERC,perdeMetaCampoProria_MEAN,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,recuperaMetaCampoAvversaria_MEAN,dribbling,dribbling_MEAN,dribblingPositivo,dribblingPositivo_PERC,dribblingPositivo_MEAN,dribblingSub,dribblingSub_MEAN,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,dribblingSubitoNegativo_MEAN,duelli,duelli_MEAN,duelliVinti,duelliVinti_PERC,duelliVinti_MEAN,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliVintiMetaCampo_MEAN,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliPersiMetaCampo_MEAN,duelliAerei,duelliAerei_PERC,duelliAerei_MEAN,duelliAereiVinti,duelliAereiVinti_PERC,duelliAereiVinti_MEAN,duelliTackle,duelliTackle_PERC,duelliTackle_MEAN,duelliTackleVinti,duelliTackleVinti_PERC,duelliTackleVinti_MEAN,falliFatti,falliFatti_MEAN,interventoPositivo,interventoPositivo_MEAN,retiSub,retiSub_MEAN,xG,xG_MEAN,xGoT,xGoT_MEAN,xA,xA_MEAN,xAe,xAe_MEAN,xOvA,xOvA_MEAN,shotQuality,shotQuality_MEAN,np_xG,np_xG_MEAN,op_xG,op_xG_MEAN,tiri,tiri_MEAN,tiriInPorta,tiriInPorta_PERC,tiriInPorta_MEAN,tiriDaArea,tiriDaArea_PERC,tiriDaArea_MEAN,tiriDaFuori,tiriDaFuori_PERC,tiriDaFuori_MEAN,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevuti_MEAN,assistVincenti,assistVincenti_PERC,assistVincenti_MEAN,assistVincentiInArea,assistVincentiInArea_PERC,assistVincentiInArea_MEAN,thirdPass,thirdPass_MEAN,cross,cross_MEAN,traversoni,traversoni_MEAN,traversoniRiusciti,traversoniRiusciti_PERC,traversoniRiusciti_MEAN,traversoniVincenti,traversoniVincenti_PERC,traversoniVincenti_MEAN,palleLaterali,palleLaterali_MEAN,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliFalliDiGioco_MEAN,falliSubiti,falliSubiti_MEAN,inFuorigioco,inFuorigioco_MEAN,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,tiriInPortaDaFuori_MEAN,crossRiusciti,crossRiusciti_PERC,crossRiusciti_MEAN,triangolazione,triangolazione_MEAN,triFatta,triFatta_PERC,triFatta_MEAN,triChiusa,triChiusa_PERC,triChiusa_MEAN,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaArea_MEAN,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,recuperaTerzoOffensivo_MEAN,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,perdeTerzoDifensivo_MEAN,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,giochiPortiereRicevutiMetaCampoAvversaria_MEAN,tiroGol,tiroGol_PERC,tiroGol_MEAN,tiroGolArea,tiroGolArea_PERC,tiroGolArea_MEAN,tiroGolPiede,tiroGolPiede_PERC,tiroGolPiede_MEAN,ammonizioni,ammonizioni_MEAN,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passChiaveRicevutiInArea_MEAN,interventoNegativo,interventoNegativo_MEAN,autogol,autogol_MEAN,tiriDiTesta,tiriDiTesta_PERC,tiriDiTesta_MEAN,tiroGolTesta,tiroGolTesta_PERC,tiroGolTesta_MEAN,parate,parate_MEAN,uscite,uscite_MEAN,tiriInPortaSubitiPortiere,tiriInPortaSubitiPortiere_MEAN,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriInPortaSubitiParati_MEAN,lanci,lanci_MEAN,passaggiPortiere,passaggiPortiere_MEAN,lanciPositivi,lanciPositivi_PERC,lanciPositivi_MEAN,passaggiPortierePositivi,passaggiPortierePositivi_PERC,passaggiPortierePositivi_MEAN,rinvio,rinvio_MEAN,rinvioMano,rinvioMano_PERC,rinvioMano_MEAN,rinvioPiede,rinvioPiede_PERC,rinvioPiede_MEAN,parataMano,parataMano_PERC,parataMano_MEAN,parataPiede,parataPiede_PERC,parataPiede_MEAN,retiSubGK,retiSubGK_MEAN,rinvioDalFondo,rinvioDalFondo_PERC,rinvioDalFondo_MEAN,FxGoT,FxGoT_MEAN,gkGP,gkGP_MEAN,tiriDiRigore,tiriDiRigore_PERC,tiriDiRigore_MEAN,tiroGolRigore,tiroGolRigore_PERC,tiroGolRigore_MEAN,golProcurati,golProcurati_MEAN,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriDaAreaPiccola_MEAN,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolAreaPiccola_MEAN,golSviluppoCorner,golSviluppoCorner_PERC,golSviluppoCorner_MEAN,crossVincenti,crossVincenti_PERC,crossVincenti_MEAN,thirdPassVincenti,thirdPassVincenti_PERC,thirdPassVincenti_MEAN,cutBack,cutBack_MEAN,cutBackRiusciti,cutBackRiusciti_PERC,cutBackRiusciti_MEAN,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,golSviluppoPunizioneCentrale_MEAN,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolFuoriArea_MEAN,tiriRigoreSubiti,tiriRigoreSubiti_MEAN,cutBackVincenti,cutBackVincenti_PERC,cutBackVincenti_MEAN,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,golSviluppoPunizioneLaterale_MEAN,tiriRigoreParati,tiriRigoreParati_PERC,tiriRigoreParati_MEAN,espulsioni,espulsioni_MEAN,doppieAmm,doppieAmm_MEAN,golSviluppoRimessa,golSviluppoRimessa_PERC,golSviluppoRimessa_MEAN,golSviluppoPunizioneDiretta,golSviluppoPunizioneDiretta_PERC,golSviluppoPunizioneDiretta_MEAN
7332,ARLIND,AJETI,AJETI AR.,25-09-1993,2023,294,98,7,2.33,1,14.29%,0.33,111,37.00,3,2.70%,1.00,93,83.78%,31.00,1,33.33%,0.33,85,28.33,1,1.18%,0.33,5,1.67,1,0.33,1,100.00%,0.33,8,2.67,8,2.67,1,12.50%,0.33,1,12.50%,0.33,2,0.67,2,100.00%,0.67,2,0.67,1,50.00%,0.33,20,6.67,10,50.00%,3.33,1,10.00%,0.33,1,10.00%,0.33,12,60.00%,4.00,4,33.33%,1.33,3,15.00%,1.00,3,100.00%,1.00,1,0.33,2,0.67,5,1.67,0.000,0.000,0.000,0.000,0.495,0.165,0.049,0.016,0.339,0.113,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46129,JASIR,ASANI,ASANI J.,19-05-1995,2023,218,73,3,1.00,1,33.33%,0.33,41,13.67,5,12.20%,1.67,31,75.61%,10.33,2,40.00%,0.67,47,15.67,,,,,,2,0.67,1,50.00%,0.33,10,3.33,7,2.33,1,10.00%,0.33,,,,5,1.67,1,20.00%,0.33,6,2.00,5,83.33%,1.67,33,11.00,17,51.52%,5.67,6,35.29%,2.00,6,35.29%,2.00,4,12.12%,1.33,2,50.00%,0.67,11,33.33%,3.67,8,72.73%,2.67,2,0.67,,,3,1.00,0.082,0.027,0.275,0.092,0.697,0.232,0.146,0.049,0.779,0.260,0.193,0.064,0.082,0.027,0.062,0.021,3,1.00,1,33.33%,0.33,1,33.33%,0.33,2,66.67%,0.67,3,6.38%,1.00,1,50.00%,0.33,1,100.00%,0.33,1,0.33,2,0.67,1,0.33,1,100.00%,0.33,1,100.00%,0.33,3,1.00,5,15.15%,1.67,5,1.67,1,0.33,1,100.00%,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25333,KRISTJAN,ASLLANI,ASLLANI K.,09-03-2002,2023,294,98,12,4.00,2,16.67%,0.67,185,61.67,20,10.81%,6.67,155,83.78%,51.67,8,40.00%,2.67,156,52.00,,,,1,0.33,6,2.00,2,33.33%,0.67,17,5.67,9,3.00,4,23.53%,1.33,4,44.44%,1.33,1,0.33,1,100.00%,0.33,3,1.00,3,100.00%,1.00,22,7.33,12,54.55%,4.00,4,33.33%,1.33,6,50.00%,2.00,4,18.18%,1.33,1,25.00%,0.33,8,36.36%,2.67,6,75.00%,2.00,2,0.67,,,5,1.67,0.545,0.182,0.895,0.298,2.487,0.829,0.258,0.086,2.405,0.802,0.350,0.117,0.545,0.182,0.218,0.073,8,2.67,4,50.00%,1.33,1,12.50%,0.33,7,87.50%,2.33,5,3.21%,1.67,,,,,,,,,4,1.33,,,,,,,,,4,1.33,4,18.18%,1.33,4,1.33,1,0.33,3,75.00%,1.00,1,25.00%,0.33,2,0.67,1,50.00%,0.33,1,50.00%,0.33,1,25.00%,0.33,2,22.22%,0.67,2,11.76%,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16535,NEDIM,BAJRAMI,BAJRAMI N.,28-02-1999,2023,260,87,,,,,,82,27.33,6,7.32%,2.00,63,76.83%,21.00,1,16.67%,0.33,83,27.67,1,1.20%,0.33,3,1.00,,,,,,22,7.33,8,2.67,3,13.64%,1.00,1,12.50%,0.33,7,2.33,2,28.57%,0.67,2,0.67,1,50.00%,0.33,23,7.67,9,39.13%,3.00,4,44.44%,1.33,9,100.00%,3.00,3,13.04%,1.00,2,66.67%,0.67,10,43.48%,3.33,4,40.00%,1.33,2,0.67,,,5,1.67,0.338,0.113,0.530,0.177,1.324,0.441,0.000,0.000,1.662,0.554,0.192,0.064,0.338,0.113,0.111,0.037,3,1.00,1,33.33%,0.33,3,100.00%,1.00,,,,9,10.84%,3.00,,,,,,,,,3,1.00,,,,,,,,,3,1.00,,,,,,2,0.67,,,,,,,2,0.67,2,100.00%,0.67,,,,1,100.00%,0.33,1,12.50%,0.33,6,27.27%,2.00,2,66.67%,0.67,1,33.33%,0.33,1,100.00%,0.33,1,100.00%,0.33,1,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36088,IVAN,BALLIU,BALLIU I.,01-01-1992,2023,96,96,,,,,,41,41.00,1,2.44%,1.00,34,82.93%,34.00,,,,30,30.00,,,,,,,,,,,5,5.00,2,2.00,2,40.00%,2.00,,,,,,,,,,,,,,5,5.00,3,60.00%,3.00,1,33.33%,1.00,,,,1,20.00%,1.00,,,,3,60.00%,3.00,2,66.67%,2.00,,,1,1.00,1,1.00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.00%,1.00,1,1.00,,,,,,,,,,,,,,,,,,,,,,,4,80.00%,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50302,MEDON,BERISHA,BERISHA M.,21-10-2003,2023,25,25,,,,,,10,10.00,,,,7,70.00%,7.00,,,,10,10.00,,,,,,,,,,,2,2.00,,,1,50.00%,1.00,,,,,,,,,,,,,,7,7.00,2,28.57%,2.00,1,50.00%,1.00,1,50.00%,1.00,4,57.14%,4.00,1,25.00%,1.00,2,28.57%,2.00,1,50.00%,1.00,1,1.00,,,,,0.032,0.032,0.000,0.000,0.000,0.000,0.000,0.000,-0.088,-0.088,-0.032,-0.032,0.032,0.032,0.032,0.032,1,1.00,,,,,,,1,100.00%,1.00,3,30.00%,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34988,ARMANDO,BROJA,BROJA A.,10-09-2001,2023,115,58,3,1.50,,,,18,9.00,,,,11,61.11%,5.50,,,,32,16.00,3,9.38%,1.50,1,0.50,2,1.00,,,,12,6.00,1,0.50,4,33.33%,2.00,,,,7,3.50,5,71.43%,2.50,,,,,,30,15.00,16,53.33%,8.00,9,56.25%,4.50,9,56.25%,4.50,5,16.67%,2.50,3,60.00%,1.50,11,36.67%,5.50,3,27.27%,1.50,2,1.00,,,2,1.00,0.540,0.270,1.422,0.711,0.130,0.065,0.061,0.031,-0.079,-0.040,0.882,0.441,0.540,0.270,0.540,0.270,2,1.00,2,100.00%,1.00,2,100.00%,1.00,,,,5,15.63%,2.50,,,,,,,,,,,,,,,,,,,,,5,16.67%,2.50,5,2.50,,,,,,,,,,,,,,,,,2,100.00%,1.00,,,,2,16.67%,1.00,,,,,,,,,,,,,1,0.50,3,60.00%,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70041,MIRLIND,DAKU,DAKU M.,01-01-1998,2023,14,14,3,3.00,,,,4,4.00,,,,3,75.00%,3.00,,,,6,6.00,2,33.33%,2.00,,,2,2.00,,,,4,4.00,,,,,,,,,,,,,,1,1.00,,,,5,5.00,3,60.00%,3.00,3,100.00%,3.00,2,66.67%,2.00,1,20.00%,1.00,1,100.00%,1.00,2,40.00%,2.00,1,50.00%,1.00,1,1.00,,,,,0.306,0.306,0.763,0.763,0.416,0.416,0.079,0.079,0.025,0.025,0.457,0.457,0.306,0.306,0.000,0.000,1,1.00,1,100.00%,1.00,1,100.00%,1.00,,,,1,16.67%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.00,,,,,,,1,1.00,,,,1,100.00%,1.00,1,100.00%,1.00,,,,,,,,,,,,,,,,,,,1,1.00,1,100.00%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10288,BERAT,DJIMSITI,DJIMSITI B.,19-02-1993,2023,294,98,5,1.67,,,,145,48.33,,,,133,91.72%,44.33,,,,117,39.00,3,2.56%,1.00,8,2.67,1,0.33,,,,3,1.00,17,5.67,2,66.67%,0.67,3,17.65%,1.00,,,,,,2,0.67,1,50.00%,0.33,21,7.00,14,66.67%,4.67,1,7.14%,0.33,3,21.43%,1.00,9,42.86%,3.00,6,66.67%,2.00,7,33.33%,2.33,5,71.43%,1.67,1,0.33,1,0.33,5,1.67,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.004,-0.200,-0.067,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9.52%,0.67,2,0.67,,,,,,,,,,,,,,,,,,,,1,5.88%,0.33,2,66.67%,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36090,KLAUS,GJASULA,GJASULA K.,14-12-1989,2023,26,26,,,,,,10,10.00,1,10.00%,1.00,6,60.00%,6.00,1,100.00%,1.00,8,8.00,,,,,,,,,,,3,3.00,,,2,66.67%,2.00,,,,,,,,,,,,,,6,6.00,1,16.67%,1.00,,,,2,200.00%,2.00,2,33.33%,2.00,1,50.00%,1.00,3,50.00%,3.00,,,,1,1.00,,,2,2.00,0.412,0.412,1.100,1.100,0.173,0.173,0.000,0.000,0.180,0.180,0.688,0.688,0.412,0.412,0.000,0.000,2,2.00,2,100.00%,2.00,1,50.00%,1.00,1,50.00%,1.00,1,12.50%,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1.00,,,,1,1.00,1,100.00%,1.00,,,,1,50.00%,1.00,,,,2,66.67%,2.00,,,,1,50.00%,1.00,1,100.00%,1.00,1,100.00%,1.00,1,1.00,,,,1,1.00,1,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
