"Player.id","Player.name","Team.ID","Team.Name","total_shots","On Target","Blocked","Left","From outside the Penalty Area","GK Save","Right","Off Target","Offensive Action","Goal","Promising Action","From inside the Penalty Area","Deflected","Corner","Big Chance","Direct Free Kick","Headed Shot","Post","Other"
5825,"Bartosz Salamon",488,"Poland",1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5965,"Bruno Petkovic",4,"Croatia",2,0,0,0,0,1,0,2,0,0,2,2,0,0,0,0,2,0,0
6045,"Josip Ilicic",516,"Slovenia",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6101,"Mateo Kovacic",4,"Croatia",5,4,0,2,3,3,3,1,0,0,1,2,2,0,0,0,0,0,0
6133,"Alvaro Borja Morata Martin",2,"Spain",13,7,4,4,6,3,8,5,1,1,1,7,0,0,3,0,1,0,0
6149,"Stefan De Vrij",411,"Netherlands",4,1,0,0,0,0,0,3,0,1,2,4,0,0,1,0,4,0,0
6167,"Stephan El Shaarawy",1,"Italy",1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6314,"Matteo Darmian",1,"Italy",1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6345,"Bruno Miguel Borges Fernandes",427,"Portugal",10,5,3,1,6,1,9,5,0,1,2,4,2,0,2,1,0,0,0
6351,"Silvan Widmer",418,"Switzerland",2,0,0,0,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0
6403,"Elseid Hysaj",463,"Albania",2,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6420,"Piotr Zielinski",488,"Poland",8,7,3,3,7,4,5,1,0,0,0,1,1,0,0,1,0,0,0
6438,"Nicolo' Barella",1,"Italy",1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6531,"Juraj Kucka",475,"Slovakia",6,3,1,1,3,2,3,3,0,0,2,3,0,0,0,1,2,0,0
7037,"Xherdan Shaqiri",418,"Switzerland",2,1,0,2,2,0,0,1,0,1,0,0,0,1,0,0,0,1,0
7089,"Lukas Haraslin",475,"Slovakia",8,6,2,1,3,4,7,2,0,0,3,5,0,0,0,0,0,0,0
7092,"Marcelo Brozovic",4,"Croatia",3,2,0,0,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0
7218,"Ilkay Gundogan",11,"Germany",6,5,3,4,1,1,1,1,0,1,3,5,0,0,1,0,1,0,0
7227,"Lorenzo Pellegrini",1,"Italy",6,1,0,1,2,1,3,5,0,0,2,4,0,0,1,1,1,0,1
7243,"Luka Modric",4,"Croatia",5,3,2,2,3,0,3,1,1,1,0,2,0,0,1,0,0,0,0
7244,"Ivan Perisic",4,"Croatia",5,3,1,3,3,2,1,2,0,0,1,2,1,0,0,0,1,0,0
7248,"Andrej Kramaric",4,"Croatia",4,1,1,0,1,0,4,2,1,1,1,3,0,0,0,0,0,0,0
7345,"Harry Kane",16,"England",16,11,4,4,4,3,7,4,1,2,4,12,3,0,2,0,5,0,0
7348,"Kyle Walker",16,"England",1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
