Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,triangolazione,triFatta,triFatta_PERC,dribblingSub,duelliAerei,duelliAerei_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistInArea,assistInArea_PERC,crossRiusciti,crossRiusciti_PERC,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliSubiti,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,thirdPass,traversoni,inFuorigioco,tiroGolFuoriArea,tiroGolFuoriArea_PERC,ammonizioni,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,retiSub,retiSubGK
62173,NICUSOR SILVIU,BANCU,BANCU N.,18-09-1992,131342,96,38,28,73.68%,14,1,1,1,5,4,1,20.00%,2,50.00%,3,2,66.67%,1,50.00%,1,50.00%,2,66.67%,2,100.00%,1,0.000,0.000,0.144,0.000,-0.414,0.000,0.000,0.000,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21539,ANDREI,BURCA,BURCA A.,15-04-1993,131342,96,16,12,75.00%,10,,,,1,2,,,,,5,5,100.00%,,,,,5,100.00%,5,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16006,FLORINEL,COMAN,COMAN F.,10-04-1998,131342,64,17,8,47.06%,18,,,,8,2,2,25.00%,,,3,1,33.33%,,,2,200.00%,1,33.33%,,,,0.084,0.112,0.415,0.000,0.278,0.028,0.084,0.084,486,2,1,50.00%,1,50.00%,1,50.00%,2,11.11%,1,50.00%,2,11.11%,1,1,100.00%,1,1,33.33%,1,100.00%,4,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19571,DENIS,DRAGUS,DRAGUS D.,06-07-1999,131342,77,18,14,77.78%,25,,1,1,9,3,3,33.33%,1,33.33%,17,6,35.29%,2,33.33%,7,116.67%,8,47.06%,1,12.50%,1,0.538,0.514,0.222,0.048,0.445,-0.025,0.538,0.000,486,1,1,100.00%,1,100.00%,,,4,16.00%,1,25.00%,1,4.00%,1,,,,4,23.53%,,,2,22.22%,1,1,100.00%,4,22.22%,3,75.00%,1,1,100.00%,1,100.00%,1,100.00%,3,2,66.67%,1,5.88%,2,50.00%,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23248,RADU,DRAGUSIN,DRAGUSIN R.,03-02-2002,131342,96,23,20,86.96%,12,1,,,,8,,,1,12.50%,7,7,100.00%,1,14.29%,,,5,71.43%,5,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,,,,,,,,,,,,,,1,14.29%,,,,,1,,,,,,,,,,,,,,,,,1,14.29%,1,100.00%,1,,,,,,,,,,,,,,,1,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546,IANIS,HAGI,HAGI I.,22-10-1998,131342,33,6,3,50.00%,5,1,1,1,2,,,,,,4,,,,,1,,2,50.00%,,,1,0.000,0.000,0.333,0.000,0.333,0.000,0.000,0.000,486,,,,,,,,,,,,,,,,,,1,25.00%,,,,,,,,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16004,DENNIS,MAN,MAN D.,26-08-1998,131342,64,20,14,70.00%,20,1,1,3,6,2,1,16.67%,2,100.00%,11,5,45.45%,3,60.00%,5,100.00%,6,54.55%,3,50.00%,,0.036,0.142,1.093,0.471,1.128,0.106,0.036,0.036,486,1,1,100.00%,,,1,100.00%,1,5.00%,,,,,,,,,4,36.36%,1,100.00%,2,33.33%,4,2,50.00%,7,35.00%,3,42.86%,3,2,66.67%,,,,,1,1,100.00%,,,1,25.00%,,,,,,,,,,,,,,,,2,100.00%,1,100.00%,2,66.67%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14394,MARIUS,MARIN,MARIN M.,30-08-1998,131342,77,15,13,86.67%,13,,,,2,1,,,,,8,4,50.00%,,,2,50.00%,4,50.00%,3,75.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,,,,,,,,,,1,1,100.00%,2,1,12.50%,,,,,,,,,,,,,,,,,,,,,,1,12.50%,,,1,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18555,RAZVAN,MARIN,MARIN R.,23-05-1996,131342,96,24,19,79.17%,25,,,1,7,1,2,28.57%,,,9,1,11.11%,,,5,500.00%,2,22.22%,,,3,0.034,0.396,0.425,0.053,0.266,0.362,0.034,0.034,486,1,1,100.00%,,,1,100.00%,,,,,2,8.00%,,,,1,1,11.11%,1,100.00%,2,28.57%,2,,,2,8.33%,,,1,,,,,,,1,,,1,11.11%,,,1,,,1,100.00%,,,,,1,100.00%,,,,,,,,,,,,,1,100.00%,1,1,1,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,
24459,VALENTIN,MIHAILA,MIHAILA V.,02-02-2000,131342,33,6,5,83.33%,8,,,,5,2,1,20.00%,,,6,3,50.00%,2,66.67%,2,66.67%,4,66.67%,1,25.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,1,16.67%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
