Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,assist,assistInArea,assistInArea_PERC,cross,traversoni,palleLaterali,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriDaArea,tiriDaArea_PERC,crossRiusciti,crossRiusciti_PERC,triFatta,triFatta_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,dribblingSub,tiriDiTesta,tiriDiTesta_PERC,inFuorigioco,interventoPositivo,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,ammonizioni,cutBack,thirdPass,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiriInPortaSubitiPortiere,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,golProcurati,cutBackRiusciti,cutBackRiusciti_PERC,assistVincenti,assistVincenti_PERC,interventoNegativo,autogol,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,parate,uscite,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC
6345,BRUNO MIGUEL,BORGES FERNANDES,FERNANDES B.,08-09-1994,131343,96,2,1,50.00%,2,100.00%,9,5,55.56%,95,14,14.74%,75,78.95%,5,35.71%,8,9.20%,1,12.50%,87,1,1.15%,1,2,1,50.00%,6,1,7,14,1,1,100.00%,4,4,28.57%,2,50.00%,2,1,50.00%,11,1,9.09%,4,36.36%,2,50.00%,2,50.00%,5,45.45%,2,40.00%,2,18.18%,1,1,1,100.00%,1,1,25.00%,8,57.14%,0.076,0.138,2.095,0.121,1.790,0.063,0.076,0.000,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13033,NELSON,CABRAL SEMEDO,SEMEDO N.,16-11-1993,131343,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9759,JOAO PEDRO,CAVACO CANCELO,JOAO CANCELO,27-05-1994,131343,90,1,1,100.00%,,,6,4,66.67%,80,11,13.75%,71,88.75%,6,54.55%,4,6.25%,,,64,1,1.56%,1,1,1,100.00%,2,,2,10,2,1,50.00%,7,2,20.00%,4,57.14%,2,1,50.00%,9,1,11.11%,4,44.44%,2,50.00%,3,75.00%,3,33.33%,1,33.33%,3,33.33%,,1,,,1,3,42.86%,2,20.00%,0.079,0.351,1.058,0.035,0.856,0.272,0.079,0.000,427,1,100.00%,1,50.00%,1,50.00%,1,33.33%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16209,JOSE' DIOGO,DALOT TEIXEIRA,DALOT J.,18-03-1999,131343,64,1,,,1,100.00%,1,,,41,1,2.44%,39,95.12%,1,100.00%,1,2.94%,,,34,1,2.94%,1,1,,,,,,2,,,,4,1,50.00%,1,25.00%,2,1,50.00%,2,,,1,50.00%,1,100.00%,1,100.00%,,,,,,,,,,,1,1,25.00%,,,0.056,0.000,0.249,0.032,0.305,-0.056,0.056,0.000,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7483,KEPLER LAVERAN,DE LIMA FERREIRA,PEPE,26-02-1983,131343,96,,,,,,5,,,81,,,75,92.59%,,,,,,,64,1,1.56%,1,1,,,,,,2,,,,11,,,3,27.27%,1,1,100.00%,8,,,8,100.00%,1,12.50%,,,4,50.00%,4,100.00%,,,,,,,1,2,18.18%,,,0.000,0.000,0.548,0.032,0.324,0.000,0.000,0.000,427,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7490,CRISTIANO RONALDO,DOS SANTOS AVEIRO,CRISTIANO RONALDO,05-02-1985,131343,96,5,3,60.00%,1,20.00%,2,,,25,,,24,96.00%,,,7,21.21%,5,71.43%,33,7,21.21%,,2,,,,1,1,6,,,,1,,,1,100.00%,,,,8,,,1,12.50%,1,100.00%,5,500.00%,5,62.50%,1,20.00%,3,37.50%,,,1,33.33%,1,,,,,0.874,0.978,0.115,0.085,-0.315,0.104,0.874,0.000,427,4,80.00%,,,,,,,2,66.67%,,2,40.00%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16957,RUBEN,DOS SANTOS GATO ALVES DIAS,RUBEN DIAS,14-05-1997,131343,96,1,,,1,100.00%,4,1,25.00%,95,4,4.21%,89,93.68%,2,50.00%,2,2.35%,,,85,1,1.18%,4,1,1,100.00%,2,,2,5,1,,,7,1,20.00%,5,71.43%,,,,14,,,9,64.29%,4,44.44%,4,44.44%,9,64.29%,6,66.67%,4,28.57%,1,,,,1,2,28.57%,,,0.055,0.000,0.353,0.068,0.078,-0.055,0.055,0.000,427,,,1,50.00%,1,100.00%,3,75.00%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25459,FRANCISCO,FERNANDES DA CONCEICAO,CONCEICAO F.,14-12-2002,131343,6,1,1,100.00%,,,,,,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.675,0.929,0.000,0.000,0.675,0.254,0.675,0.000,427,1,100.00%,,,,,,,1,100.00%,,,,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28928,GONCALO BERNARDO,INACIO,INACIO G.,25-08-2001,131343,32,,,,,,1,,,32,,,28,87.50%,,,,,,,26,,,1,,,,,,,4,,,,5,2,50.00%,,,1,1,100.00%,6,,,4,66.67%,1,25.00%,,,3,50.00%,2,66.67%,2,33.33%,,,,,,,,4,100.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,427,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900,RAFAEL,LEAO,LEAO R.,10-06-1999,131343,64,1,1,100.00%,,,1,1,100.00%,24,6,25.00%,16,66.67%,1,16.67%,6,24.00%,,,25,,,,1,1,100.00%,2,1,6,5,1,,,1,,,1,100.00%,4,2,50.00%,7,1,14.29%,4,57.14%,2,50.00%,3,75.00%,1,14.29%,,,1,14.29%,1,1,,,1,,,,,0.080,0.069,1.200,0.082,1.280,-0.011,0.080,0.000,427,1,100.00%,1,50.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
