Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,interventoPositivo,interventoNegativo,ammonizioni,retiSub,autogol,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,triangolazione,triChiusa,triChiusa_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cutBack,tiriInPortaDaArea,tiriInPortaDaArea_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,triFatta,triFatta_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,inFuorigioco,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,thirdPass,thirdPassVincenti,thirdPassVincenti_PERC,tiriDiTesta,tiriDiTesta_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,parataPiede,parataPiede_PERC
34265,SAMET,AKAYDIN,AKAYDIN S.,13-03-1994,131344,76,3,43,1,2.33%,40,93.02%,35,1,2.86%,7,4,6,3,75.00%,1,16.67%,1,1,100.00%,2,1,50.00%,12,6,50.00%,2,33.33%,2,33.33%,4,33.33%,2,50.00%,4,33.33%,2,50.00%,1,1,1,1,3,1,2,50.00%,0.000,0.000,0.000,0.000,-0.312,0.000,0.000,0.000,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17517,YUNUS,AKGUN,AKGUN Y.,07-07-2000,131344,70,2,20,4,20.00%,16,80.00%,22,1,4.55%,,4,1,,,1,100.00%,3,1,33.33%,,,,11,8,72.73%,3,37.50%,2,25.00%,,,,,5,45.45%,5,100.00%,1,,,,3,,,,0.000,0.000,0.903,0.080,0.673,0.000,0.000,0.000,579,1,50.00%,2,50.00%,2,9.09%,2,1,50.00%,2,2,100.00%,3,1,1,100.00%,2,18.18%,2,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26395,KEREM,AKTURKOGLU,AKTURKOGLU K.,21-10-1998,131344,59,2,17,4,23.53%,9,52.94%,21,3,14.29%,1,7,,1,14.29%,,,4,4,100.00%,3,2,66.67%,13,6,46.15%,5,83.33%,3,50.00%,2,15.38%,,,3,23.08%,1,33.33%,1,,,,3,,,,0.338,0.564,0.704,0.047,0.479,0.226,0.338,0.000,579,,,,,6,28.57%,1,,,1,,,2,1,1,100.00%,,,,,,2,1,50.00%,2,100.00%,1,16.67%,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14828,KAAN,AYHAN,AYHAN K.,10-11-1994,131344,59,2,26,1,3.85%,21,80.77%,20,,,,3,4,1,33.33%,,,,,,1,1,100.00%,5,2,40.00%,,,1,50.00%,1,20.00%,,,1,20.00%,1,100.00%,1,,,,3,,,,0.000,0.000,0.225,0.000,0.110,0.000,0.000,0.000,579,,,,,1,5.00%,,,,,,,,,,,1,20.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35499,ABDULKERIM,BARDAKCI,BARDAKCI A.,07-09-1994,131344,96,5,50,3,6.00%,43,86.00%,37,1,2.70%,3,6,4,3,50.00%,1,25.00%,1,1,100.00%,1,1,100.00%,7,4,57.14%,2,50.00%,2,50.00%,2,28.57%,2,100.00%,2,28.57%,1,50.00%,1,,,1,3,,2,33.33%,0.000,0.000,0.229,0.042,0.097,0.000,0.000,0.000,579,,,1,33.33%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20908,ALTAY,BAYINDIR,BAYINDIR A.,14-04-1998,131344,96,2,33,1,3.03%,28,84.85%,23,,,,3,3,1,33.33%,,,,,,,,,2,2,100.00%,,,,,1,50.00%,1,100.00%,1,50.00%,1,100.00%,,1,,,3,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,40.00%,1,3,3,1,33.33%,6,22,2,33.33%,21,95.45%,2,40.00%,1,20.00%,1,100.00%,3,2.849,-0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7687,HAKAN,CALHANOGLU,CALHANOGLU H.,08-02-1994,131344,96,9,71,8,11.27%,63,88.73%,51,,,2,3,6,1,33.33%,4,66.67%,,,,1,,,9,5,55.56%,3,60.00%,1,20.00%,1,11.11%,,,5,55.56%,4,80.00%,2,,,,3,,2,66.67%,0.000,0.000,1.768,0.000,1.768,0.000,0.000,0.000,579,1,11.11%,3,37.50%,1,1.96%,,,,1,,,1,,,,,,,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21437,MEHMET ZEKI,CELIK,CELIK M. Z.,17-02-1997,131344,96,1,45,4,8.89%,38,84.44%,35,3,8.57%,3,2,4,,,1,25.00%,,,,4,2,50.00%,21,6,28.57%,1,16.67%,7,116.67%,6,28.57%,2,33.33%,8,38.10%,2,25.00%,3,,,1,3,,,,0.000,0.000,0.535,0.000,-0.039,0.000,0.000,0.000,579,,,1,25.00%,4,11.43%,,,,1,,,3,1,,,,,,,,,,,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
19107,MERIH,DEMIRAL,DEMIRAL M.,05-03-1998,131344,20,,11,1,9.09%,9,81.82%,10,,,1,1,1,,,,,,,,1,,,3,3,100.00%,1,33.33%,,,,,,,2,66.67%,2,100.00%,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
34287,ARDA,GULER,GULER A.,25-02-2005,131344,26,1,23,4,17.39%,20,86.96%,22,,,,4,1,1,25.00%,1,100.00%,3,,,2,2,100.00%,7,,,,,4,,,,,,1,14.29%,,,1,,,,,,,,0.034,0.419,0.866,0.000,0.426,0.385,0.034,0.000,579,,,2,50.00%,1,4.55%,,,,1,,,1,1,1,100.00%,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,
