Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,cross,palleLaterali,perdePalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,falliFatti,ammonizioni,passChiave,giochiPortiereRicevuti,triangolazione,triFatta,triFatta_PERC,recuperaPalla,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,falliSubiti,assist,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,interventoNegativo,dribbling,thirdPass,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assistInArea,assistInArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,crossRiusciti,crossRiusciti_PERC,dribblingPositivo,dribblingPositivo_PERC,inFuorigioco,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossVincenti,crossVincenti_PERC,triChiusa,triChiusa_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC
32904,MARTIN,ADAM,ADAM M.,06-11-1994,131347,18,7,1,14.29%,3,42.86%,2,33.33%,6,1,1,1,1,100.00%,2,2,100.00%,2,100.00%,1,50.00%,1,100.00%,1,50.00%,1,100.00%,1,0.000,0.000,0.214,0.000,0.214,0.000,0.000,0.000,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25144,BENDEGUZ,BOLLA,BOLLA B.,22-11-1999,131347,52,23,1,4.35%,17,73.91%,1,5.88%,17,1,2,2,1,50.00%,3,1,33.33%,1,100.00%,,,,,2,66.67%,1,50.00%,1,0.000,0.000,0.324,0.000,0.324,0.000,0.000,0.000,487,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31879,MARTON,DARDAI,DARDAI M.,12-02-2002,131347,18,13,1,7.69%,12,92.31%,,,11,,,,,,3,2,66.67%,,,,,,,1,33.33%,1,100.00%,1,0.000,0.000,0.235,0.000,0.013,0.000,0.000,0.000,487,1,,2,2,1,1,100.00%,1,1,33.33%,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9498,ATTILA,FIOLA,FIOLA A.,17-02-1990,131347,99,42,2,4.76%,33,78.57%,2,5.88%,34,1,1,7,3,42.86%,10,5,50.00%,1,20.00%,3,30.00%,1,33.33%,5,50.00%,3,60.00%,3,0.000,0.000,0.474,0.048,0.474,0.000,0.000,0.000,487,1,,2,4,,,,5,,,2,40.00%,,1,1,20.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130,PETER,GULACSI,GULACSI P.,06-05-1990,131347,99,29,,,26,89.66%,,,20,,,1,1,100.00%,2,1,50.00%,,,1,50.00%,1,100.00%,,,,,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,487,,,,,,,,3,,,,,,,,,1,1,100.00%,4,3,1,11,4,36.36%,2,21,2,100.00%,18,85.71%,6,4,66.67%,1,16.67%,4,100.00%,3,1,16.67%,4.437,1.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31072,MILOS,KERKEZ,KERKEZ M.,07-11-2003,131347,81,30,5,16.67%,13,43.33%,2,9.09%,22,4,5,8,,,7,4,57.14%,,,,,,,2,28.57%,1,50.00%,2,0.000,0.000,0.839,0.000,0.839,0.000,0.000,0.000,487,1,,1,1,,,,4,3,42.86%,2,50.00%,3,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11136,LASZLO,KLEINHEISLER,KLEINHEISLER L.,08-04-1994,131347,31,13,,,12,92.31%,1,10.00%,10,,,1,,,3,1,33.33%,,,1,33.33%,1,100.00%,1,33.33%,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,487,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11131,ADAM,LANG,LANG A.,17-01-1993,131347,47,20,1,5.00%,15,75.00%,,,9,,,2,,,4,3,75.00%,2,66.67%,2,50.00%,1,50.00%,2,50.00%,2,100.00%,2,0.000,0.000,0.188,0.000,0.188,0.000,0.000,0.000,487,,,1,,,,,5,,,1,33.33%,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11135,ADAM,NAGY,NAGY A.,17-06-1995,131347,69,47,,,41,87.23%,1,2.56%,39,,1,2,1,50.00%,4,1,25.00%,1,100.00%,1,25.00%,1,100.00%,3,75.00%,,,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,487,,,3,,,,,3,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14950,WILLI,ORBAN,ORBAN W.,03-11-1992,131347,99,53,4,7.55%,50,94.34%,1,2.86%,35,,,1,,,12,10,83.33%,3,30.00%,6,50.00%,6,100.00%,5,41.67%,3,60.00%,3,0.363,0.654,0.829,0.061,0.902,0.292,0.363,0.363,487,,,5,2,,,,14,,,,,,2,2,14.29%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,100.00%,1,100.00%,1,100.00%,2,40.00%,3,75.00%,1,100.00%,3,8.57%,2,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
