Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInArea,passInArea_PERC,cross,palleLaterali,perdePalla,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,parate,uscite,retiSub,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,FxGoT,gkGP,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,giochiPortiereRicevuti,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,triangolazione,triFatta,triFatta_PERC,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,inFuorigioco,interventoNegativo,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,triChiusa,triChiusa_PERC,tiriDaFuori,tiriDaFuori_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoniVincenti,traversoniVincenti_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,dribblingPositivo,dribblingPositivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,crossRiusciti,crossRiusciti_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,golProcurati,tiriDiRigore,tiriDiRigore_PERC,tiroGolRigore,tiroGolRigore_PERC,tiroGolPiede,tiroGolPiede_PERC,interventoPositivo,parataPiede,parataPiede_PERC
13905,MATUS,BERO,BERO M.,06-09-1995,131349,3,2,2,100.00%,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23166,ROBERT,BOZENIK,BOZENIK R.,18-11-1999,131349,24,6,4,66.67%,8,0.000,0.000,0.349,0.000,0.349,0.000,0.000,0.000,475,2,33.33%,2,2,3,7,2,28.57%,2,100.00%,4,200.00%,4,57.14%,1,25.00%,2,28.57%,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13138,MARTIN,DUBRAVKA,DUBRAVKA M.,15-01-1989,131349,98,29,23,79.31%,24,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,475,,,,,5,1,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,,3,4,80.00%,4,2,1,5,4,80.00%,1,2,21,2,100.00%,18,85.71%,6,1,16.67%,1,16.67%,4,100.00%,1,4,66.67%,6,120.00%,1.466,0.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9297,ONDREJ,DUDA,DUDA O.,05-12-1994,131349,95,53,37,69.81%,39,0.306,0.763,0.783,0.048,0.879,0.456,0.306,0.306,475,5,9.43%,,,11,15,9,60.00%,4,44.44%,6,66.67%,6,40.00%,5,83.33%,5,33.33%,3,60.00%,3,2,3,27.27%,,,1,,,,,,,,,,,,,,,,,,,,,6,54.55%,,,1,1,100.00%,1,100.00%,1,100.00%,1,1,20.00%,2,5.13%,1,50.00%,1,2.56%,1,1,6.67%,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48512,DAVID,DURIS,DURIS D.,22-03-1999,131349,17,2,1,50.00%,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,475,,,,,,1,,,,,,,,,,,1,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5590,NORBERT,GYOMBER,GYOMBER N.,03-07-1992,131349,3,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16819,DAVID,HANCKO,HANCKO D.,13-12-1997,131349,98,54,37,68.52%,39,0.100,0.000,1.573,0.000,1.314,-0.100,0.100,0.100,475,7,12.96%,,4,10,16,8,50.00%,3,37.50%,5,62.50%,3,18.75%,2,66.67%,5,31.25%,4,80.00%,2,6,1,10.00%,,,1,,,,,,,,,,,,,,,,,,,,,2,20.00%,,,1,,,1,100.00%,,,,2,28.57%,2,5.13%,1,50.00%,2,5.13%,,1,6.25%,1,,,,,,,,,,1,16.67%,1,4,2,50.00%,1,1,100.00%,3,2,1,50.00%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089,LUKAS,HARASLIN,HARASLIN L.,26-05-1996,131349,73,18,15,83.33%,12,0.109,0.149,0.825,0.034,0.934,0.040,0.109,0.109,475,6,33.33%,,,4,8,3,37.50%,2,66.67%,2,66.67%,1,12.50%,,,5,62.50%,2,40.00%,,5,2,50.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,50.00%,2,100.00%,,,2,4,66.67%,2,16.67%,,,1,8.33%,2,,,,,,,,,,1,100.00%,,2,40.00%,,,,,1,,,,2,1,50.00%,1,,2,100.00%,2,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6531,JURAJ,KUCKA,KUCKA J.,26-02-1987,131349,98,34,28,82.35%,33,0.163,0.279,0.211,0.084,-0.008,0.116,0.163,0.163,475,2,5.88%,,1,6,12,4,33.33%,2,50.00%,5,125.00%,7,58.33%,4,57.14%,3,25.00%,,,1,4,4,66.67%,,,1,,,,,,,,,,,,,,,,,,,,,4,66.67%,,,2,2,100.00%,1,50.00%,1,50.00%,1,1,50.00%,1,3.03%,1,100.00%,2,6.06%,1,,,,,,,,,,1,50.00%,,1,25.00%,,1,1,100.00%,,,,,1,1,100.00%,,,1,100.00%,1,100.00%,,,1,50.00%,1,100.00%,1,100.00%,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,
13903,STANISLAV,LOBOTKA,LOBOTKA S.,25-11-1994,131349,98,54,51,94.44%,49,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,475,1,1.85%,,,1,9,7,77.78%,1,14.29%,,,4,44.44%,2,50.00%,2,22.22%,2,100.00%,1,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,1,11.11%,1,,,,,,,,,,1,25.00%,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,
