Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,falliFatti,tiriInPorta,tiriInPorta_PERC,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,assistInArea,assistInArea_PERC,cross,palleLaterali,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,crossRiusciti,crossRiusciti_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,inFuorigioco,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,triangolazione,triFatta,triFatta_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,triChiusa,triChiusa_PERC,interventoNegativo,autogol,tiriDaFuori,tiriDaFuori_PERC,thirdPass,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,crossVincenti,crossVincenti_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,thirdPassVincenti,thirdPassVincenti_PERC,golProcurati,tiroGolTesta,tiroGolTesta_PERC
8284,NATHAN,AKE',AKE' N.,18-02-1995,131350,67,4,40,37,92.50%,21,3,1,6,1,100.00%,2,33.33%,1,4,4,100.00%,1,25.00%,2,50.00%,2,100.00%,1,25.00%,1,100.00%,2,2,200.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,STEFAN,DE VRIJ,DE VRIJ S.,05-02-1992,131350,99,2,55,46,83.64%,38,4,2,7,1,50.00%,,,,14,6,42.86%,1,16.67%,8,57.14%,5,62.50%,5,35.71%,1,20.00%,3,,,0.028,0.000,0.000,0.000,-0.085,-0.028,0.028,0.000,411,1,1,100.00%,1,100.00%,1,2.63%,1,100.00%,1,2.63%,1,16.67%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10420,MEMPHIS,DEPAY,DEPAY M.,13-02-1994,131350,99,3,38,30,78.95%,43,3,13,1,3,23.08%,,,,23,7,30.43%,5,71.43%,7,30.43%,1,14.29%,5,21.74%,2,40.00%,3,,,1.210,0.948,1.664,0.129,1.940,-0.262,1.210,1.173,411,3,3,100.00%,1,33.33%,11,25.58%,3,27.27%,5,11.63%,12,171.43%,1,2,66.67%,2,66.67%,9,23.68%,4,44.44%,3,100.00%,3,2,66.67%,2,2,7,1,14.29%,3,13.04%,3,1,33.33%,1,33.33%,1,100.00%,1,100.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17859,CODY,GAKPO,GAKPO C.,07-05-1999,131350,99,4,20,15,75.00%,28,4,9,1,1,11.11%,1,100.00%,4,24,9,37.50%,8,88.89%,4,16.67%,1,25.00%,12,50.00%,4,33.33%,3,,,0.122,0.365,1.211,0.335,1.115,0.242,0.122,0.097,411,2,2,100.00%,,,3,10.71%,2,66.67%,3,10.71%,8,88.89%,1,1,50.00%,3,75.00%,7,35.00%,6,85.71%,2,50.00%,3,3,100.00%,4,4,1,1,100.00%,2,8.33%,2,,,1,50.00%,1,100.00%,1,100.00%,1,100.00%,3,75.00%,3,75.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22769,LUTSHAREL,GEERTRUIDA,GEERTRUIDA L.,18-07-2000,131350,99,1,62,59,95.16%,48,1,3,4,1,33.33%,1,25.00%,1,14,8,57.14%,4,50.00%,2,14.29%,1,50.00%,6,42.86%,4,66.67%,3,,,0.000,0.000,0.260,0.042,0.260,0.000,0.000,0.000,411,,,,,,,,,,,,2,25.00%,2,,,1,100.00%,1,1.61%,1,100.00%,,,1,1,100.00%,,1,1,,,2,14.29%,2,,,,,,,,,,,,,,,,1,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17372,DONYELL,MALEN,MALEN D.,19-01-1999,131350,73,1,18,11,61.11%,25,,3,1,,,1,100.00%,,12,7,58.33%,5,71.43%,,,,,1,8.33%,,,2,,,0.307,0.000,0.770,0.038,0.936,-0.307,0.307,0.307,411,1,1,100.00%,,,2,8.00%,1,50.00%,2,8.00%,5,71.43%,1,,,1,100.00%,5,27.78%,2,40.00%,,,1,1,100.00%,2,4,6,3,50.00%,4,33.33%,4,,,,,,,,,,,,,,,,,,,1,,,1,1,100.00%,1,100.00%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24902,TIJJANI,REIJNDERS,REIJNDERS T.,29-07-1998,131350,67,3,17,15,88.24%,20,2,4,5,2,50.00%,2,40.00%,1,10,4,40.00%,2,50.00%,,,,,6,60.00%,2,33.33%,2,2,50.00%,0.198,0.000,0.140,0.083,0.005,-0.198,0.198,0.167,411,2,1,50.00%,,,3,15.00%,1,33.33%,2,10.00%,4,100.00%,,,,2,66.67%,2,11.76%,2,100.00%,,,1,1,100.00%,,,2,,,1,10.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20888,JERDY,SCHOUTEN,SCHOUTEN J.,12-01-1997,131350,99,4,46,38,82.61%,35,1,5,5,2,40.00%,2,40.00%,1,8,5,62.50%,3,60.00%,2,25.00%,1,50.00%,3,37.50%,1,33.33%,3,,,0.100,0.366,0.000,0.026,-0.096,0.266,0.100,0.100,411,1,1,100.00%,,,3,8.57%,1,33.33%,1,2.86%,1,20.00%,,1,100.00%,,,,,,,,,1,,,,1,1,1,100.00%,1,12.50%,1,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36670,XAVI,SIMONS,SIMONS X.,21-04-2003,131350,65,1,20,17,85.00%,23,1,2,3,2,100.00%,1,33.33%,1,9,4,44.44%,1,25.00%,1,11.11%,,,3,33.33%,,,2,2,100.00%,0.004,0.000,0.601,0.056,0.605,-0.004,0.004,0.000,411,1,,,,,3,13.04%,,,,,1,25.00%,,,,1,100.00%,5,25.00%,2,40.00%,,,1,1,100.00%,2,3,3,2,66.67%,1,11.11%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28334,MICKY,VAN DE VEN,VAN DE VEN M.,19-04-2001,131350,32,,29,23,79.31%,22,2,2,2,,,,,,6,4,66.67%,,,1,16.67%,,,1,16.67%,1,100.00%,1,,,0.000,0.000,0.239,0.000,-0.200,0.000,0.000,0.000,411,,,,,,,,,,2,9.09%,2,50.00%,,,,,,1,3.45%,,,,,,,,,,3,2,66.67%,1,16.67%,1,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
