Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,retiSub,golProcurati,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,assist,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,falliFatti,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,ammonizioni,tiriDaFuori,tiriDaFuori_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoCorner,golSviluppoCorner_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,parate,uscite,interventoPositivo,interventoNegativo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,traversoni,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiRigore,tiriDiRigore_PERC,assistVincenti,assistVincenti_PERC,inFuorigioco,tiroGolRigore,tiroGolRigore_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossVincenti,crossVincenti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC
13395,JAN,BEDNAREK,BEDNAREK J.,12-04-1996,131352,95,1,1,100.00%,1,100.00%,3,1,33.33%,47,1,2.13%,41,87.23%,1,100.00%,1,3.45%,1,100.00%,29,1,3.45%,4,2,13,1,7.69%,2,1,50.00%,10,3,30.00%,8,80.00%,1,12.50%,2,20.00%,1,50.00%,3,30.00%,3,100.00%,3,1,100.00%,3,1,0.250,0.164,0.000,0.000,-0.011,-0.086,0.250,0.000,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13401,ADAM,BUKSA,BUKSA A.,12-07-1996,131352,60,,,,,,2,,,7,2,28.57%,5,71.43%,,,3,25.00%,,,12,1,8.33%,,6,,,,1,1,100.00%,11,1,9.09%,5,45.45%,3,60.00%,1,9.09%,1,100.00%,7,63.64%,3,42.86%,1,,,1,,0.000,0.000,0.499,0.058,0.347,0.000,0.000,0.000,488,1,1,16.67%,5,100.00%,1,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13396,PAWEL,DAWIDOWICZ,DAWIDOWICZ P.,20-05-1995,131352,95,1,,,1,100.00%,4,,,50,,,45,90.00%,,,1,3.03%,1,100.00%,33,1,3.03%,3,1,7,1,14.29%,,,,14,,,6,42.86%,2,33.33%,6,42.86%,4,66.67%,4,28.57%,2,50.00%,,,,3,,0.099,0.000,0.000,0.000,-0.079,-0.099,0.099,0.000,488,,,,,,4,,,1,100.00%,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13402,PRZEMYSLAW,FRANKOWSKI,FRANKOWSKI P.,12-04-1995,131352,95,,,,,,4,2,50.00%,46,5,10.87%,32,69.57%,2,40.00%,,,,,36,,,2,6,3,1,33.33%,2,1,50.00%,11,,,8,72.73%,1,12.50%,2,18.18%,1,50.00%,4,36.36%,4,100.00%,,,,3,,0.000,0.000,1.112,0.145,1.112,0.000,0.000,0.000,488,3,1,16.67%,3,37.50%,1,,,,,,,,2,66.67%,5,2,40.00%,6,4,2,50.00%,2,50.00%,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121,KAMIL,GROSICKI,GROSICKI K.,08-06-1988,131352,19,1,,,1,100.00%,,,,5,2,40.00%,2,40.00%,,,1,20.00%,1,100.00%,5,1,20.00%,,4,,,,,,,2,,,1,50.00%,1,100.00%,,,,,1,50.00%,1,100.00%,,,,1,,0.373,0.000,0.145,0.000,0.314,-0.373,0.373,0.000,488,,,,1,100.00%,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27368,JAKUB,KIWIOR,KIWIOR J.,15-02-2000,131352,95,,,,,,2,1,50.00%,56,1,1.79%,48,85.71%,1,100.00%,,,,,35,2,5.71%,2,3,8,1,12.50%,,,,12,,,11,91.67%,2,18.18%,5,41.67%,4,80.00%,5,41.67%,5,100.00%,,,,3,,0.000,0.000,0.261,0.056,-0.115,0.000,0.000,0.000,488,1,2,66.67%,1,9.09%,,,,,,,,,1,100.00%,,,,1,,,,,,2,2,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7449,ROBERT,LEWANDOWSKI,LEWANDOWSKI R.,21-08-1988,131352,35,,,,,,1,,,4,,,4,100.00%,,,1,12.50%,,,8,,,,2,,,,,,,9,2,22.22%,6,66.67%,2,33.33%,1,11.11%,,,1,11.11%,1,100.00%,2,,,2,,0.000,0.000,0.143,0.049,0.143,0.000,0.000,0.000,488,1,,,3,50.00%,1,,,,,,,,,,,,,,,,,,,4,3,75.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23936,JAKUB,MODER,MODER J.,07-04-1999,131352,49,,,,,,2,,,23,1,4.35%,20,86.96%,,,2,8.70%,,,23,,,,3,,,,,,,8,1,12.50%,4,50.00%,2,50.00%,3,37.50%,2,66.67%,2,25.00%,,,1,,,2,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,488,,1,33.33%,2,50.00%,1,,,,,,,,,,,,,,2,1,50.00%,1,50.00%,1,1,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13404,KRZYSZTOF,PIATEK,PIATEK K.,01-07-1995,131352,60,2,1,50.00%,1,50.00%,,,,9,1,11.11%,6,66.67%,,,3,14.29%,,,21,1,4.76%,5,9,,,,1,1,100.00%,18,2,11.11%,7,38.89%,3,42.86%,8,44.44%,1,12.50%,5,27.78%,3,60.00%,2,1,100.00%,1,,0.533,0.924,0.326,0.000,0.705,0.391,0.533,0.000,488,,1,11.11%,7,100.00%,1,,,,,,,,,,1,,,1,1,1,100.00%,,,1,1,100.00%,,,,,1,50.00%,3,60.00%,1,50.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20278,JAKUB,PIOTROWSKI,PIOTROWSKI J.,04-10-1997,131352,46,,,,,,,,,18,2,11.11%,16,88.89%,2,100.00%,2,11.11%,,,18,2,11.11%,,2,1,,,,,,6,1,16.67%,3,50.00%,1,33.33%,3,50.00%,2,66.67%,2,33.33%,,,1,,,1,,0.000,0.000,0.258,0.000,-0.171,0.000,0.000,0.000,488,,2,100.00%,1,33.33%,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29439,BARTOSZ PIOTR,SLISZ,SLISZ B.,29-03-1999,131352,76,,,,,,2,,,33,,,28,84.85%,,,1,3.23%,1,100.00%,31,2,6.45%,3,4,2,,,2,2,100.00%,17,2,11.76%,8,47.06%,3,37.50%,5,29.41%,3,60.00%,4,23.53%,2,50.00%,2,,,2,,0.000,0.000,0.224,0.044,0.017,0.000,0.000,0.000,488,1,3,75.00%,6,75.00%,3,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20285,KAROL,SWIDERSKI,SWIDERSKI K.,23-01-1997,131352,35,1,1,100.00%,,,,,,4,,,3,75.00%,,,4,57.14%,,,7,,,,2,,,,,,,4,,,1,25.00%,1,100.00%,2,50.00%,,,1,25.00%,,,,,,2,,0.078,0.063,0.000,0.000,-0.065,-0.014,0.078,0.000,488,,,,3,300.00%,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,1,100.00%,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
