Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevuti,assist,assistInArea,assistInArea_PERC,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliPersiMetaCampo,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,falliFatti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,palleLaterali,triChiusa,triChiusa_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,ammonizioni,cross,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliPersiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,thirdPass,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,crossRiusciti,crossRiusciti_PERC,golProcurati,uscite,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,FxGoT,gkGP,traversoni,retiSub,interventoNegativo,autogol,interventoPositivo,traversoniRiusciti,traversoniRiusciti_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK
25551,ALEJANDRO,BAENA RODRIGUEZ,BAENA A.,20-07-2001,131353,26,2,2,100.00%,7,2,28.57%,7,100.00%,2,100.00%,8,1,1,100.00%,2,1,1,100.00%,1,1,50.00%,1,1,100.00%,4,2,1,25.00%,1,25.00%,1,0.000,0.000,0.138,0.063,0.138,0.000,0.000,0.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7486,DANIEL,CARVAJAL RAMOS,CARVAJAL D.,11-01-1992,131353,98,7,,,66,2,3.03%,59,89.39%,,,52,1,,,4,1,,,5,2,50.00%,,,,4,,,,3,75.00%,,0.000,0.000,0.341,0.041,0.341,0.000,0.000,0.000,2,2,3.85%,1,1,100.00%,1,1,100.00%,2,1,100.00%,2,40.00%,1,25.00%,4,100.00%,2,50.00%,3,100.00%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23370,MARC,CUCURELLA SASETA,CUCURELLA M.,22-07-1998,131353,98,4,1,25.00%,59,2,3.39%,55,93.22%,1,50.00%,39,3,1,33.33%,2,,,,14,,,2,,,15,1,2,13.33%,4,26.67%,2,0.000,0.000,0.364,0.165,0.263,0.000,0.000,0.000,2,1,2.56%,,,,1,1,100.00%,3,,,2,14.29%,3,20.00%,12,80.00%,3,25.00%,4,100.00%,3,,2,2,1,50.00%,8.33%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24662,PEDRO,GONZALEZ LOPEZ,PEDRI,25-11-2002,131353,73,4,,,39,3,7.69%,34,87.18%,2,66.67%,43,3,,,5,2,1,50.00%,3,1,20.00%,1,,,10,6,,,5,50.00%,2,0.743,0.502,0.384,0.161,0.676,-0.241,0.743,0.743,2,2,4.65%,,,,,,,,1,50.00%,2,66.67%,1,10.00%,4,40.00%,4,100.00%,2,40.00%,1,,,1,,,150.00%,,,3,2,66.67%,2,66.67%,1,33.33%,1,33.33%,12,27.91%,2,16.67%,1,50.00%,1,50.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13354,RODRIGO,HERNANDEZ CASCANTE,RODRI,22-06-1996,131353,98,4,,,98,,,96,97.96%,,,85,1,,,2,,,,5,1,50.00%,1,,,9,2,2,22.22%,2,22.22%,1,0.107,0.138,0.105,0.046,-0.172,0.031,0.107,0.107,2,,,4,,,,,,,,,2,40.00%,2,22.22%,6,66.67%,3,50.00%,1,50.00%,2,1,,1,1,100.00%,33.33%,1,50.00%,2,1,50.00%,,,2,100.00%,,,5,5.88%,,,,,1,100.00%,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7904,AYMERIC JEAN LOUIS GERARD ALPHONSE,LAPORTE,LAPORTE A.,27-05-1994,131353,98,2,,,84,1,1.19%,75,89.29%,,,71,,,,3,,,,5,1,33.33%,,,,8,3,2,25.00%,3,37.50%,2,0.079,0.000,0.000,0.000,-0.224,-0.079,0.079,0.079,2,1,1.41%,7,,,,,,,,,1,20.00%,1,12.50%,4,50.00%,1,25.00%,1,33.33%,1,,,,,,75.00%,2,100.00%,1,,,1,100.00%,,,1,100.00%,1,1.41%,1,100.00%,,,,,,,1,1,1,100.00%,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24827,ROBIN AIME ROBERT,LE NORMAND,LE NORMAND R.,11-11-1996,131353,98,2,,,68,,,64,94.12%,,,59,,,,1,1,1,100.00%,6,,,2,2,100.00%,18,2,5,27.78%,5,27.78%,3,0.081,0.455,0.000,0.000,-0.321,0.374,0.081,0.000,2,2,3.39%,6,,,,,,,,,2,33.33%,2,11.11%,7,38.89%,1,14.29%,2,40.00%,2,1,,1,1,100.00%,28.57%,2,40.00%,1,1,100.00%,1,100.00%,,,1,100.00%,1,1.69%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13490,MIKEL,MERINO ZAZON,MERINO M.,22-06-1996,131353,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,ALVARO BORJA,MORATA MARTIN,MORATA A.,23-10-1992,131353,79,2,1,50.00%,12,2,16.67%,7,58.33%,1,50.00%,21,2,1,50.00%,7,,,,,3,42.86%,,,,11,7,2,18.18%,5,45.45%,2,0.227,0.558,0.766,0.119,0.541,0.331,0.227,0.227,2,2,9.52%,3,,,,,,1,,,,,1,9.09%,2,18.18%,1,50.00%,1,20.00%,1,,1,1,,,350.00%,,,3,3,100.00%,1,33.33%,2,66.67%,,,5,23.81%,1,20.00%,1,33.33%,2,66.67%,,,,,,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13414,MIKEL,OYARZABAL UGARTE,OYARZABAL M.,21-04-1997,131353,19,,,,,,,,,,,1,,,,1,,,,1,1,100.00%,,,,3,1,1,33.33%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,,,,,,,,,,,,,,1,33.33%,1,33.33%,,,,,1,,,1,,,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24795,AYOZE,PEREZ GUTIERREZ,PEREZ A.,29-07-1993,131353,19,,,,3,,,3,100.00%,,,6,,,,,,,,,,,,,,3,,,,,,,0.354,0.991,0.000,0.000,0.216,0.637,0.354,0.354,2,1,16.67%,,,,,,,,,,,,,,2,66.67%,1,50.00%,,,,,,3,2,66.67%,,,,3,2,66.67%,3,100.00%,,,,,3,50.00%,1,33.33%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16756,FABIAN,RUIZ,FABIAN RUIZ,03-04-1996,131353,95,8,,,87,6,6.90%,80,91.95%,1,16.67%,79,3,,,3,,,,7,,,,,,7,1,,,5,71.43%,1,0.121,0.263,0.474,0.139,-0.052,0.142,0.121,0.121,2,,,1,,,,,,3,,,6,85.71%,1,14.29%,5,71.43%,4,80.00%,3,60.00%,1,,1,1,1,100.00%,20.00%,,,3,2,66.67%,,,3,100.00%,,,4,5.06%,,,,,2,100.00%,6,85.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
