Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevuti,assist,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,interventoPositivo,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,falliFatti,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,inFuorigioco,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,palleLaterali,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,cross,triFatta,triFatta_PERC,tiriDiTesta,tiriDiTesta_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC
17412,MICHEL,AEBISCHER,AEBISCHER M.,06-01-1997,131354,96,2,1,50.00%,40,2,5.00%,33,82.50%,1,50.00%,32,1,6,2,2,100.00%,5,2,33.33%,1,20.00%,4,2,50.00%,3,1,33.33%,14,2,14.29%,9,64.29%,3,33.33%,3,33.33%,5,35.71%,3,60.00%,2,1,4,66.67%,0.000,0.000,0.153,0.065,0.153,0.000,0.000,0.000,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14955,MANUEL,AKANJI,AKANJI M.,19-07-1995,131354,96,,,,41,,,36,87.80%,,,26,,1,,,,7,,,1,14.29%,,,,,,,8,,,5,62.50%,1,20.00%,1,20.00%,5,62.50%,4,80.00%,,1,,,0.000,0.000,0.000,0.000,-0.165,0.000,0.000,0.000,418,1,3.85%,6,3,37.50%,1,33.33%,1,2,2,100.00%,1,14.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26326,ZEKI,AMDOUNI,AMDOUNI Z.,04-12-2000,131354,30,1,,,9,,,7,77.78%,,,13,,4,,,,1,3,75.00%,,,2,2,100.00%,1,1,100.00%,12,1,8.33%,5,41.67%,2,40.00%,4,80.00%,6,50.00%,1,16.67%,1,1,2,50.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,2,2,16.67%,1,50.00%,,,,,,,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52959,KWADWO,DUAH,DUAH K.,24-02-1997,131354,30,,,,9,2,22.22%,5,55.56%,,,12,,8,,,,1,3,37.50%,,,,,,,,,6,1,16.67%,3,50.00%,2,66.67%,2,66.67%,2,33.33%,1,50.00%,1,1,2,25.00%,0.017,0.098,0.450,0.000,0.467,0.081,0.017,0.017,418,,,1,3,50.00%,1,33.33%,,,,,,,,,,1,1,100.00%,1,100.00%,2,16.67%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7809,BREEL,EMBOLO,EMBOLO B.,14-02-1997,131354,67,,,,10,,,8,80.00%,,,21,,9,,,,,3,33.33%,,,2,1,50.00%,,,,23,3,13.04%,15,65.22%,8,53.33%,4,26.67%,15,65.22%,9,60.00%,3,,2,22.22%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,1,2,8.70%,2,100.00%,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10289,REMO,FREULER,FREULER R.,15-04-1992,131354,96,1,1,100.00%,28,1,3.57%,23,82.14%,1,100.00%,26,1,7,,,,4,,,1,25.00%,1,,,4,2,50.00%,16,1,6.25%,7,43.75%,4,57.14%,7,100.00%,6,37.50%,3,50.00%,1,1,,,0.000,0.000,0.200,0.226,0.200,0.000,0.000,0.000,418,1,3.85%,,2,12.50%,1,50.00%,,,,,,,,,2,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24817,DAN,NDOYE,NDOYE D.,25-10-2000,131354,67,,,,19,2,10.53%,12,63.16%,,,24,,10,,,,3,5,50.00%,1,33.33%,1,,,,,,17,1,5.88%,6,35.29%,3,50.00%,3,50.00%,10,58.82%,5,50.00%,1,,4,40.00%,0.825,0.967,0.308,0.000,0.933,0.143,0.825,0.825,418,1,4.17%,,2,11.76%,,,,,,,1,33.33%,,,3,2,1,50.00%,1,50.00%,2,8.33%,,,,,,,,,,,,,,,1,1,50.00%,1,50.00%,1,50.00%,1,50.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24663,FABIAN,RIEDER,RIEDER F.,16-02-2002,131354,67,,,,19,3,15.79%,14,73.68%,1,33.33%,19,,5,,,,2,,,1,50.00%,1,,,1,,,9,,,1,11.11%,1,100.00%,5,500.00%,6,66.67%,,,,,,,0.000,0.000,0.306,0.000,0.306,0.000,0.000,0.000,418,1,5.26%,1,,,,,,,,,,,,,2,,,,,,1,5.26%,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8585,RICARDO,RODRIGUEZ,RODRIGUEZ R.,25-08-1992,131354,96,,,,19,,,17,89.47%,,,12,,,,,,3,,,,,,,,2,1,50.00%,7,,,3,42.86%,1,33.33%,,,3,42.86%,1,33.33%,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,,2,28.57%,1,50.00%,,,,,,,,,,,,,,,1,8.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7798,FABIAN,SCHAR,SCHAR F.,20-12-1991,131354,96,1,,,31,,,28,90.32%,,,20,,2,,,,6,,,2,33.33%,,,,2,2,100.00%,18,1,5.56%,11,61.11%,1,9.09%,2,18.18%,9,50.00%,6,66.67%,1,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,3,6,33.33%,4,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
