Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,cutBack,palleLaterali,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,triangolazione,triChiusa,triChiusa_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cross,triFatta,triFatta_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,ammonizioni,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,interventoPositivo,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,crossRiusciti,crossRiusciti_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoCorner,golSviluppoCorner_PERC
17403,JAKA,BIJOL,BIJOL J.,05-02-1999,131355,98,2,34,1,2.94%,32,94.12%,28,1,3.57%,2,2,6,1,16.67%,2,18,15,83.33%,1,6.67%,1,6.67%,7,38.89%,5,71.43%,8,44.44%,8,100.00%,1,1,0.000,0.000,0.240,0.000,0.240,0.000,0.000,0.000,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23903,DAVID,BREKALO,BREKALO D.,03-12-1998,131355,6,,1,,,,,,,,,,,,,,1,,,,,,,1,100.00%,,,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70169,VANJA,DRKUSIC,DRKUSIC V.,30-10-1999,131355,98,,29,2,6.90%,22,75.86%,22,,,,2,2,1,50.00%,1,15,5,33.33%,1,20.00%,1,20.00%,6,40.00%,2,33.33%,4,26.67%,1,25.00%,2,1,0.000,0.000,0.232,0.000,0.232,0.000,0.000,0.000,516,1,1,2,2,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25095,TIMI MAX,ELSNIK,ELSNIK T.,29-04-1998,131355,92,5,45,3,6.67%,35,77.78%,34,2,5.88%,,4,6,3,50.00%,3,16,9,56.25%,4,44.44%,5,55.56%,4,25.00%,3,75.00%,5,31.25%,3,60.00%,2,,0.150,0.053,0.628,0.121,0.779,-0.098,0.150,0.000,516,,3,2,1,50.00%,1,33.33%,2,1,50.00%,1,50.00%,1,50.00%,1,20.00%,2,66.67%,2,5.88%,2,1,50.00%,1,50.00%,1,100.00%,3,3,100.00%,1,33.33%,1,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23908,ADAM,GNEZDA CERIN,CERIN A.,16-07-1999,131355,98,,52,8,15.38%,43,82.69%,39,,,,8,4,3,75.00%,2,21,12,57.14%,2,16.67%,3,25.00%,3,14.29%,2,66.67%,9,42.86%,6,66.67%,4,1,0.047,0.055,0.583,0.000,0.630,0.008,0.047,0.000,516,,2,1,,,,,1,1,100.00%,,,1,100.00%,,,5,62.50%,,,,,,,,,,,,,,,1,,,1,100.00%,1,1,100.00%,2,25.00%,2,9.52%,2,1,25.00%,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9347,JON,GORENC STANKOVIC,GORENC STANKOVIC J.,14-01-1996,131355,33,,1,,,1,100.00%,1,,,,1,1,1,100.00%,,1,,,,,,,1,100.00%,,,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59411,ERIK,JANZA,JANZA E.,21-06-1993,131355,98,2,46,5,10.87%,32,69.57%,32,,,2,4,3,,,3,16,8,50.00%,,,1,12.50%,2,12.50%,2,100.00%,9,56.25%,4,44.44%,1,1,0.000,0.000,0.741,0.000,0.741,0.000,0.000,0.000,516,,6,,,,2,66.67%,,,,,,,,,,2,40.00%,1,3.13%,,,,,,,,3,,,,,,,,,,1,,,,,1,6.25%,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30898,ZAN,KARNICNIK,KARNICNIK Z.,18-09-1994,131355,98,1,59,1,1.69%,51,86.44%,43,1,2.33%,2,6,6,1,16.67%,1,16,9,56.25%,2,22.22%,,,3,18.75%,1,33.33%,6,37.50%,2,33.33%,,1,0.390,0.828,0.129,0.000,0.206,0.437,0.390,0.000,516,,2,4,4,100.00%,1,100.00%,2,1,50.00%,1,50.00%,1,50.00%,,,,,2,4.65%,,,,,,,,1,,,,,3,1,33.33%,,,,2,66.67%,2,33.33%,2,12.50%,2,1,16.67%,2,33.33%,,1,50.00%,1,50.00%,1,100.00%,1,100.00%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13500,JAN,MLAKAR,MLAKAR J.,23-10-1998,131355,64,,21,4,19.05%,13,61.90%,19,1,5.26%,1,9,2,1,50.00%,,8,3,37.50%,2,66.67%,3,100.00%,2,25.00%,1,50.00%,4,50.00%,1,25.00%,1,,0.106,0.267,0.740,0.000,0.846,0.162,0.106,0.000,516,1,1,1,1,100.00%,,,1,1,100.00%,1,100.00%,,,,,1,25.00%,1,5.26%,,,,,,,,,,,,,2,1,50.00%,,,,1,50.00%,1,11.11%,,,,1,50.00%,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7660,JAN,OBLAK,OBLAK J.,07-01-1993,131355,98,,20,,,18,90.00%,9,,,,2,3,,,,1,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,2,100.00%,,,,,,,,,,,,2,4,7,4,3,75.00%,4,5,3,75.00%,5,100.00%,11,1,9.09%,4,36.36%,2,50.00%,1,25.00%,1,6,54.55%,3.408,2.408,,,,,,,,,,,,,,
