Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,duelli,duelliPersiMetaCampo,duelliAerei,duelliAerei_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,triangolazione,triFatta,triFatta_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliVinti,duelliVinti_PERC,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,falliFatti,ammonizioni,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,passRicevutiInArea,passRicevutiInArea_PERC,traversoni,assist,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,crossRiusciti,crossRiusciti_PERC,triChiusa,triChiusa_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiriDiTesta,tiriDiTesta_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,assistInArea,assistInArea_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cutBackVincenti,cutBackVincenti_PERC,inFuorigioco,thirdPass,thirdPassVincenti,thirdPassVincenti_PERC
27419,VELJKO,BIRMANCEVIC,BIRMANCEVIC V.,05-03-1998,131356,20,1,1,100.00%,1,100.00%,5,1,20.00%,2,40.00%,5,1,1,2,3,1,33.33%,1,2,1,1,50.00%,1,100.00%,0.081,0.209,0.219,0.000,0.300,0.128,0.081,0.000,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7373,NEMANJA,GUDELJ,GUDELJ N.,16-11-1991,131356,47,,,,,,35,,,34,97.14%,34,1,,,1,1,100.00%,1,6,2,1,16.67%,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,467,2,1,1,100.00%,1,1,100.00%,1,100.00%,1,1,100.00%,1,16.67%,200.00%,1,16.67%,2,1,1,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23948,IVAN,ILIC,ILIC I.,17-03-2001,131356,49,1,1,100.00%,1,100.00%,40,,,39,97.50%,38,,,,1,1,100.00%,,10,,1,10.00%,1,100.00%,0.029,0.186,0.000,0.000,0.029,0.157,0.029,0.000,467,1,,,,,,,,,3,1,33.33%,5,50.00%,,3,30.00%,2,,,2,200.00%,1,2.63%,1,10.00%,1,20.00%,1,100.00%,1,33.33%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9803,LUKA,JOVIC,JOVIC L.,23-12-1997,131356,33,,,,,,4,1,25.00%,2,50.00%,6,,,1,2,,,1,3,1,2,66.67%,,,0.000,0.000,0.306,0.000,-0.005,0.000,0.000,0.000,467,,,,,,,,1,100.00%,,,,2,66.67%,50.00%,,,,,,,,,,,,1,50.00%,1,50.00%,,,,2,33.33%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9103,FILIP,KOSTIC,KOSTIC F.,01-11-1992,131356,43,,,,,,15,3,20.00%,8,53.33%,10,,3,3,5,,,3,6,2,1,16.67%,,,0.000,0.000,0.610,0.000,0.610,0.000,0.000,0.000,467,1,,,,1,,,1,33.33%,2,1,50.00%,3,50.00%,66.67%,,,,,1,,,,,,,1,33.33%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11563,SASA,LUKIC,LUKIC S.,13-08-1996,131356,63,,,,,,53,2,3.77%,50,94.34%,46,,,1,4,,,2,10,2,,,,,0.000,0.000,0.192,0.000,0.192,0.000,0.000,0.000,467,2,,,,4,1,25.00%,,,3,1,33.33%,5,50.00%,40.00%,3,30.00%,2,,1,,,1,2.17%,,,3,60.00%,,,3,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14076,NIKOLA,MILENKOVIC,MILENKOVIC N.,12-10-1997,131356,96,,,,,,83,,,78,93.98%,64,2,,,1,,,,19,2,7,36.84%,,,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.000,467,1,,,,13,4,30.77%,,,,,,10,52.63%,20.00%,9,47.37%,2,,1,,,,,1,5.26%,2,20.00%,5,71.43%,4,44.44%,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8627,SERGEJ,MILINKOVIC-SAVIC,MILINKOVIC-SAVIC S.,27-02-1995,131356,96,1,,,1,100.00%,56,8,14.29%,46,82.14%,58,1,2,2,10,1,10.00%,,15,8,3,20.00%,,,0.026,0.000,1.281,0.047,1.102,-0.026,0.026,0.000,467,3,1,,,2,1,50.00%,,,1,1,100.00%,3,20.00%,266.67%,7,46.67%,4,,1,,,4,6.90%,,,1,33.33%,,,3,42.86%,,4,6.90%,,1,1,33.33%,2,25.00%,1,100.00%,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7569,ALEKSANDAR,MITROVIC,MITROVIC A.,16-09-1994,131356,63,1,,,,,16,1,6.25%,12,75.00%,22,4,,,6,1,16.67%,1,15,7,4,26.67%,,,0.188,0.000,0.166,0.000,-0.221,-0.188,0.188,0.000,467,,,,,1,,,,,1,1,100.00%,6,40.00%,116.67%,7,46.67%,1,,1,,,5,22.73%,1,6.67%,3,50.00%,3,75.00%,2,28.57%,1,1,4.55%,,,,,,,3,75.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8087,FILIP,MLADENOVIC,MLADENOVIC F.,15-08-1991,131356,53,,,,,,27,5,18.52%,23,85.19%,17,,1,3,1,,,1,10,1,1,10.00%,,,0.000,0.000,0.852,0.020,0.852,0.000,0.000,0.000,467,1,,,,3,1,33.33%,1,100.00%,3,2,66.67%,6,60.00%,16.67%,3,30.00%,,,,,,1,5.88%,2,20.00%,4,66.67%,1,100.00%,1,33.33%,2,1,5.88%,1,1,,,2,40.00%,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
