Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliFatti,interventoPositivo,assist,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,thirdPass,interventoNegativo,ammonizioni,tiriDiTesta,tiriDiTesta_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,tiriRigoreParati,tiriRigoreParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,FxGoT,gkGP,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cutBack,inFuorigioco,assistVincentiInArea,assistVincentiInArea_PERC,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,retiSub,cutBackRiusciti,cutBackRiusciti_PERC,traversoni,retiSubGK,traversoniRiusciti,traversoniRiusciti_PERC,tiriDiRigore,tiriDiRigore_PERC
7486,DANIEL,CARVAJAL RAMOS,CARVAJAL D.,11-01-1992,131357,98,1,1,100.00%,1,100.00%,2,59,1,1.69%,53,89.83%,1,2.56%,1,100.00%,39,1,2.56%,1,1,1,1,4,3,75.00%,1,25.00%,8,1,100.00%,2,25.00%,2,2,100.00%,10,1,10.00%,7,70.00%,2,28.57%,1,14.29%,3,30.00%,4,40.00%,4,100.00%,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,12.50%,0.228,0.279,0.199,0.000,0.260,0.052,0.228,0.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23370,MARC,CUCURELLA SASETA,CUCURELLA M.,22-07-1998,131357,98,,,,,,2,55,2,3.64%,44,80.00%,1,2.56%,,,39,,,3,2,2,6,1,,,1,100.00%,4,,,1,25.00%,,,,14,1,7.14%,9,64.29%,4,44.44%,,,6,42.86%,4,28.57%,4,100.00%,1,,,,,,,,,,,,,0.000,0.000,0.340,0.000,0.216,0.000,0.000,0.000,2,1,1,100.00%,4,66.67%,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7754,JOSE' IGNACIO,FERNANDEZ IGLESIAS,NACHO,18-01-1990,131357,98,,,,,,6,59,,,55,93.22%,1,2.33%,,,43,,,3,,,1,2,1,50.00%,1,50.00%,9,1,100.00%,3,33.33%,2,2,100.00%,9,1,11.11%,7,77.78%,4,57.14%,1,14.29%,4,44.44%,2,22.22%,2,100.00%,1,,,,,,,,,,,,,0.000,0.000,0.000,0.063,0.000,0.000,0.000,0.000,2,,,,2,50.00%,,,1,3,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24662,PEDRO,GONZALEZ LOPEZ,PEDRI,25-11-2002,131357,62,,,,,,3,18,1,5.56%,18,100.00%,1,5.56%,,,18,,,,,,1,2,,,2,100.00%,2,,,2,100.00%,1,1,100.00%,9,2,22.22%,6,66.67%,2,33.33%,3,50.00%,,,5,55.56%,3,60.00%,2,,,,,,,,,,,,,0.000,0.000,0.629,0.165,0.500,0.000,0.000,0.000,2,1,1,100.00%,,,,,3,,,,1,33.33%,1,100.00%,1,33.33%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13354,RODRIGO,HERNANDEZ CASCANTE,RODRI,22-06-1996,131357,88,,,,,,3,66,,,60,90.91%,1,1.92%,,,52,,,1,,,3,4,4,100.00%,,,9,,,5,55.56%,1,1,100.00%,17,2,11.76%,8,47.06%,6,75.00%,3,37.50%,4,23.53%,5,29.41%,2,40.00%,2,,,,,,,,,,,1,11.11%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,3,3,100.00%,3,75.00%,2,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24827,ROBIN AIME ROBERT,LE NORMAND,LE NORMAND R.,11-11-1996,131357,98,1,,,1,100.00%,3,53,2,3.77%,43,81.13%,1,2.08%,1,100.00%,48,2,4.17%,8,,,4,,,,,,4,,,4,100.00%,,,,14,1,7.14%,8,57.14%,6,75.00%,3,37.50%,9,64.29%,2,14.29%,2,100.00%,1,,,,,,,,,,,,,0.163,0.000,0.219,0.000,0.101,-0.163,0.163,0.163,2,1,1,100.00%,5,55.56%,1,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13490,MIKEL,MERINO ZAZON,MERINO M.,22-06-1996,131357,28,,,,,,,12,1,8.33%,9,75.00%,2,15.38%,,,13,1,7.69%,2,,1,4,,,,,,1,,,,,,,,8,,,3,37.50%,2,66.67%,5,166.67%,5,62.50%,1,12.50%,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,,,,3,60.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,ALVARO BORJA,MORATA MARTIN,MORATA A.,23-10-1992,131357,70,3,2,66.67%,2,66.67%,,12,,,7,58.33%,3,18.75%,1,33.33%,16,1,6.25%,,,,6,,,,,,,1,16.67%,,,,,,16,1,6.25%,8,50.00%,7,87.50%,6,75.00%,3,18.75%,6,37.50%,5,83.33%,1,1,33.33%,1,100.00%,1,100.00%,1,50.00%,,,,,0.499,0.620,0.124,0.000,0.364,0.121,0.499,0.367,2,4,4,100.00%,2,66.67%,2,,,,,,,,,,,,,,,,,,,1,33.33%,1,33.33%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23839,DANIEL,OLMO CARVAJAL,OLMO D.,07-05-1998,131357,36,1,1,100.00%,,,,14,1,7.14%,12,85.71%,2,11.76%,,,17,,,,,,6,1,1,100.00%,,,1,2,33.33%,,,3,1,33.33%,5,,,1,20.00%,,,3,300.00%,1,20.00%,1,20.00%,,,,,,,,,,,,,,,,0.038,0.322,0.000,0.000,0.038,0.284,0.038,0.038,2,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,1,100.00%,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13414,MIKEL,OYARZABAL UGARTE,OYARZABAL M.,21-04-1997,131357,28,,,,,,1,5,,,5,100.00%,1,16.67%,,,6,,,,,,1,1,,,1,100.00%,1,,,,,,,,6,1,16.67%,2,33.33%,2,100.00%,3,150.00%,1,16.67%,2,33.33%,,,1,,,,,,,,,,,,,0.000,0.000,0.000,0.053,0.000,0.000,0.000,0.000,2,,,,1,100.00%,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
