Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,ammonizioni,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,tiriDaArea,tiriDaArea_PERC,assist,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,inFuorigioco,tiroGolArea,tiroGolArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,cross,palleLaterali,triangolazione,triChiusa,triChiusa_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveInArea,passChiaveInArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,thirdPass,thirdPassVincenti,thirdPassVincenti_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,golProcurati,tiriDiRigore,tiriDiRigore_PERC,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,tiroGolRigore,tiroGolRigore_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,giochiPortiereRicevuti,crossRiusciti,crossRiusciti_PERC,triFatta,triFatta_PERC,traversoni,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,interventoNegativo,autogol,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,espulsioni
30865,ROBERT,ANDRICH,ANDRICH R.,22-09-1994,131359,49,2,32,27,84.38%,1,4.76%,21,1,6,4,66.67%,8,1,12.50%,1,100.00%,4,400.00%,1,12.50%,3,37.50%,1,33.33%,4,1,1,16.67%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8214,EMRE,CAN,EMRE CAN,12-01-1994,131359,13,,11,10,90.91%,1,10.00%,10,1,2,,,2,,,,,,,,,1,50.00%,,,1,,,,0.076,0.554,0.112,0.000,-0.018,0.478,0.076,0.076,11,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14216,NICLAS,FULLKRUG,FULLKRUG N.,09-02-1993,131359,31,1,3,3,100.00%,,,3,3,,,,6,4,66.67%,2,50.00%,,,3,50.00%,1,16.67%,,,,,,,0.107,0.457,0.000,0.047,0.107,0.350,0.107,0.107,11,1,1,100.00%,,,1,100.00%,,,1,100.00%,,,1,1,100.00%,1,1,33.33%,1,1,100.00%,1,1,100.00%,3,100.00%,2,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43194,PASCAL,GROSS,GROSS P.,15-06-1991,131359,48,2,71,68,95.77%,1,1.47%,68,2,2,2,100.00%,6,2,33.33%,1,50.00%,3,150.00%,3,50.00%,2,33.33%,1,50.00%,1,,1,50.00%,0.022,0.214,0.553,0.000,0.468,0.192,0.022,0.000,11,1,1,100.00%,1,100.00%,,,,,,,1,100.00%,1,,,,,,,,,,,,1,33.33%,,,,,,3,4.23%,2,66.67%,1,1,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7218,ILKAY,GUNDOGAN,GUNDOGAN I.,24-10-1990,131359,97,1,37,33,89.19%,8,21.05%,38,5,4,3,75.00%,12,7,58.33%,4,57.14%,3,42.86%,3,25.00%,4,33.33%,3,75.00%,1,,1,25.00%,0.345,0.293,0.542,0.000,0.328,-0.052,0.345,0.345,11,2,2,100.00%,,,,,,,,,,,1,2,100.00%,,,,1,1,100.00%,1,1,100.00%,1,33.33%,,,,2,100.00%,3,8.11%,1,33.33%,,,,,,1,50.00%,1,100.00%,2,25.00%,3,7.89%,1,1,100.00%,2,16.67%,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13310,KAI,HAVERTZ,HAVERTZ K.,11-06-1999,131359,66,1,18,13,72.22%,2,10.53%,19,7,1,,,6,3,50.00%,2,66.67%,2,66.67%,3,50.00%,2,33.33%,,,2,,,,0.914,1.432,0.913,0.058,1.563,0.518,0.158,0.000,11,2,2,100.00%,1,50.00%,1,50.00%,,,1,100.00%,1,50.00%,,1,50.00%,1,2,28.57%,,,,,,,3,100.00%,,1,100.00%,1,50.00%,2,11.11%,1,50.00%,,,,,,,,1,100.00%,1,50.00%,4,21.05%,,,,,,,,1,50.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9831,JOSHUA,KIMMICH,KIMMICH J.,08-02-1995,131359,97,5,89,79,88.76%,3,3.90%,77,4,3,2,66.67%,5,3,60.00%,3,100.00%,1,33.33%,,,2,40.00%,2,100.00%,,,2,66.67%,0.025,0.055,1.605,0.262,1.525,0.030,0.025,0.025,11,1,1,100.00%,1,100.00%,,,,,,,1,100.00%,1,,,4,,,,,,3,2,66.67%,,,,,,,,9,10.11%,4,44.44%,5,5,,,,,,2,40.00%,,,1,1.30%,,,,,,,,,,1,25.00%,2,50.00%,,,,,,,1,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7487,TONI,KROOS,KROOS T.,04-01-1990,131359,84,15,103,100,97.09%,,,91,1,5,5,100.00%,4,2,50.00%,2,100.00%,2,100.00%,,,1,25.00%,1,100.00%,1,,3,60.00%,0.000,0.000,0.439,0.083,0.439,0.000,0.000,0.000,11,,,,,,,,,,,,,,,,,3,,,,,,1,1,100.00%,,,,,,,,2,1.94%,,,,,1,,,,,,,,,,,1,1,100.00%,1,25.00%,1,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15741,MAXIMILIAN,MITTELSTADT,MITTELSTADT M.,18-03-1997,131359,97,2,76,66,86.84%,2,2.99%,67,6,6,2,33.33%,11,5,45.45%,3,60.00%,1,20.00%,5,45.45%,,,,,2,,,,0.110,0.109,2.015,0.083,1.834,-0.001,0.110,0.110,11,3,1,33.33%,1,33.33%,,,,,,,,,1,2,66.67%,2,1,16.67%,1,1,100.00%,1,,,1,20.00%,,,,1,100.00%,8,10.53%,3,37.50%,6,8,,,,,,2,100.00%,,,1,1.49%,,,,2,18.18%,2,,,,,,2,100.00%,,,,,2,33.33%,2,2,33.33%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7455,THOMAS,MULLER,MULLER T.,13-09-1989,131359,21,1,12,9,75.00%,1,10.00%,10,1,2,1,50.00%,,,,,,,,,,,,,,,,,,0.000,0.000,0.981,0.034,0.731,0.000,0.000,0.000,11,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,3,25.00%,,,2,2,,,,,,,,1,100.00%,2,20.00%,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
