Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,perdePalla,triangolazione,triChiusa,triChiusa_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,falliFatti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaFuori,tiriDaFuori_PERC,duelliAerei,duelliAerei_PERC,cross,traversoni,palleLaterali,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,triFatta,triFatta_PERC,duelliAereiVinti,duelliAereiVinti_PERC,giochiPortiereRicevuti,inFuorigioco,tiriDiTesta,tiriDiTesta_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,thirdPass,thirdPassVincenti,thirdPassVincenti_PERC,tiroGolPiede,tiroGolPiede_PERC,parataPiede,parataPiede_PERC,traversoniRiusciti,traversoniRiusciti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,ammonizioni
11865,LASZLO,BENES,BENES L.,09-09-1997,131360,36,1,1,100.00%,1,100.00%,1,18,3,16.67%,16,88.89%,1,33.33%,2,11.76%,1,50.00%,17,1,5.88%,1,1,1,1,100.00%,1,100.00%,4,2,50.00%,2,100.00%,4,100.00%,2,50.00%,1,100.00%,1,2,200.00%,0.132,0.317,0.431,0.025,0.430,0.184,0.132,0.000,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23166,ROBERT,BOZENIK,BOZENIK R.,18-11-1999,131360,61,,,,,,,8,,,6,75.00%,,,1,11.11%,,,9,1,11.11%,,5,,,,,,9,3,33.33%,6,200.00%,7,77.78%,3,42.86%,,,1,,,0.000,0.000,0.104,0.000,-0.024,0.000,0.000,0.000,475,1,1,100.00%,3,100.00%,2,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13138,MARTIN,DUBRAVKA,DUBRAVKA M.,15-01-1989,131360,96,,,,,,,34,,,30,88.24%,,,,,,,21,,,,3,,,,2,66.67%,,,,,,,,,,,,2,2,66.67%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,475,3,,,,,,,,2,5,5,2,40.00%,3,22,2,66.67%,21,95.45%,9,5,55.56%,3,33.33%,2,100.00%,2,1,11.11%,1.600,-0.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9297,ONDREJ,DUDA,DUDA O.,05-12-1994,131360,61,1,,,,,4,41,2,4.88%,36,87.80%,,,3,7.14%,,,42,,,1,4,,,,2,50.00%,7,2,28.57%,2,100.00%,5,71.43%,2,40.00%,,,1,2,50.00%,0.040,0.000,0.370,0.044,0.205,-0.040,0.040,0.000,475,1,1,100.00%,1,50.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,14.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16819,DAVID,HANCKO,HANCKO D.,13-12-1997,131360,68,1,1,100.00%,,,,44,5,11.36%,36,81.82%,2,40.00%,4,12.50%,,,32,,,,7,,,,3,42.86%,7,2,28.57%,3,150.00%,1,14.29%,,,,,1,2,28.57%,0.046,0.137,0.709,0.000,0.756,0.091,0.046,0.000,475,5,1,20.00%,1,50.00%,1,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,14.29%,1,2,3,2,1,50.00%,1,1,100.00%,1,14.29%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7089,LUKAS,HARASLIN,HARASLIN L.,26-05-1996,131360,68,2,2,100.00%,1,50.00%,2,20,5,25.00%,15,75.00%,1,20.00%,5,20.00%,,,25,3,12.00%,2,7,,,,1,14.29%,9,6,66.67%,3,50.00%,2,22.22%,1,50.00%,1,50.00%,1,2,28.57%,0.159,0.667,1.329,0.063,1.489,0.508,0.159,0.000,475,,,,6,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,11.11%,4,1,5,4,4,100.00%,,,,1,11.11%,1,1,50.00%,1,50.00%,1,50.00%,1,50.00%,1,100.00%,1,25.00%,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6531,JURAJ,KUCKA,KUCKA J.,26-02-1987,131360,96,1,,,,,2,37,3,8.11%,32,86.49%,1,33.33%,1,2.44%,,,41,3,7.32%,2,7,2,1,50.00%,,,12,3,25.00%,9,300.00%,5,41.67%,,,,,2,,,0.015,0.000,0.359,0.085,-0.238,-0.015,0.015,0.000,475,1,1,100.00%,2,66.67%,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,4,33.33%,,,,1,,,,,,1,8.33%,1,,,1,50.00%,,,1,50.00%,,,,,,,1,50.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13903,STANISLAV,LOBOTKA,LOBOTKA S.,25-11-1994,131360,96,,,,,,4,87,,,84,96.55%,,,2,2.67%,,,75,,,2,2,4,1,25.00%,1,50.00%,11,10,90.91%,1,10.00%,3,27.27%,3,100.00%,,,2,,,0.000,0.000,0.000,0.069,-0.104,0.000,0.000,0.000,475,10,4,40.00%,5,50.00%,,1,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.09%,,,,2,2,100.00%,2,1,50.00%,3,27.27%,3,,,,,,,,,,,,,,,3,75.00%,1,100.00%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26517,ADAM,OBERT,OBERT A.,23-08-2002,131360,29,,,,,,2,25,2,8.00%,20,80.00%,1,50.00%,,,,,19,,,,3,,,,1,33.33%,4,2,50.00%,2,100.00%,1,25.00%,1,100.00%,,,1,2,66.67%,0.000,0.000,0.102,0.000,0.102,0.000,0.000,0.000,475,1,,,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,1,,,,,,,,1,50.00%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9912,PETER,PEKARIK,PEKARIK P.,30-10-1986,131360,96,1,1,100.00%,,,1,48,3,6.25%,43,89.58%,1,33.33%,1,2.63%,,,38,,,,5,,,,1,20.00%,10,5,50.00%,2,40.00%,2,20.00%,1,50.00%,,,2,,,0.024,0.089,0.203,0.000,0.227,0.065,0.024,0.000,475,5,2,40.00%,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,6,60.00%,2,,2,1,,,1,1,100.00%,,,,1,100.00%,,,,,,,,,1,50.00%,,,,,4,66.67%,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
