Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,assist,assistVincenti,assistVincenti_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,triChiusa,triChiusa_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliFatti,falliSubiti,inFuorigioco,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,ammonizioni,interventoNegativo,thirdPass,tiroGolFuoriArea,tiroGolFuoriArea_PERC,traversoni,crossRiusciti,crossRiusciti_PERC,retiSub,tiriDiTesta,tiriDiTesta_PERC,retiSubGK,cutBack
13198,TIMOTHY,CASTAGNE,CASTAGNE T.,05-12-1995,131361,95,55,6,10.91%,41,74.55%,1,16.67%,4,12.50%,32,1,3.13%,2,2,2,4,3,3,100.00%,2,1,50.00%,3,3,100.00%,2,1,50.00%,10,8,80.00%,4,50.00%,2,25.00%,3,30.00%,3,100.00%,2,20.00%,1,50.00%,0.000,0.000,0.639,0.000,0.500,0.000,0.000,0.000,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16557,KOEN,CASTEELS,CASTEELS K.,25-06-1992,131361,95,31,,,25,80.65%,,,,,17,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.044,0.000,0.000,0.000,0.000,428,1,1,1,100.00%,4,5,2,4,4,100.00%,4,13,1,25.00%,13,100.00%,14,4,28.57%,3,21.43%,3,75.00%,1,25.00%,7,50.00%,2.831,2.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8589,KEVIN,DE BRUYNE,DE BRUYNE K.,28-06-1991,131361,95,44,10,22.73%,33,75.00%,5,50.00%,7,15.22%,46,4,8.70%,,,1,8,2,1,50.00%,2,1,50.00%,9,8,88.89%,3,1,33.33%,27,20,74.07%,12,60.00%,7,35.00%,2,7.41%,1,50.00%,7,25.93%,5,71.43%,0.453,1.468,1.561,0.139,1.464,1.015,0.453,0.351,428,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,60.00%,2,40.00%,3,60.00%,2,66.67%,2,66.67%,1,50.00%,4,14.81%,2,4,2,1,20.00%,1,100.00%,1,100.00%,2,66.67%,1,33.33%,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,
36641,ZENO,DEBAST,DEBAST Z.,24-10-2003,131361,18,10,1,10.00%,7,70.00%,,,,,5,,,,,,3,,,,2,1,50.00%,,,,1,1,100.00%,5,2,40.00%,,,2,100.00%,,,,,3,60.00%,2,66.67%,0.000,0.000,0.171,0.053,0.171,0.000,0.000,0.000,428,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,50.00%,2,66.67%,2,66.67%,,,,,,,,,,,,,,,,,
24564,JEREMY,DOKU,DOKU J.,27-05-2002,131361,73,29,8,27.59%,26,89.66%,7,87.50%,5,15.15%,33,3,9.09%,,,,8,,,,5,4,80.00%,19,14,73.68%,4,3,75.00%,31,16,51.61%,10,62.50%,12,75.00%,,,,,7,22.58%,1,14.29%,0.111,0.411,2.002,0.222,1.628,0.299,0.111,0.066,428,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,50.00%,2,100.00%,,,3,60.00%,3,60.00%,,,,,1,,,,,,,,,1,100.00%,,,,,2,40.00%,1,12.50%,,,1,20.00%,,,,,,,,,,,,,,,
17687,WOUT,FAES,FAES W.,03-04-1998,131361,95,73,2,2.74%,67,91.78%,2,100.00%,,,61,,,7,,,1,,,,4,2,50.00%,,,,2,,,9,6,66.67%,2,33.33%,,,3,33.33%,2,66.67%,4,44.44%,2,50.00%,0.000,0.000,0.100,0.000,0.100,0.000,0.000,0.000,428,2,,,,,,,,,,,,,,,,2,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7407,YANNICK,FERREIRA CARRASCO,CARRASCO Y.,04-09-1993,131361,22,4,,,3,75.00%,,,,,6,,,1,,,4,,,,,,,3,3,100.00%,1,,,6,5,83.33%,2,40.00%,1,20.00%,,,,,2,33.33%,1,50.00%,0.000,0.000,0.101,0.000,0.101,0.000,0.000,0.000,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,
9406,ROMELU,LUKAKU,LUKAKU R.,13-05-1993,131361,95,16,5,31.25%,11,68.75%,2,40.00%,4,16.00%,25,7,28.00%,,,,6,1,,,1,1,100.00%,3,2,66.67%,,,,12,7,58.33%,6,85.71%,4,57.14%,4,33.33%,3,75.00%,5,41.67%,2,40.00%,0.912,2.219,1.373,0.109,0.985,1.307,0.912,0.774,428,2,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,100.00%,5,100.00%,,,,,,,1,100.00%,,,,,1,,,,,,,5,100.00%,,,,,,,1,16.67%,,,3,75.00%,,,,,,,,,,,,,,,
17694,DODI,LUKEBAKIO,LUKEBAKIO D.,24-09-1997,131361,57,22,5,22.73%,19,86.36%,3,60.00%,4,13.33%,30,2,6.67%,,,,7,1,,,1,,,8,5,62.50%,,,,19,12,63.16%,7,58.33%,7,58.33%,,,,,5,26.32%,3,60.00%,0.150,0.323,0.396,0.079,0.250,0.173,0.150,0.150,428,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,50.00%,2,100.00%,,,1,50.00%,1,50.00%,1,100.00%,4,21.05%,2,4,,,,,,,,1,100.00%,,,,,,,2,28.57%,2,28.57%,1,25.00%,,,1,,,,,,,,,,,,
17696,OREL,MANGALA,MANGALA O.,18-03-1998,131361,22,3,,,3,100.00%,,,,,1,,,,,,,,,,2,1,50.00%,,,,1,1,100.00%,2,1,50.00%,1,100.00%,,,,,,,1,50.00%,1,100.00%,0.000,0.000,0.000,0.030,0.000,0.000,0.000,0.000,428,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
