Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,triangolazione,triChiusa,triChiusa_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,tiriDaArea,tiriDaArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,triFatta,triFatta_PERC,inFuorigioco,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,thirdPass,interventoPositivo,cross,crossRiusciti,crossRiusciti_PERC,traversoni,palleLaterali,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,FxGoT,gkGP,uscite
24246,ILLIA,BORYSOVYCH ZABARNYI,ZABARNYI I.,01-09-2002,131362,96,8,55,49,89.09%,46,1,6,4,3,2,66.67%,4,2,50.00%,11,6,54.55%,2,33.33%,4,66.67%,1,9.09%,1,100.00%,1,9.09%,1,100.00%,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38393,VOLODYMYR,BRAZHKO,BRAZHKO V.,23-01-2002,131362,72,,23,20,86.96%,23,1,5,2,1,1,100.00%,1,1,100.00%,7,3,42.86%,,,1,33.33%,2,28.57%,,,2,28.57%,1,50.00%,,0.015,0.040,0.000,0.000,-0.109,0.025,0.015,0.015,577,1,1,100.00%,1,100.00%,1,4.35%,1,1,100.00%,1,20.00%,1,14.29%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26396,ARTEM,DOVBYK,DOVBYK A.,21-06-1997,131362,96,2,13,9,69.23%,23,4,7,,1,,,1,1,100.00%,17,10,58.82%,6,60.00%,2,20.00%,12,70.59%,8,66.67%,1,5.88%,1,100.00%,1,0.255,0.396,1.015,0.094,0.694,0.142,0.255,0.129,577,3,1,33.33%,1,33.33%,4,17.39%,2,1,50.00%,3,42.86%,1,5.88%,1,,,2,66.67%,1,7.69%,1,100.00%,2,50.00%,6,26.09%,2,50.00%,2,1,50.00%,1,1,33.33%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14066,RUSLAN,MALINOVSKYI,MALINOVSKYI R.,04-05-1993,131362,25,3,14,12,85.71%,9,,1,4,,,,2,2,100.00%,8,4,50.00%,1,25.00%,,,2,25.00%,1,50.00%,3,37.50%,3,100.00%,1,0.067,0.366,0.183,0.079,0.001,0.300,0.067,0.061,577,2,2,100.00%,2,100.00%,1,11.11%,,,,1,100.00%,,,,2,100.00%,,,2,14.29%,1,50.00%,,,,,,,2,,,,,,,,,1,33.33%,1,50.00%,1,25.00%,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23819,MYKOLA,MATVIENKO,MATVIENKO M.,02-05-1996,131362,96,6,72,67,93.06%,53,1,4,10,,,,,,,4,3,75.00%,1,33.33%,,,1,25.00%,1,100.00%,3,75.00%,2,66.67%,,0.000,0.000,0.148,0.028,0.148,0.000,0.000,0.000,577,,,,,,,,2,2,100.00%,1,25.00%,,,,,,,,3,4.17%,1,33.33%,,,,,,,1,,,,,,,,,1,16.67%,1,100.00%,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19380,VITALIY,MYKOLENKO,MYKOLENKO V.,29-05-1999,131362,58,3,19,16,84.21%,16,,2,2,,,,1,1,100.00%,5,2,40.00%,1,50.00%,1,50.00%,1,20.00%,,,2,40.00%,2,100.00%,1,0.000,0.000,0.366,0.098,0.366,0.000,0.000,0.000,577,,,,,,1,6.25%,,,,,,,,,,,,,4,21.05%,2,50.00%,,,,,,,2,,,,,,,,,1,33.33%,1,50.00%,1,50.00%,,,,,2,2,100.00%,1,3,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
16244,MYKOLA,SHAPARENKO,SHAPARENKO M.,04-10-1998,131362,72,3,33,30,90.91%,32,2,4,,1,1,100.00%,,,,4,3,75.00%,1,33.33%,1,33.33%,1,25.00%,1,100.00%,2,50.00%,1,50.00%,,0.000,0.000,0.162,0.054,-0.254,0.000,0.000,0.000,577,,,,,,4,12.50%,,,,1,25.00%,,,,,,,,1,3.03%,1,100.00%,,,,,,,1,,,,,,,,,1,33.33%,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7747,TARAS,STEPANENKO,STEPANENKO T.,08-08-1989,131362,25,1,16,14,87.50%,11,,2,4,,,,,,,3,2,66.67%,,,1,50.00%,1,33.33%,,,2,66.67%,2,100.00%,,0.093,0.000,0.000,0.000,-0.090,-0.093,0.093,0.000,577,1,,,,,1,9.09%,,,,1,50.00%,,,,,,1,100.00%,,,,,1,100.00%,1,9.09%,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,
24582,GEORGIY,SUDAKOV,SUDAKOV G.,01-09-2002,131362,96,5,42,35,83.33%,42,,8,1,3,3,100.00%,3,3,100.00%,10,3,30.00%,3,100.00%,3,100.00%,2,20.00%,,,2,20.00%,,,,0.393,0.758,0.482,0.113,0.649,0.365,0.393,0.379,577,4,3,75.00%,2,50.00%,8,19.05%,3,,,3,37.50%,,,,1,33.33%,2,50.00%,3,7.14%,3,100.00%,,,,,,,2,3,100.00%,,,,2,66.67%,,1,20.00%,1,50.00%,,,2,25.00%,,,2,2,100.00%,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15781,OLEKSANDR,SVATOK,SVATOK O.,27-09-1994,131362,82,,27,25,92.59%,19,,,4,,,,,,,7,1,14.29%,,,2,200.00%,,,,,5,71.43%,1,20.00%,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,,,,,,,,,,,,,,3,3,100.00%,,,,,,,,,,,,,,,,,,,,,
24578,ANATOLIY,TRUBIN,TRUBIN A.,01-08-2001,131362,96,1,24,18,75.00%,16,,6,2,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,577,,,,,,,,,,,3,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,9,5,55.56%,4,4,4,100.00%,4,11,1,25.00%,10,90.91%,2,22.22%,2,22.22%,3,75.00%,1,25.00%,1.802,1.802,
25840,OLEKSANDR,TYMCHYK,TYMCHYK O.,20-01-1997,131362,96,3,35,32,91.43%,17,1,1,9,,,,4,1,25.00%,21,14,66.67%,3,21.43%,4,28.57%,4,19.05%,3,75.00%,11,52.38%,6,54.55%,,0.000,0.000,0.141,0.042,0.141,0.000,0.000,0.000,577,,,,,,1,5.88%,,,,1,100.00%,2,9.52%,2,,,,,3,8.57%,2,66.67%,,,,,,,1,,,,,,,,,,,,,2,22.22%,,,,,1,1,100.00%,,1,1,11.11%,,,,,,,,,,,,,,,,,,,,,,,,,,
37143,VLADYSLAV,VANAT,VANAT V.,04-01-2002,131362,25,,2,1,50.00%,4,,1,1,,,,,,,4,2,50.00%,,,2,100.00%,,,,,3,75.00%,1,33.33%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,577,,,,,,2,50.00%,,,,,,1,25.00%,1,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17326,ROMAN,YAREMCHUK,YAREMCHUK R.,27-11-1995,131362,72,1,15,12,80.00%,25,,8,,1,1,100.00%,1,1,100.00%,13,5,38.46%,3,60.00%,4,80.00%,4,30.77%,1,25.00%,3,23.08%,1,33.33%,2,0.140,0.315,0.000,0.056,-0.583,0.175,0.140,0.140,577,2,1,50.00%,1,50.00%,8,32.00%,,,,2,25.00%,2,15.38%,2,1,100.00%,1,50.00%,2,13.33%,1,50.00%,2,25.00%,5,20.00%,,,1,,,2,,,,,,,,,,,,2,25.00%,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,
