Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaFuori,tiriDaFuori_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,perdePalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,triangolazione,triFatta,triFatta_PERC,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,inFuorigioco,tiriInPorta,tiriInPorta_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,traversoni,palleLaterali,triChiusa,triChiusa_PERC,duelliAerei,duelliAerei_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliFatti,tiriDaArea,tiriDaArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,traversoniRiusciti,traversoniRiusciti_PERC,cutBack,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,thirdPass,interventoPositivo
11389,TRENT,ALEXANDER-ARNOLD,ALEXANDER-ARNOLD T.,07-10-1998,131363,10,1,1,100.00%,9,1,11.11%,6,66.67%,1,9.09%,11,1,9.09%,1,2,1,50.00%,0.045,0.000,0.203,0.000,0.126,-0.045,0.045,0.000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24532,JUDE,BELLINGHAM,BELLINGHAM J.,29-06-2003,131363,94,,,,56,,,50,89.29%,3,5.36%,56,3,5.36%,,7,1,14.29%,0.000,0.000,0.587,0.000,0.195,0.000,0.000,0.000,16,1,33.33%,1,1,100.00%,1,4,2,50.00%,2,1,50.00%,11,1,9.09%,5,45.45%,3,60.00%,5,100.00%,4,36.36%,1,25.00%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15748,PHILIP WALTER,FODEN,FODEN P.,28-05-2000,131363,89,3,3,100.00%,86,8,9.30%,77,89.53%,2,2.44%,82,1,1.22%,1,11,,,0.157,0.450,1.604,0.074,1.515,0.293,0.157,0.000,16,,,3,,,2,5,3,60.00%,2,2,100.00%,10,,,3,30.00%,3,100.00%,5,166.67%,2,20.00%,,,,2,2,66.67%,2,2,100.00%,4,50.00%,2,2,100.00%,1,1,100.00%,1,2,3,100.00%,1,10.00%,2,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25676,CONOR,GALLAGHER,GALLAGHER C.,06-02-2000,131363,45,,,,22,,,17,77.27%,,,22,,,,4,2,50.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,,,,,,2,1,,,2,2,100.00%,8,1,12.50%,3,37.50%,3,100.00%,3,100.00%,2,25.00%,1,50.00%,1,,,,,,,,,,,,,,,,,,,1,12.50%,,,,1,50.00%,1,100.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35362,ANTHONY,GORDON,GORDON A.,24-02-2001,131363,5,,,,3,,,3,100.00%,,,3,,,,1,,,0.000,0.000,0.000,0.035,0.000,0.000,0.000,0.000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25673,MARC,GUEHI,GUEHI M.,13-07-2000,131363,94,,,,106,3,2.83%,100,94.34%,,,87,1,1.15%,4,3,1,33.33%,0.000,0.000,0.570,0.000,0.334,0.000,0.000,0.000,16,,,,,,11,2,2,100.00%,1,,,15,1,6.67%,13,86.67%,,,,,2,13.33%,2,100.00%,1,,,,,,,1,33.33%,,,,,,,,,,,8,53.33%,,,1,4,36.36%,7,87.50%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7345,HARRY,KANE,KANE H.,28-07-1993,131363,94,3,2,66.67%,23,8,34.78%,12,52.17%,6,18.75%,32,8,25.00%,,8,2,25.00%,0.239,0.165,2.019,0.061,1.092,-0.075,0.239,0.000,16,1,16.67%,,,,1,,,,1,1,100.00%,13,2,15.38%,4,30.77%,3,75.00%,7,175.00%,3,23.08%,,,2,,2,66.67%,3,2,66.67%,2,25.00%,2,1,50.00%,2,,,,2,,,6,46.15%,1,50.00%,,,,2,33.33%,1,1,33.33%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58426,KOBBIE BOATENG,MAINOO,MAINOO K.,19-04-2005,131363,49,,,,37,2,5.41%,35,94.59%,3,9.09%,33,2,6.06%,,1,,,0.000,0.000,0.623,0.000,0.516,0.000,0.000,0.000,16,1,33.33%,,,,5,1,,,,,,7,1,14.29%,2,28.57%,2,100.00%,5,250.00%,3,42.86%,1,33.33%,1,,,,,,,1,50.00%,,,,,,,1,2,,,1,14.29%,,,,1,20.00%,,,1,,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24667,COLE,PALMER,PALMER C.,06-05-2002,131363,24,1,,,16,5,31.25%,14,87.50%,2,10.00%,20,1,5.00%,1,3,,,0.078,0.450,0.556,0.000,0.492,0.371,0.078,0.000,16,1,50.00%,,,,,6,3,50.00%,,,,10,1,10.00%,4,40.00%,4,100.00%,6,150.00%,2,20.00%,,,1,,1,100.00%,4,1,25.00%,3,60.00%,,,,2,,,,2,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12802,JORDAN,PICKFORD,PICKFORD J.,07-03-1994,131363,94,,,,32,,,31,96.88%,,,22,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,100.00%,2,18,1,50.00%,18,100.00%,12,7,58.33%,1,8.33%,1,100.00%,4,33.33%,0.413,0.413,,,,,,,,
