Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,perdePalla,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,giochiPortiereRicevuti,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,palleLaterali,dribbling,tiriInPortaDaArea,tiriInPortaDaArea_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingPositivo,dribblingPositivo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliFatti,falliSubiti,ammonizioni,FxGoT,gkGP,cross,crossRiusciti,crossRiusciti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,triangolazione,triFatta,triFatta_PERC,thirdPass,triChiusa,triChiusa_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,tiriDiTesta,tiriDiTesta_PERC,traversoni,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,golProcurati,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,inFuorigioco,interventoNegativo,autogol,tiroGolTesta,tiroGolTesta_PERC
30353,MARTIN,BATURINA,BATURINA M.,16-02-2003,131364,14,4,2,50.00%,2,1,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,0.000,0.000,0.134,0.000,0.134,0.000,0.000,0.000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7092,MARCELO,BROZOVIC,BROZOVIC M.,16-11-1992,131364,47,62,60,96.77%,57,2,5,1,20.00%,,,2,40.00%,,,1,0.132,0.243,0.000,0.000,-0.187,0.110,0.132,0.000,4,2,1,50.00%,1,50.00%,1,50.00%,2,3.51%,1,5,2,40.00%,1,1,100.00%,1,100.00%,2,40.00%,1,50.00%,1,100.00%,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8950,ANTE,BUDIMIR,BUDIMIR A.,22-07-1991,131364,30,9,5,55.56%,10,3,6,3,50.00%,3,100.00%,2,33.33%,2,100.00%,1,0.281,0.763,1.045,0.169,0.924,0.482,0.281,0.000,4,1,1,100.00%,1,100.00%,,,3,30.00%,,,,,,,,3,100.00%,2,33.33%,1,50.00%,,,,,3,3,100.00%,6,66.67%,3,50.00%,1,33.33%,1,10.00%,2,1,50.00%,2,100.00%,1,50.00%,1,1,100.00%,2,2,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25074,JOSKO,GVARDIOL,GVARDIOL J.,23-01-2002,131364,100,69,65,94.20%,59,4,13,5,38.46%,2,40.00%,4,30.77%,2,50.00%,2,0.000,0.000,0.235,0.000,0.082,0.000,0.000,0.000,4,,,,,,,,,,2,5,,,1,1,100.00%,4,80.00%,3,23.08%,,,,,,,3,,,1,1.45%,,,,,1,1.69%,,,,,,,,,,,,1,,,1,25.00%,1,100.00%,2,15.38%,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36100,IVICA,IVUSIC,IVUSIC I.,01-02-1995,131364,0,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.202,4.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26365,JOSIP,JURANOVIC,JURANOVIC J.,16-08-1995,131364,100,56,48,85.71%,44,4,11,7,63.64%,2,28.57%,5,45.45%,3,60.00%,2,0.000,0.000,1.522,0.107,1.522,0.000,0.000,0.000,4,,,,,,,,,,1,7,,,2,,,,,3,27.27%,2,66.67%,,,,,1,1,100.00%,9,16.07%,4,44.44%,,,,,1,,,1,100.00%,,,,,,8,1,,,2,50.00%,,,,,,,,,,7,3,42.86%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6101,MATEO,KOVACIC,KOVACIC M.,06-05-1994,131364,100,97,90,92.78%,91,6,15,9,60.00%,5,55.56%,5,33.33%,4,80.00%,2,0.265,0.740,0.983,0.107,0.918,0.475,0.265,0.000,4,3,3,100.00%,1,33.33%,2,66.67%,3,3.30%,,5,1,20.00%,3,2,66.67%,4,44.44%,,,,,2,66.67%,1,20.00%,8,,,3,3.09%,1,33.33%,,,1,1.10%,3,,,,,,,,,,,2,1,33.33%,1,16.67%,1,50.00%,3,20.00%,2,3,,,,,,,2,33.33%,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7248,ANDREJ,KRAMARIC,KRAMARIC A.,19-06-1991,131364,86,38,31,81.58%,41,8,9,3,33.33%,3,100.00%,2,22.22%,,,1,0.242,0.482,1.609,0.143,1.362,0.240,0.242,0.000,4,1,1,100.00%,1,100.00%,,,8,19.51%,,1,1,100.00%,,,,5,166.67%,2,22.22%,1,50.00%,,,,,4,2,50.00%,8,21.05%,3,37.50%,1,12.50%,2,4.88%,3,,,1,33.33%,,,,,,4,1,1,100.00%,2,25.00%,1,100.00%,1,11.11%,3,1,,,,4,1,25.00%,,,2,,,1,2,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13072,DOMINIK,LIVAKOVIC,LIVAKOVIC D.,09-01-1995,131364,100,21,18,85.71%,11,2,,,,,,,,,,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,4.202,2.202,,,,2,100.00%,,,,,,,,,,,,,6,1,1,8,5,62.50%,4,8,2,50.00%,8,100.00%,9,5,55.56%,3,33.33%,6,100.00%,2,1,11.11%,,,,,,,,,,,,,,,,,
19437,LOVRO,MAJER,MAJER L.,17-01-1998,131364,47,33,30,90.91%,33,4,8,3,37.50%,2,66.67%,5,62.50%,2,40.00%,1,0.125,0.000,0.169,0.114,-0.188,-0.125,0.125,0.000,4,1,,,1,100.00%,,,3,9.09%,,2,,,1,1,100.00%,3,100.00%,1,12.50%,1,100.00%,,,,,1,1,100.00%,3,9.09%,2,66.67%,1,33.33%,2,6.06%,1,,,1,100.00%,,,,,,3,,,,2,50.00%,,,,,1,,,,,1,1,100.00%,2,50.00%,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,
