Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaFuori,tiriDaFuori_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cross,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,inFuorigioco,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,crossRiusciti,crossRiusciti_PERC,triangolazione,triFatta,triFatta_PERC,dribblingPositivo,dribblingPositivo_PERC,retiSub,passChiave,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,cutBack,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriInPorta,tiriInPorta_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,tiriDaArea,tiriDaArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,traversoni,assist,traversoniRiusciti,traversoniRiusciti_PERC,triChiusa,triChiusa_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,thirdPass,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoCorner,golSviluppoCorner_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cutBackRiusciti,cutBackRiusciti_PERC,cutBackVincenti,cutBackVincenti_PERC
26385,CHE',ADAMS,ADAMS C.,13-07-1996,131366,77,1,1,100.00%,16,2,12.50%,13,81.25%,1,50.00%,9,34.62%,26,2,7.69%,3,3,100.00%,1,1,10,2,2,20.00%,1,1,17,5,29.41%,4,80.00%,6,120.00%,8,47.06%,2,25.00%,5,29.41%,2,40.00%,3,1,2,20.00%,0.025,0.000,0.488,0.000,0.274,-0.025,0.025,0.025,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8569,STUART,ARMSTRONG,ARMSTRONG S.,30-03-1992,131366,26,,,,10,3,30.00%,8,80.00%,1,33.33%,,,11,,,2,1,50.00%,2,2,5,,2,40.00%,2,,10,4,40.00%,3,75.00%,3,75.00%,3,30.00%,1,33.33%,4,40.00%,2,50.00%,1,,2,40.00%,0.000,0.000,0.703,0.000,0.703,0.000,0.000,0.000,462,1,50.00%,1,1,100.00%,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11723,RYAN,CHRISTIE,CHRISTIE R.,22-02-1995,131366,19,,,,4,2,50.00%,3,75.00%,1,50.00%,,,7,,,3,3,100.00%,1,1,4,,,,1,,7,1,14.29%,1,100.00%,5,500.00%,4,57.14%,1,25.00%,2,28.57%,,,,,,,0.000,0.000,0.117,0.000,-0.131,0.000,0.000,0.000,462,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24959,BILLY,GILMOUR,GILMOUR B.,11-06-2001,131366,84,,,,64,4,6.25%,55,85.94%,2,50.00%,4,7.41%,54,,,2,,,1,2,4,2,1,25.00%,3,,11,7,63.64%,2,28.57%,3,42.86%,4,36.36%,3,75.00%,4,36.36%,2,50.00%,,,,,0.000,0.000,0.408,0.000,0.408,0.000,0.000,0.000,462,,,,,,2,66.67%,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12803,ANGUS,GUNN,GUNN A.,22-01-1996,131366,103,,,,41,,,38,92.68%,,,,,24,,,,,,,,1,6,,,,,1,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,462,,,,,,,,1,1,4,7,1,5,4,80.00%,17,11,15,88.24%,11,100.00%,13,5,38.46%,4,30.77%,4,100.00%,1,4,30.77%,2.390,1.390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9863,GRANT,HANLEY,HANLEY G.,20-11-1991,131366,103,,,,84,4,4.76%,70,83.33%,2,50.00%,,,61,5,8.20%,,,,,,4,8,,,,1,21,16,76.19%,3,18.75%,2,12.50%,12,57.14%,10,83.33%,5,23.81%,4,80.00%,2,,,,0.000,0.000,1.450,0.000,0.434,0.000,0.000,0.000,462,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2,25.00%,1,4.76%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17885,JACK,HENDRY,HENDRY J.,07-05-1995,131366,103,,,,63,1,1.59%,55,87.30%,,,1,2.38%,42,,,2,,,,,2,9,,,,,17,11,64.71%,1,9.09%,4,36.36%,6,35.29%,6,100.00%,6,35.29%,3,50.00%,3,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,462,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,3,33.33%,2,11.76%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10931,JOHN,MCGINN,MCGINN J.,18-10-1994,131366,77,,,,20,5,25.00%,14,70.00%,2,40.00%,9,33.33%,27,,,1,1,100.00%,2,3,6,3,1,16.67%,5,1,23,17,73.91%,15,88.24%,4,23.53%,2,8.70%,1,50.00%,10,43.48%,6,60.00%,,,,,0.000,0.000,0.646,0.000,0.646,0.000,0.000,0.000,462,,,,,,5,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,3,100.00%,5,21.74%,5,1,1,100.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10171,CALLUM,MCGREGOR,MCGREGOR C.,14-06-1993,131366,103,1,1,100.00%,65,1,1.54%,60,92.31%,,,1,1.79%,56,2,3.57%,1,,,1,1,6,3,,,,1,9,5,55.56%,4,80.00%,2,40.00%,4,44.44%,1,25.00%,4,44.44%,3,75.00%,,,,,0.021,0.032,0.200,0.000,-0.333,0.011,0.021,0.000,462,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,3,100.00%,,,,,,,1,33.33%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26381,SCOTT,MCKENNA,MCKENNA S.,12-11-1996,131366,103,,,,73,4,5.48%,61,83.56%,2,50.00%,,,50,2,4.00%,3,,,,,4,8,1,25.00%,1,1,21,11,52.38%,3,27.27%,4,36.36%,13,61.90%,10,76.92%,5,23.81%,1,20.00%,1,,,,0.000,0.000,0.925,0.000,0.440,0.000,0.000,0.000,462,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,2,100.00%,,,1,12.50%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
