Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,interventoPositivo,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdeMetaCampoProria,perdeMetaCampoProria_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,golSviluppoCorner,golSviluppoCorner_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistVincenti,assistVincenti_PERC,thirdPass,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,falliFatti,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,passChiaveInArea,passChiaveInArea_PERC,ammonizioni,assistInArea,assistInArea_PERC,triangolazione,triFatta,triFatta_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,inFuorigioco,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,triChiusa,triChiusa_PERC,tiroGolArea,tiroGolArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossVincenti,crossVincenti_PERC,parataPiede,parataPiede_PERC
34265,SAMET,AKAYDIN,AKAYDIN S.,13-03-1994,131367,99,1,77,3,3.90%,69,89.61%,51,3,4,17,2,11.76%,3,1,33.33%,13,11,84.62%,2,18.18%,6,46.15%,5,83.33%,4,30.77%,4,100.00%,1,1,1,5.88%,0.000,0.000,0.103,0.000,0.103,0.000,0.000,0.000,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26395,KEREM,AKTURKOGLU,AKTURKOGLU K.,21-10-1998,131367,13,,5,1,20.00%,4,80.00%,5,,1,1,,,1,1,100.00%,1,,,,,,,,,,,,,,,,,0.055,0.359,0.247,0.000,0.302,0.303,0.055,0.000,579,1,1,100.00%,1,100.00%,1,100.00%,1,20.00%,1,1,100.00%,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14828,KAAN,AYHAN,AYHAN K.,10-11-1994,131367,80,6,66,2,3.03%,62,93.94%,60,,6,2,1,50.00%,1,1,100.00%,11,5,45.45%,4,80.00%,4,36.36%,2,50.00%,4,36.36%,2,50.00%,,1,1,50.00%,0.605,0.158,0.000,0.051,0.191,-0.447,0.605,0.000,579,3,1,33.33%,1,33.33%,2,100.00%,2,3.33%,,,,,,,,,,,,,,,,,,,2,66.67%,1,33.33%,1,50.00%,1,1.67%,2,1,50.00%,1,1,9.09%,3,60.00%,1,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35499,ABDULKERIM,BARDAKCI,BARDAKCI A.,07-09-1994,131367,99,3,70,2,2.86%,65,92.86%,66,1,3,4,2,50.00%,3,1,33.33%,12,8,66.67%,2,25.00%,6,50.00%,4,66.67%,2,16.67%,2,100.00%,,1,,,0.209,0.000,0.120,0.000,-0.260,-0.209,0.209,0.000,579,1,,,,,2,100.00%,1,1.52%,,,,,1,33.33%,,,,,,,,,,,2,66.67%,1,100.00%,1,100.00%,1,100.00%,3,4.55%,,,,2,,,2,25.00%,1,,,,1,33.33%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7687,HAKAN,CALHANOGLU,CALHANOGLU H.,08-02-1994,131367,92,4,97,8,8.25%,90,92.78%,88,,5,5,3,60.00%,1,1,100.00%,13,5,38.46%,2,40.00%,1,7.69%,1,100.00%,9,69.23%,4,44.44%,,1,2,40.00%,0.306,0.412,1.080,0.106,1.243,0.106,0.306,0.000,579,4,2,50.00%,3,75.00%,3,37.50%,5,5.68%,2,,,2,,,,,,,,,2,100.00%,,,,,1,25.00%,,,1,20.00%,1,1.14%,2,,,,,,5,100.00%,2,,,,1,25.00%,1,1,50.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21437,MEHMET ZEKI,CELIK,CELIK M. Z.,17-02-1997,131367,13,1,4,1,25.00%,3,75.00%,2,,,1,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.248,0.094,0.248,0.000,0.000,0.000,579,,,,,,1,100.00%,1,50.00%,1,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,100.00%,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19107,MERIH,DEMIRAL,DEMIRAL M.,05-03-1998,131367,19,,1,,,1,100.00%,,,,,,,,,,3,2,66.67%,,,2,66.67%,2,100.00%,1,33.33%,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34287,ARDA,GULER,GULER A.,25-02-2005,131367,80,4,47,9,19.15%,41,87.23%,50,,9,3,1,33.33%,3,2,66.67%,16,5,31.25%,2,40.00%,1,6.25%,,,6,37.50%,2,33.33%,,1,1,33.33%,0.053,0.496,1.518,0.124,0.862,0.442,0.053,0.000,579,1,1,100.00%,1,100.00%,4,44.44%,3,6.00%,3,1,33.33%,4,2,22.22%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,4,44.44%,,,,,,,3,6.00%,3,,,,1,6.25%,7,140.00%,1,1,,,2,50.00%,,2,66.67%,,,,1,1,100.00%,4,1,25.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21530,MERT,GUNOK,GUNOK M.,01-03-1989,131367,99,1,15,,,14,93.33%,7,,,1,,,,,,,,,,,,,,,,,,,2,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,3,60.00%,3,5,3,100.00%,5,100.00%,7,2,28.57%,2,28.57%,3,100.00%,1,3,42.86%,3.126,2.126,,,,,,,,,,,,,,,
20912,FERDI,KADIOGLU,KADIOGLU F.,07-10-1999,131367,99,5,84,6,7.14%,79,94.05%,69,1,2,8,1,12.50%,2,1,50.00%,16,9,56.25%,3,33.33%,3,18.75%,1,33.33%,9,56.25%,6,66.67%,,1,1,12.50%,0.008,0.000,1.017,0.095,0.738,-0.008,0.008,0.000,579,1,,,1,100.00%,4,66.67%,6,8.70%,2,,,3,1,50.00%,,,,,,,,,,,2,100.00%,,,,,2,33.33%,4,5.80%,3,,,,,,5,55.56%,,,,,2,40.00%,,2,66.67%,1,1,100.00%,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,
