Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,assist,assistInArea,assistInArea_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,ammonizioni,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golProcurati,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,cross,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaFuori,tiriDaFuori_PERC,tiriDiRigore,tiriDiRigore_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,tiriDiTesta,tiriDiTesta_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossRiusciti,crossRiusciti_PERC,cutBack,inFuorigioco,tiriRigoreSubiti,tiriRigoreParati,tiriRigoreParati_PERC,interventoNegativo,thirdPass
7092,MARCELO,BROZOVIC,BROZOVIC M.,16-11-1992,131368,100,1,1,100.00%,58,5,8.62%,49,84.48%,1,20.00%,2,3.85%,1,50.00%,52,1,1.92%,3,1,1,100.00%,3,1,33.33%,3,6,4,2,50.00%,2,50.00%,3,1,16.67%,2,66.67%,11,6,54.55%,2,33.33%,4,66.67%,1,9.09%,1,100.00%,9,81.82%,5,55.56%,1,1,1,2,33.33%,0.000,0.000,0.924,0.018,0.800,0.000,0.000,0.000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8950,ANTE,BUDIMIR,BUDIMIR A.,22-07-1991,131368,54,1,1,100.00%,3,2,66.67%,3,100.00%,2,100.00%,1,7.69%,1,100.00%,13,3,23.08%,,1,1,100.00%,,,,,8,,,,,,1,2,25.00%,1,100.00%,17,5,29.41%,3,60.00%,10,200.00%,8,47.06%,3,37.50%,4,23.53%,1,25.00%,4,,1,2,25.00%,0.145,0.245,0.000,0.019,-0.227,0.100,0.145,0.145,4,1,1,100.00%,1,100.00%,1,5.88%,1,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25074,JOSKO,GVARDIOL,GVARDIOL J.,23-01-2002,131368,100,5,,,56,1,1.79%,52,92.86%,1,100.00%,,,,,43,,,1,,,,,,,,4,1,1,100.00%,,,9,3,75.00%,1,11.11%,14,8,57.14%,1,12.50%,2,25.00%,2,14.29%,1,50.00%,3,21.43%,1,33.33%,3,,1,4,100.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4,,,,,,1,7.14%,1,,,,1,11.11%,4,4,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19436,LUKA,IVANUSEC,IVANUSEC L.,26-11-1998,131368,29,,,,13,,,9,69.23%,,,1,11.11%,,,9,,,,,,,,,,,3,,,,,,2,,,,,6,3,50.00%,3,100.00%,3,100.00%,2,33.33%,2,100.00%,2,33.33%,1,50.00%,1,1,1,,,0.000,0.000,0.000,0.000,-0.191,0.000,0.000,0.000,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26365,JOSIP,JURANOVIC,JURANOVIC J.,16-08-1995,131368,10,,,,3,,,3,100.00%,,,1,25.00%,,,4,,,,,,,,,,,,1,,,1,100.00%,,,,,,1,1,100.00%,,,,,,,,,,,,,,,1,,,0.000,0.000,0.191,0.000,0.191,0.000,0.000,0.000,4,,,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6101,MATEO,KOVACIC,KOVACIC M.,06-05-1994,131368,71,1,,,33,,,32,96.97%,,,,,,,30,,,,,,,,,,,4,,,,,,5,2,50.00%,2,40.00%,10,4,40.00%,2,50.00%,4,100.00%,1,10.00%,1,100.00%,5,50.00%,2,40.00%,,,,2,50.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4,,,,,,,,,,,,1,20.00%,2,1,50.00%,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7248,ANDREJ,KRAMARIC,KRAMARIC A.,19-06-1991,131368,90,1,,,25,3,12.00%,22,88.00%,1,33.33%,2,7.41%,1,50.00%,27,5,18.52%,1,1,,,1,,,2,3,1,1,100.00%,,,2,,,2,100.00%,9,5,55.56%,3,60.00%,4,80.00%,2,22.22%,1,50.00%,3,33.33%,,,1,,,,,0.064,0.000,0.512,0.037,0.398,-0.064,0.064,0.064,4,1,,,1,100.00%,2,22.22%,2,,,,2,100.00%,2,2,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13072,DOMINIK,LIVAKOVIC,LIVAKOVIC D.,09-01-1995,131368,100,,,,25,,,21,84.00%,,,,,,,17,,,,,,,,,,,5,,,,,,5,1,20.00%,,,,,,,,,,,,,,,,,,,,1,2,40.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4,,,,,,,,,,,,,,,,,,,,,3,4,1,3,2,66.67%,6,12,3,50.00%,11,91.67%,7,2,28.57%,3,42.86%,3,100.00%,1,2,28.57%,1.614,0.614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19437,LOVRO,MAJER,MAJER L.,17-01-1998,131368,19,1,1,100.00%,10,1,10.00%,10,100.00%,1,100.00%,1,9.09%,,,11,,,,,,,,,,,1,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.000,0.000,0.124,0.000,0.124,0.000,0.000,0.000,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7243,LUKA,MODRIC,MODRIC L.,09-09-1985,131368,81,3,1,33.33%,56,7,12.50%,49,87.50%,3,42.86%,1,1.96%,,,51,1,1.96%,1,1,,,1,,,2,7,1,,,1,100.00%,4,1,14.29%,3,75.00%,8,3,37.50%,1,33.33%,2,66.67%,2,25.00%,1,50.00%,3,37.50%,1,33.33%,1,1,,2,28.57%,1.508,2.151,0.783,0.041,2.007,0.643,0.753,0.753,4,3,3,100.00%,2,66.67%,,,,2,66.67%,,2,50.00%,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,1,33.33%,1,100.00%,1,33.33%,1,33.33%,1,100.00%,1,100.00%,1,100.00%,1,33.33%,,,,,,,,,,,,,,,
9188,MARIO,PASALIC,PASALIC MARIO,09-02-1995,131368,46,,,,9,1,11.11%,6,66.67%,,,1,8.33%,,,12,1,8.33%,1,,,,,,,1,6,,,,,,,,,,,4,,,,,4,,2,50.00%,,,1,25.00%,,,,,,,,0.000,0.000,0.307,0.000,0.307,0.000,0.000,0.000,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
7244,IVAN,PERISIC,PERISIC I.,02-02-1989,131368,29,,,,5,,,4,80.00%,,,1,20.00%,1,100.00%,5,1,20.00%,,,,,,,,,1,,,,,,1,,,1,100.00%,3,2,66.67%,1,50.00%,1,50.00%,2,66.67%,1,50.00%,1,33.33%,1,100.00%,,,1,,,0.043,0.000,0.000,0.000,0.043,-0.043,0.043,0.000,4,1,,,1,100.00%,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16445,MARIN,PONGRACIC,PONGRACIC M.,11-09-1997,131368,100,2,,,67,,,63,94.03%,,,1,1.92%,,,52,,,2,,,,,,,,3,,,,,,11,2,66.67%,4,36.36%,17,8,47.06%,2,25.00%,2,25.00%,4,23.53%,3,75.00%,8,47.06%,4,50.00%,4,1,1,2,66.67%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4,,,,,,,,,,,,1,9.09%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27428,JOSIP,STANISIC,STANISIC J.,02-04-2000,131368,100,,,,77,2,2.60%,65,84.42%,1,50.00%,,,,,64,,,1,,,,,,,2,11,1,,,1,100.00%,7,3,27.27%,3,42.86%,12,8,66.67%,4,50.00%,3,37.50%,1,8.33%,1,100.00%,6,50.00%,5,83.33%,1,1,1,,,0.000,0.000,0.155,0.000,0.155,0.000,0.000,0.000,4,,,,,,,,,,,,1,14.29%,3,2,66.67%,1,1,100.00%,2,,,2,,,,,,,,,,1,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24936,LUKA,SUCIC,SUCIC L.,08-09-2002,131368,71,1,1,100.00%,38,6,15.79%,36,94.74%,5,83.33%,4,10.53%,1,25.00%,38,3,7.89%,,1,1,100.00%,,,,1,3,,,,,,2,,,2,100.00%,7,3,42.86%,2,66.67%,2,66.67%,2,28.57%,2,100.00%,3,42.86%,1,33.33%,1,1,,,,0.019,0.281,0.493,0.090,0.512,0.263,0.019,0.019,4,1,1,100.00%,,,,,,,,,2,100.00%,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,
30189,JOSIP,SUTALO,SUTALO J.,28-02-2000,131368,100,,,,66,,,63,95.45%,,,,,,,59,,,4,,,,,,,,,,,,,,3,,,1,33.33%,14,9,64.29%,2,22.22%,,,4,28.57%,1,25.00%,8,57.14%,7,87.50%,1,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4,,,,,,,,,,,,,,1,1,100.00%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6438,NICOLO',BARELLA,BARELLA N.,07-02-1997,131368,100,5,2,40.00%,80,3,3.75%,77,96.25%,3,100.00%,3,4.41%,,,68,,,,2,2,100.00%,,,,,5,,,,,,7,3,60.00%,4,57.14%,18,6,33.33%,1,16.67%,6,100.00%,2,11.11%,,,6,33.33%,3,50.00%,2,,1,2,40.00%,0.000,0.000,0.453,0.115,0.187,0.000,0.000,0.000,1,,,,,,1,5.56%,1,,,,2,28.57%,1,,,6,4,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12940,ALESSANDRO,BASTONI,BASTONI A.,13-04-1999,131368,100,10,,,79,,,71,89.87%,,,2,3.23%,2,100.00%,62,4,6.45%,2,1,,,,,,,5,,,,,,17,1,20.00%,1,5.88%,16,12,75.00%,1,8.33%,3,25.00%,8,50.00%,4,50.00%,5,31.25%,5,100.00%,,,1,2,40.00%,0.602,0.307,0.000,0.060,-0.044,-0.295,0.602,0.536,1,2,1,50.00%,2,100.00%,3,18.75%,3,1,100.00%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,
16122,RICCARDO,CALAFIORI,CALAFIORI R.,19-05-2002,131368,100,5,2,40.00%,65,2,3.08%,60,92.31%,2,100.00%,,,,,55,,,2,3,2,66.67%,,,,1,4,1,1,100.00%,,,9,2,50.00%,3,33.33%,7,5,71.43%,1,20.00%,1,20.00%,3,42.86%,3,100.00%,2,28.57%,1,50.00%,1,1,1,4,100.00%,0.000,0.000,0.534,0.170,0.534,0.000,0.000,0.000,1,,,,,,1,14.29%,1,,,,2,22.22%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,1,50.00%,1,100.00%,,,,,,,
11798,FEDERICO,CHIESA,CHIESA F.,25-10-1997,131368,42,,,,27,6,22.22%,18,66.67%,2,33.33%,3,12.00%,1,33.33%,25,2,8.00%,,,,,1,,,6,3,1,1,100.00%,,,,1,33.33%,,,3,1,33.33%,,,2,200.00%,,,,,2,66.67%,1,50.00%,,,,2,66.67%,0.000,0.000,1.633,0.000,1.633,0.000,0.000,0.000,1,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6314,MATTEO,DARMIAN,DARMIAN M.,02-12-1989,131368,82,3,,,49,4,8.16%,46,93.88%,2,50.00%,2,4.55%,1,50.00%,44,3,6.82%,,,,,,,,1,3,3,1,33.33%,2,66.67%,3,,,1,33.33%,5,3,60.00%,1,33.33%,1,33.33%,1,20.00%,1,100.00%,3,60.00%,2,66.67%,1,,1,,,0.072,0.379,0.784,0.000,0.087,0.307,0.072,0.072,1,1,1,100.00%,1,100.00%,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
10593,GIOVANNI,DI LORENZO,DI LORENZO G.,04-08-1993,131368,100,3,,,75,4,5.33%,62,82.67%,,,,,,,54,1,1.85%,3,,,,1,,,2,9,,,,,,3,2,22.22%,,,8,4,50.00%,1,25.00%,3,75.00%,4,50.00%,1,25.00%,1,12.50%,1,100.00%,1,,1,4,44.44%,0.000,0.000,0.824,0.000,0.634,0.000,0.000,0.000,1,,,,,,2,25.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7814,FEDERICO,DIMARCO,DIMARCO F.,10-11-1997,131368,58,2,1,50.00%,28,3,10.71%,23,82.14%,1,33.33%,2,10.00%,,,20,,,,1,1,100.00%,1,1,100.00%,1,4,1,1,100.00%,,,3,3,75.00%,,,3,,,,,2,,,,,,3,100.00%,,,,,1,2,50.00%,0.000,0.000,0.517,0.055,0.517,0.000,0.000,0.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8715,GIANLUIGI,DONNARUMMA,DONNARUMMA G.,25-02-1999,131368,100,,,,20,,,16,80.00%,,,,,,,13,,,,,,,,,,,3,,,,,,2,2,66.67%,,,,,,,,,,,,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,,,,,,,,,,,,,,,,,,,,3,1,3,4,3,75.00%,8,7,5,62.50%,7,100.00%,5,1,20.00%,1,20.00%,3,100.00%,1,3,60.00%,2.678,1.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,
16063,NICOLO',FAGIOLI,FAGIOLI N.,12-02-2001,131368,18,1,,,12,,,12,100.00%,,,1,7.69%,,,13,,,,,,,,,,,1,,,,,,,1,100.00%,,,2,,,,,,,,,,,2,100.00%,,,,1,,2,200.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
