Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevuti,assist,perdePalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,palleLaterali,triangolazione,triFatta,triFatta_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliFatti,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,parate,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,passChiaveInArea,passChiaveInArea_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,assistInArea,assistInArea_PERC,thirdPass,crossRiusciti,crossRiusciti_PERC,triChiusa,triChiusa_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,traversoni,cutBack,interventoNegativo,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,inFuorigioco,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,ammonizioni,tiriDiTesta,tiriDiTesta_PERC,uscite,rinvioPiede,rinvioPiede_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,golProcurati,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC
32072,JOHAN,BAKAYOKO,BAKAYOKO J.,20-04-2003,131370,41,2,1,50.00%,1,50.00%,1,50.00%,3,15,1,6.67%,14,93.33%,1,100.00%,16,2,1,1,100.00%,3,3,100.00%,5,1,20.00%,2,40.00%,1,50.00%,1,20.00%,1,100.00%,1,1,100.00%,0.561,0.461,0.595,0.075,0.844,-0.100,0.561,0.000,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13198,TIMOTHY,CASTAGNE,CASTAGNE T.,05-12-1995,131370,101,,,,,,,,1,62,1,1.61%,56,90.32%,,,39,,6,3,50.00%,1,1,100.00%,16,,,9,56.25%,3,33.33%,7,43.75%,5,71.43%,,,,0.000,0.000,0.243,0.000,0.243,0.000,0.000,0.000,428,1,2.56%,1,1,1,1,1,100.00%,7,2,28.57%,1,1,100.00%,3,33.33%,5,31.25%,3,60.00%,2,1,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16557,KOEN,CASTEELS,CASTEELS K.,25-06-1992,131370,101,,,,,,,,,37,,,34,91.89%,,,29,,3,2,66.67%,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,428,,,,,,,,,4,,,,,,,,,,,,,1,,,3,1,5,3,60.00%,4,29,1,25.00%,29,100.00%,4,1,25.00%,3,100.00%,1,3,75.00%,2.851,1.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8589,KEVIN,DE BRUYNE,DE BRUYNE K.,28-06-1991,131370,101,2,2,100.00%,1,50.00%,1,50.00%,10,59,12,20.34%,47,79.66%,6,50.00%,56,4,10,2,20.00%,1,1,100.00%,11,2,18.18%,7,63.64%,3,42.86%,3,27.27%,1,33.33%,2,1,50.00%,0.249,0.571,2.024,0.223,1.406,0.321,0.249,0.000,428,1,1.79%,1,3,3,1,,,,,,3,3,100.00%,5,71.43%,1,9.09%,1,100.00%,1,1,2,20.00%,,,,,,,,,,,,,,,,,,,,,,4,40.00%,7,12.50%,3,75.00%,1,1,33.33%,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,
36641,ZENO,DEBAST,DEBAST Z.,24-10-2003,131370,101,,,,,,,,6,104,3,2.88%,94,90.38%,,,85,,3,1,33.33%,1,,,9,,,5,55.56%,2,40.00%,2,22.22%,1,50.00%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,428,,,14,,,1,1,100.00%,10,,,,,,1,20.00%,4,44.44%,3,75.00%,2,1,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24564,JEREMY,DOKU,DOKU J.,27-05-2002,131370,86,1,1,100.00%,1,100.00%,,,1,25,5,20.00%,18,72.00%,1,20.00%,30,,8,4,50.00%,,,,17,,,9,52.94%,7,77.78%,8,47.06%,4,50.00%,,1,100.00%,0.059,0.341,0.774,0.000,0.833,0.282,0.059,0.000,428,1,3.33%,,1,4,1,,,,,,8,5,62.50%,4,44.44%,,,,,1,1,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,6,20.00%,,,,,,1,100.00%,,,1,16.67%,1,1,1,,,,,,,,,,,,,,,,,,,,
17687,WOUT,FAES,FAES W.,03-04-1998,131370,101,,,,,,,,2,87,,,70,80.46%,,,62,,6,2,33.33%,,,,18,1,5.56%,14,77.78%,4,28.57%,10,55.56%,8,80.00%,1,,,0.000,0.000,0.000,0.000,-0.331,0.000,0.000,0.000,428,1,1.61%,12,,,,,,12,2,16.67%,,,,5,35.71%,6,33.33%,5,83.33%,1,1,4,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7407,YANNICK,FERREIRA CARRASCO,CARRASCO Y.,04-09-1993,131370,86,2,2,100.00%,1,50.00%,1,50.00%,2,70,4,5.71%,63,90.00%,2,50.00%,60,1,5,,,,,,4,1,25.00%,4,100.00%,,,2,50.00%,2,100.00%,1,1,50.00%,0.453,0.700,0.202,0.059,0.512,0.247,0.453,0.000,428,,,1,1,1,2,2,100.00%,5,3,60.00%,1,1,100.00%,1,25.00%,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,2,3.33%,1,100.00%,,,,,,1,50.00%,,,,,,1,20.00%,,,,,,,,,,,,,,,,,,
9406,ROMELU,LUKAKU,LUKAKU R.,13-05-1993,131370,101,4,2,50.00%,4,100.00%,,,1,16,3,18.75%,13,81.25%,1,33.33%,25,1,5,,,,,,11,2,18.18%,6,54.55%,5,83.33%,5,45.45%,3,60.00%,2,2,100.00%,1.241,1.012,0.602,0.045,0.542,-0.229,1.241,0.000,428,7,28.00%,,,,1,,,,,,1,,,4,66.67%,3,27.27%,1,33.33%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,14,56.00%,,,,,,1,100.00%,,,4,28.57%,,,,,,2,1,25.00%,,,,,,,,,,,,,,,
17694,DODI,LUKEBAKIO,LUKEBAKIO D.,24-09-1997,131370,15,,,,,,,,,4,1,25.00%,2,50.00%,,,4,,1,,,,,,3,,,,,3,,2,66.67%,,,,,,0.000,0.000,0.120,0.000,0.120,0.000,0.000,0.000,428,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
