Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriDaFuori,tiriDaFuori_PERC,triangolazione,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDiTesta,tiriDiTesta_PERC,passChiave,cross,palleLaterali,ammonizioni,passChiaveInArea,passChiaveInArea_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoCorner,golSviluppoCorner_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,crossRiusciti,crossRiusciti_PERC,triFatta,triFatta_PERC,inFuorigioco,thirdPass,tiroGolFuoriArea,tiroGolFuoriArea_PERC,parataPiede,parataPiede_PERC
26385,CHE',ADAMS,ADAMS C.,13-07-1996,131371,93,1,1,100.00%,1,100.00%,11,2,18.18%,10,90.91%,2,100.00%,2,11.11%,1,50.00%,18,3,16.67%,3,2,66.67%,6,1,2,33.33%,1,100.00%,1,17,2,11.76%,8,47.06%,5,62.50%,6,75.00%,5,29.41%,2,40.00%,6,35.29%,3,50.00%,3,2,1,100.00%,1,100.00%,1,1,100.00%,4,66.67%,0.305,0.821,0.576,0.000,0.258,0.516,0.305,0.000,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11723,RYAN,CHRISTIE,CHRISTIE R.,22-02-1995,131371,4,,,,,,2,,,2,100.00%,,,,,,,2,1,50.00%,,,,,1,,,1,100.00%,,2,,,,,,,2,,1,50.00%,,,1,50.00%,,,,,,,,,,1,100.00%,,,0.000,0.000,0.181,0.000,0.181,0.000,0.000,0.000,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24959,BILLY,GILMOUR,GILMOUR B.,11-06-2001,131371,82,1,1,100.00%,,,36,,,32,88.89%,,,,,,,38,2,5.26%,2,,,6,2,3,50.00%,2,100.00%,,10,1,10.00%,6,60.00%,1,16.67%,4,66.67%,1,10.00%,,,6,60.00%,4,66.67%,,1,,,,,1,2,100.00%,2,33.33%,0.043,0.042,0.000,0.000,-0.514,0.000,0.043,0.000,462,1,100.00%,1,1,100.00%,2,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12803,ANGUS,GUNN,GUNN A.,22-01-1996,131371,97,,,,,,42,,,33,78.57%,,,,,,,21,,,,,,4,4,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,462,,,,,,,,,,,3,3,2,4,3,75.00%,14,13,10,71.43%,11,84.62%,15,1,6.67%,6,40.00%,3,100.00%,1,8,53.33%,1.096,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9863,GRANT,HANLEY,HANLEY G.,20-11-1991,131371,97,1,,,1,100.00%,52,1,1.92%,41,78.85%,,,1,2.44%,1,100.00%,41,2,4.88%,,,,6,7,2,33.33%,1,14.29%,1,8,,,4,50.00%,2,50.00%,2,50.00%,3,37.50%,3,100.00%,2,25.00%,,,2,,1,100.00%,,,1,,,,,0.270,0.000,0.000,0.000,-0.417,-0.270,0.270,0.000,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17885,JACK,HENDRY,HENDRY J.,07-05-1995,131371,97,,,,,,41,2,4.88%,33,80.49%,1,50.00%,,,,,28,1,3.57%,3,,,4,7,1,25.00%,1,14.29%,1,11,1,9.09%,9,81.82%,3,33.33%,2,22.22%,5,45.45%,4,80.00%,3,27.27%,3,100.00%,1,1,,,,,1,,,,,0.000,0.000,0.676,0.000,0.329,0.000,0.000,0.000,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10931,JOHN,MCGINN,MCGINN J.,18-10-1994,131371,93,,,,,,14,2,14.29%,6,42.86%,,,,,,,17,,,1,,,5,1,1,20.00%,1,100.00%,,15,3,20.00%,8,53.33%,6,75.00%,7,87.50%,3,20.00%,2,66.67%,7,46.67%,3,42.86%,2,3,,,,,1,,,,,0.000,0.000,0.182,0.000,0.182,0.000,0.000,0.000,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10171,CALLUM,MCGREGOR,MCGREGOR C.,14-06-1993,131371,97,1,,,,,35,2,5.71%,34,97.14%,2,100.00%,,,,,30,1,3.33%,1,,,1,2,,,2,100.00%,1,6,,,2,33.33%,2,100.00%,2,100.00%,4,66.67%,2,50.00%,1,16.67%,,,,,,,,,1,1,50.00%,,,0.087,0.000,0.452,0.039,0.358,-0.087,0.087,0.000,462,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,50.00%,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,
26381,SCOTT,MCKENNA,MCKENNA S.,12-11-1996,131371,34,1,,,1,100.00%,13,,,10,76.92%,,,1,11.11%,1,100.00%,9,1,11.11%,,,,2,2,1,50.00%,1,50.00%,,6,,,2,33.33%,1,50.00%,3,150.00%,3,50.00%,2,66.67%,1,16.67%,,,2,,,,,,,,,,,0.070,0.000,0.000,0.000,-0.056,-0.070,0.070,0.000,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26453,KENNY,MCLEAN,MCLEAN K.,08-01-1992,131371,15,1,1,100.00%,,,11,1,9.09%,8,72.73%,1,100.00%,1,14.29%,,,7,,,,,,1,,,,,,,2,,,1,50.00%,1,100.00%,1,100.00%,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,0.036,0.365,0.000,0.000,0.036,0.329,0.036,0.000,462,1,100.00%,,,,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
