Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,palleLaterali,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,falliSubiti,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,traversoni,ammonizioni,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,parate,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,FxGoT,gkGP,crossRiusciti,crossRiusciti_PERC,cutBack,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,thirdPass,uscite,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC
8284,NATHAN,AKE',AKE' N.,18-02-1995,131372,96,1,23,1,4.35%,17,73.91%,1,7.14%,14,1,5,1,2,40.00%,1,100.00%,3,1,33.33%,9,5,55.56%,1,20.00%,2,22.22%,2,100.00%,4,44.44%,1,25.00%,1,1,100.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6149,STEFAN,DE VRIJ,DE VRIJ S.,05-02-1992,131372,96,3,71,1,1.41%,66,92.96%,,,61,16,2,3,,,,,1,1,100.00%,5,2,40.00%,1,50.00%,1,20.00%,,,2,40.00%,2,100.00%,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10420,MEMPHIS,DEPAY,DEPAY M.,13-02-1994,131372,79,2,24,4,16.67%,14,58.33%,6,31.58%,19,,8,2,2,25.00%,,,1,1,100.00%,9,4,44.44%,2,50.00%,1,11.11%,,,4,44.44%,2,50.00%,1,,,0.221,0.340,0.637,0.018,0.382,0.119,0.221,0.000,411,2,2,100.00%,1,50.00%,1,50.00%,1,50.00%,1,25.00%,1,16.67%,2,10.53%,1,1,100.00%,1,1,1,1,100.00%,1,11.11%,4,100.00%,1,2,1,50.00%,1,50.00%,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17370,DENZEL,DUMFRIES,DUMFRIES D.,18-04-1996,131372,96,1,45,2,4.44%,41,91.11%,1,2.38%,42,3,8,2,1,12.50%,,,,,,9,1,11.11%,,,1,11.11%,1,100.00%,4,44.44%,,,4,,,0.044,0.000,0.389,0.000,0.320,-0.044,0.044,0.000,411,1,,,1,100.00%,,,,,,,1,100.00%,2,4.76%,,,,1,2,,,,,,8,800.00%,,1,,,,,2,25.00%,1,100.00%,2,66.67%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24807,JEREMIE,FRIMPONG,FRIMPONG J.,10-12-2000,131372,74,,23,2,8.70%,22,95.65%,2,7.41%,27,1,4,2,2,50.00%,1,50.00%,,,,8,2,25.00%,1,50.00%,,,,,6,75.00%,2,33.33%,1,,,0.250,0.921,0.156,0.000,0.198,0.670,0.250,0.000,411,2,2,100.00%,2,100.00%,,,,,2,100.00%,1,50.00%,1,3.70%,,,,,,1,,,,,5,250.00%,,,2,100.00%,,,4,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17859,CODY,GAKPO,GAKPO C.,07-05-1999,131372,96,2,17,4,23.53%,10,58.82%,2,11.11%,18,,5,,,,,,3,3,100.00%,7,2,28.57%,,,,,,,3,42.86%,2,66.67%,,,,0.081,0.386,0.795,0.071,0.876,0.305,0.081,0.000,411,1,1,100.00%,,,1,100.00%,1,50.00%,1,25.00%,,,2,11.11%,2,1,50.00%,1,1,1,,,,,1,50.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22769,LUTSHAREL,GEERTRUIDA,GEERTRUIDA L.,18-07-2000,131372,23,,20,,,20,100.00%,1,5.26%,19,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24902,TIJJANI,REIJNDERS,REIJNDERS T.,29-07-1998,131372,96,4,36,2,5.56%,34,94.44%,2,5.41%,37,2,3,2,,,,,,,,4,2,50.00%,2,100.00%,,,,,2,50.00%,,,,,,0.060,0.000,0.208,0.042,-0.029,-0.060,0.060,0.000,411,1,,,,,1,100.00%,1,25.00%,2,100.00%,,,,,1,,,,,1,1,100.00%,1,25.00%,2,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20888,JERDY,SCHOUTEN,SCHOUTEN J.,12-01-1997,131372,74,1,31,,,30,96.77%,,,29,1,2,2,2,100.00%,,,,,,4,,,,,1,25.00%,,,1,25.00%,,,2,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,411,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36670,XAVI,SIMONS,SIMONS X.,21-04-2003,131372,74,1,20,2,10.00%,17,85.00%,1,5.26%,19,,4,3,1,25.00%,2,66.67%,,,,12,7,58.33%,4,57.14%,1,8.33%,,,7,58.33%,5,71.43%,2,,,0.257,0.768,0.375,0.044,0.632,0.510,0.257,0.000,411,2,2,100.00%,1,50.00%,1,50.00%,,,1,50.00%,,,,,1,,,,,1,,,2,16.67%,4,57.14%,2,,1,50.00%,1,50.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
