Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,cutBack,palleLaterali,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,retiSub,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,crossRiusciti,crossRiusciti_PERC,traversoni,perdeMetaCampoProria,perdeMetaCampoProria_PERC,inFuorigioco,golProcurati,tiriDaFuori,tiriDaFuori_PERC,triFatta,triFatta_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cutBackRiusciti,cutBackRiusciti_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDiRigore,tiriDiRigore_PERC,thirdPass,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolRigore,tiroGolRigore_PERC,tiroGolPiede,tiroGolPiede_PERC,ammonizioni,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,interventoNegativo,interventoPositivo,parataPiede,parataPiede_PERC
32536,BRADLEY,BARCOLA,BARCOLA B.,02-09-2002,131373,63,1,1,100.00%,1,100.00%,4,2,50.00%,27,5,18.52%,24,88.89%,3,60.00%,1,3.45%,29,2,6.90%,3,2,66.67%,1,1,2,3,1,1,100.00%,5,2,40.00%,6,4,66.67%,2,1,50.00%,17,3,17.65%,12,70.59%,9,75.00%,5,41.67%,5,29.41%,4,80.00%,1,3,1,100.00%,1,20.00%,0.077,0.262,0.715,0.121,0.691,0.186,0.077,0.077,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21574,EDUARDO,CAMAVINGA,CAMAVINGA E.,10-11-2002,131373,35,,,,,,2,,,14,2,14.29%,11,78.57%,2,100.00%,1,6.67%,15,1,6.67%,,,,,,,2,1,1,100.00%,1,1,100.00%,,,,2,1,50.00%,9,2,22.22%,4,44.44%,4,100.00%,5,125.00%,1,11.11%,,,3,2,,,,,0.000,0.000,0.120,0.000,-0.023,0.000,0.000,0.000,423,1,11.11%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11048,OUSMANE,DEMBELE',DEMBELE' O.,15-05-1997,131373,88,2,2,100.00%,2,100.00%,6,3,50.00%,47,14,29.79%,33,70.21%,5,35.71%,2,4.76%,42,2,4.76%,3,2,66.67%,4,,6,12,,,,5,2,40.00%,6,6,100.00%,1,,,13,1,7.69%,9,69.23%,5,55.56%,2,22.22%,4,30.77%,1,25.00%,1,1,2,100.00%,,,0.370,0.912,2.024,0.113,1.720,0.542,0.370,0.370,423,,,,,1,1,50.00%,2,50.00%,2,1,8.33%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30850,YOUSSOUF,FOFANA,FOFANA Y.,10-01-1999,131373,14,1,,,,,1,,,11,,,8,72.73%,,,2,20.00%,10,,,,,,,,,2,1,,,1,,,1,1,100.00%,,,,1,,,1,100.00%,1,100.00%,,,,,,,,,,,,,0.022,0.000,0.121,0.000,-0.002,-0.022,0.022,0.000,423,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7723,OLIVIER,GIROUD,GIROUD O.,30-09-1986,131373,35,1,1,100.00%,1,100.00%,1,,,7,1,14.29%,7,100.00%,1,100.00%,1,11.11%,9,3,33.33%,1,,,,,,2,1,1,100.00%,1,1,100.00%,,,,,,,6,1,16.67%,4,66.67%,2,50.00%,1,25.00%,1,16.67%,1,100.00%,,1,1,100.00%,,,0.167,0.730,1.048,0.030,0.449,0.563,0.167,0.167,423,4,66.67%,2,50.00%,1,1,100.00%,,,,1,50.00%,,,,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7617,ANTOINE,GRIEZMANN,GRIEZMANN A.,21-03-1991,131373,35,1,1,100.00%,,,1,,,11,5,45.45%,7,63.64%,2,40.00%,2,20.00%,10,2,20.00%,1,,,,,1,2,,,,,,,,,,2,2,100.00%,3,,,,,,,1,,1,33.33%,,,,,,,,,0.030,0.424,1.356,0.046,0.559,0.394,0.030,0.030,423,,,,,1,,,,,1,,,,,1,100.00%,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15562,THEO BERNARD FRANCOIS,HERNANDEZ,HERNANDEZ T.,06-10-1997,131373,97,1,1,100.00%,1,100.00%,2,1,50.00%,102,9,8.82%,94,92.16%,5,55.56%,4,4.88%,82,2,2.44%,2,1,50.00%,3,3,6,6,2,,,5,2,40.00%,2,2,100.00%,,,,10,2,20.00%,8,80.00%,4,50.00%,2,25.00%,5,50.00%,4,80.00%,1,2,1,100.00%,1,20.00%,0.245,0.766,1.534,0.055,1.494,0.521,0.245,0.245,423,,,,,1,1,25.00%,2,66.67%,,1,16.67%,,,,,2,100.00%,3,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11041,N'GOLO,KANTE',KANTE' N.,29-03-1991,131373,63,1,1,100.00%,,,3,1,33.33%,42,2,4.76%,38,90.48%,1,50.00%,3,7.50%,40,,,2,1,50.00%,,,,5,2,,,2,,,1,1,100.00%,,,,7,,,3,42.86%,1,33.33%,4,133.33%,5,71.43%,2,40.00%,1,,,,,,0.080,0.529,0.540,0.123,0.239,0.448,0.080,0.080,423,,,,,,,,,,,1,20.00%,,,1,100.00%,2,100.00%,2,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25704,RANDAL,KOLO MUANI,KOLO MUANI R.,05-12-1998,131373,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17928,JULES,KOUNDE',KOUNDE' J.,12-11-1998,131373,97,,,,,,4,1,25.00%,68,5,7.35%,61,89.71%,2,40.00%,1,1.92%,52,4,7.69%,3,1,33.33%,3,1,4,2,1,1,100.00%,5,,,2,2,100.00%,3,2,66.67%,9,1,11.11%,5,55.56%,3,60.00%,4,80.00%,3,33.33%,1,33.33%,,1,,,,,0.000,0.000,0.831,0.150,0.596,0.000,0.000,0.000,423,,,,,1,1,100.00%,,,,,,,,,,,,4,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
