Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,recuperaPalla,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,giochiPortiereRicevuti,palleLaterali,perdePalla,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,falliSubiti,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,cross,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,dribblingPositivo,dribblingPositivo_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,thirdPass,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,assistInArea,assistInArea_PERC,cutBack,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,crossRiusciti,crossRiusciti_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,FxGoT,gkGP,inFuorigioco,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,thirdPassVincenti,thirdPassVincenti_PERC,ammonizioni,uscite,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC
13395,JAN,BEDNAREK,BEDNAREK J.,12-04-1996,131374,96,4,28,1,3.57%,27,96.43%,1,100.00%,19,1,5.26%,6,1,1,100.00%,10,5,50.00%,2,40.00%,5,50.00%,3,60.00%,3,30.00%,2,66.67%,1,2,0.000,0.000,0.000,0.000,-0.193,0.000,0.000,0.000,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9280,BARTOSZ,BERESZYNSKI,BERESZYNSKI B.,12-07-1992,131374,9,,2,,,1,50.00%,,,2,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,488,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13401,ADAM,BUKSA,BUKSA A.,12-07-1996,131374,96,1,7,1,14.29%,7,100.00%,1,100.00%,25,2,8.00%,1,,,,26,8,30.77%,11,137.50%,10,38.46%,3,30.00%,11,42.31%,2,18.18%,1,2,0.125,0.446,0.207,0.054,0.143,0.320,0.125,0.051,488,5,,12,2,2,100.00%,2,100.00%,1,50.00%,6,24.00%,1,16.67%,2,40.00%,1,6,50.00%,1,3,11.54%,5,62.50%,3,1,50.00%,1,100.00%,1,100.00%,2,100.00%,1,100.00%,2,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13402,PRZEMYSLAW,FRANKOWSKI,FRANKOWSKI P.,12-04-1995,131374,96,5,28,2,7.14%,23,82.14%,,,24,1,4.17%,1,4,4,100.00%,13,2,15.38%,1,50.00%,3,23.08%,,,3,23.08%,1,33.33%,2,2,0.000,0.000,0.169,0.058,-0.142,0.000,0.000,0.000,488,,3,5,,,,,,,,,,,,,,1,1,20.00%,1,,,1,50.00%,,,,,,,,,,,,2,40.00%,2,2,1,50.00%,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27368,JAKUB,KIWIOR,KIWIOR J.,15-02-2000,131374,96,3,43,,,39,90.70%,,,22,2,9.09%,15,2,,,14,11,78.57%,1,9.09%,4,28.57%,3,75.00%,7,50.00%,5,71.43%,,2,0.091,0.295,0.174,0.032,-0.200,0.203,0.091,0.065,488,2,,4,2,2,100.00%,2,100.00%,,,1,4.55%,1,100.00%,,,1,1,25.00%,1,,,2,18.18%,,,,,,,,2,100.00%,,,2,50.00%,,,,,,,1,100.00%,4,26.67%,1,6.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23936,JAKUB,MODER,MODER J.,07-04-1999,131374,50,2,20,5,25.00%,14,70.00%,1,20.00%,19,2,10.53%,4,,,,2,1,50.00%,,,,,,,1,50.00%,,,,1,0.013,0.345,0.447,0.000,0.299,0.332,0.013,0.013,488,4,2,5,1,1,100.00%,,,,,2,10.53%,,,,,,3,60.00%,,1,50.00%,,,1,,,,,,,,,,,2,40.00%,2,,,,,,,,,,,,1,100.00%,1,50.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20278,JAKUB,PIOTROWSKI,PIOTROWSKI J.,04-10-1997,131374,18,1,4,2,50.00%,3,75.00%,1,50.00%,4,,,,,,,3,2,66.67%,1,50.00%,,,,,,,,,1,1,0.130,0.000,0.488,0.097,0.618,-0.130,0.130,0.130,488,,1,2,1,,,1,100.00%,,,,,,,,,1,,,2,,,1,50.00%,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,1,100.00%,,,,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59743,TARAS WIKTOROWYCZ,ROMANCZUK,ROMANCZUK T.,14-11-1991,131374,56,,15,,,12,80.00%,,,11,,,2,4,2,50.00%,6,3,50.00%,3,100.00%,,,,,1,16.67%,1,100.00%,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,488,,,2,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,1,,,1,100.00%,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5825,BARTOSZ,SALAMON,SALAMON B.,01-05-1991,131374,87,1,32,1,3.13%,28,87.50%,,,17,,,6,3,,,11,9,81.82%,,,1,9.09%,1,100.00%,6,54.55%,5,83.33%,1,2,0.001,0.000,0.000,0.000,0.001,-0.001,0.001,0.000,488,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,6,6,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29439,BARTOSZ PIOTR,SLISZ,SLISZ B.,29-03-1999,131374,40,1,12,,,10,83.33%,,,5,,,5,,,,2,2,100.00%,,,,,,,2,100.00%,2,100.00%,,1,0.000,0.000,0.000,0.048,0.000,0.000,0.000,0.000,488,1,,,,,,,,,,,,,,,,1,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,3,60.00%,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
