Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,falliFatti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,traversoni,palleLaterali,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,giochiPortiereRicevuti,duelliTackleVinti,duelliTackleVinti_PERC,crossRiusciti,crossRiusciti_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaFuori,tiriDaFuori_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriDiTesta,tiriDiTesta_PERC,interventoNegativo,autogol,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,lanci,lanciPositivi,lanciPositivi_PERC,parataPiede,parataPiede_PERC,golProcurati,inFuorigioco,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC
10847,MARKO,ARNAUTOVIC,ARNAUTOVIC M.,19-04-1989,131375,40,1,9,4,44.44%,3,42.86%,7,1,14.29%,4,2,1,25.00%,1,50.00%,5,2,40.00%,1,50.00%,2,100.00%,3,60.00%,2,66.67%,1,20.00%,1,1,50.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20289,CHRISTOPH,BAUMGARTNER,BAUMGARTNER C.,01-08-1999,131375,100,3,29,26,89.66%,7,20.00%,35,2,5.71%,14,6,4,28.57%,3,50.00%,22,5,22.73%,5,100.00%,12,240.00%,2,9.09%,,,4,18.18%,4,,,0.407,0.890,0.736,0.064,0.487,0.482,0.407,0.000,510,1,1,100.00%,1,100.00%,1,33.33%,5,17.24%,3,60.00%,1,14.29%,2,1,50.00%,1,1,2,3,1,33.33%,2,66.67%,10,4,40.00%,1,1,100.00%,1,4.55%,1,1,100.00%,1,1,2,14.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19406,KEVIN,DANSO,DANSO K.,19-09-1998,131375,100,2,64,59,92.19%,,,54,2,3.70%,5,7,2,40.00%,1,14.29%,18,9,50.00%,4,44.44%,3,33.33%,6,33.33%,3,50.00%,4,22.22%,3,,,0.000,0.000,0.267,0.000,-0.213,0.000,0.000,0.000,510,,,,,,,,1,1.56%,,,,,,,,,,,,,,,,,,,2,1,50.00%,3,16.67%,3,,,1,1,2,40.00%,14,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19509,MICHAEL,GREGORITSCH,GREGORITSCH M.,18-04-1994,131375,60,,10,8,80.00%,2,15.38%,13,2,15.38%,4,,1,25.00%,,,5,,,,,5,,2,40.00%,,,1,20.00%,1,,,0.000,0.000,0.335,0.000,0.074,0.000,0.000,0.000,510,,,,,,,,1,10.00%,1,100.00%,,,,,,1,,1,1,1,100.00%,,,,,,1,1,100.00%,,,,,,,1,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17396,FLORIAN,GRILLITSCH,GRILLITSCH F.,07-08-1995,131375,60,2,49,41,83.67%,1,2.22%,45,,,4,1,1,25.00%,,,3,1,33.33%,1,100.00%,2,200.00%,,,,,1,33.33%,,,,0.000,0.000,0.201,0.000,0.014,0.000,0.000,0.000,510,,,,,,,,1,2.04%,,,,,,,,,,,1,1,100.00%,,,,,,1,1,100.00%,1,33.33%,1,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15798,KONRAD,LAIMER,LAIMER K.,27-05-1997,131375,92,1,37,30,81.08%,5,16.13%,31,3,9.68%,3,7,1,33.33%,3,42.86%,11,6,54.55%,3,50.00%,3,50.00%,,,,,2,18.18%,2,2,28.57%,0.092,0.000,0.752,0.000,0.844,-0.092,0.092,0.000,510,1,,,1,100.00%,,,5,13.51%,2,40.00%,2,40.00%,,,,,,1,,,,,,3,2,66.67%,3,1,33.33%,1,9.09%,1,,,1,1,2,66.67%,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16840,PHILLIPP,MWENE,MWENE P.,29-01-1994,131375,89,,36,29,80.56%,1,5.00%,20,,,4,9,2,50.00%,1,11.11%,26,14,53.85%,3,21.43%,5,35.71%,2,7.69%,1,50.00%,10,38.46%,3,,,0.000,0.000,0.608,0.000,0.608,0.000,0.000,0.000,510,,,,,,,,3,8.33%,,,,,,,,2,1,4,,,,,,,,,9,4,44.44%,2,7.69%,2,,,1,1,2,50.00%,,6,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15732,PATRICK,PENTZ,PENTZ P.,02-01-1997,131375,100,1,31,31,100.00%,,,19,,,,4,,,,,2,2,100.00%,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,50.00%,1,,,,1,,,,,,,,3,1,2,3,3,100.00%,22,22,100.00%,9,4,44.44%,2,22.22%,3,100.00%,1,3,33.33%,1.929,0.929,,,,,,,,,,,,,,,,,,,,
17397,STEFAN,POSCH,POSCH S.,14-05-1997,131375,100,3,48,36,75.00%,1,2.86%,35,1,2.86%,3,2,1,33.33%,1,50.00%,18,6,33.33%,4,66.67%,3,50.00%,4,22.22%,1,25.00%,6,33.33%,2,1,50.00%,0.034,0.000,0.918,0.016,0.833,-0.034,0.034,0.000,510,1,,,,,2,66.67%,8,16.67%,5,62.50%,,,1,1,100.00%,2,1,5,,,,,,1,,,5,3,60.00%,,,,,,,1,,,,3,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,
36706,ALEXANDER,PRASS,PRASS A.,26-05-2001,131375,11,1,7,5,71.43%,1,14.29%,7,1,14.29%,1,,,,,,4,2,50.00%,1,50.00%,,,2,50.00%,2,100.00%,1,25.00%,1,,,0.000,0.000,0.530,0.000,0.280,0.000,0.000,0.000,510,,,,,,,,2,28.57%,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
