Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevuti,assist,assistInArea,assistInArea_PERC,perdePalla,recuperaPalla,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevutiInArea,passRicevutiInArea_PERC,triangolazione,triFatta,triFatta_PERC,dribbling,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliAerei,duelliAerei_PERC,falliSubiti,retiSub,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,ammonizioni,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,triChiusa,triChiusa_PERC,dribblingPositivo,dribblingPositivo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,FxGoT,gkGP,tiriDiRigore,tiriDiRigore_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolRigore,tiroGolRigore_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,inFuorigioco,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,interventoNegativo,traversoni,golProcurati,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,golSviluppoCorner,golSviluppoCorner_PERC,tiriRigoreSubiti
23349,GIORGI,CHAKVETADZE,CHAKVETADZE G.,29-08-1999,131376,34,2,1,50.00%,13,2,15.38%,10,76.92%,1,50.00%,11,2,1,50.00%,3,1,8,3,37.50%,1,33.33%,3,100.00%,7,87.50%,3,42.86%,1,0.000,0.000,0.576,0.091,0.576,0.000,0.000,0.000,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27386,ZURIKO,DAVITASHVILI,DAVITASHVILI Z.,15-02-2001,131376,67,,,,20,1,5.00%,18,90.00%,,,25,,,,2,2,14,4,28.57%,2,50.00%,10,250.00%,8,57.14%,2,25.00%,,0.000,0.000,0.199,0.000,-0.091,0.000,0.000,0.000,461,5,20.00%,2,8.00%,2,2,100.00%,3,2,14.29%,1,7.14%,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079,LASHA,DVALI,DVALI L.,14-05-1995,131376,101,3,,,31,,,25,80.65%,,,22,,,,5,3,8,4,50.00%,,,1,25.00%,2,25.00%,2,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,,,,,,,,4,50.00%,,1,4,80.00%,2,1,50.00%,1,25.00%,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43099,GIORGI,GVELESIANI,GVELESIANI G.,05-05-1991,131376,15,,,,4,,,3,75.00%,,,1,,,,,1,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27391,OTAR,KAKABADZE,KAKABADZE O.,27-06-1995,131376,101,3,,,40,1,2.50%,30,75.00%,,,32,,,,11,4,11,3,27.27%,,,5,166.67%,1,9.09%,,,1,0.042,0.443,0.134,0.000,0.175,0.401,0.042,0.000,461,1,3.13%,,,1,1,100.00%,1,,,5,45.45%,,1,6,54.55%,3,1,33.33%,1,20.00%,2,18.18%,,1,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8256,GURAM,KASHIA,KASHIA G.,04-07-1987,131376,101,,,,32,,,25,78.13%,,,17,,,,3,4,12,7,58.33%,2,28.57%,2,28.57%,4,33.33%,3,75.00%,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,,,,,,,,5,41.67%,,1,1,33.33%,2,,,2,40.00%,,,1,,,,,,1,,,,,1,25.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53252,GIORGI,KOCHORASHVILI,KOCHORASHVILI G.,29-06-1999,131376,101,4,,,44,,,41,93.18%,,,35,,,,2,8,17,9,52.94%,1,11.11%,5,55.56%,3,17.65%,2,66.67%,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,1,2.86%,,,1,,,2,2,11.76%,5,29.41%,2,1,,,2,1,50.00%,2,40.00%,,,1,,,,,,,,,,,1,12.50%,,,,1,100.00%,2,100.00%,1,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31347,KHVICHA,KVARATSKHELIA,KVARATSKHELIA K.,12-02-2001,131376,87,2,1,50.00%,20,7,35.00%,14,70.00%,2,28.57%,22,1,,,9,4,19,11,57.89%,1,9.09%,5,45.45%,8,42.11%,3,37.50%,1,0.058,0.000,0.987,0.042,0.934,-0.058,0.058,0.000,461,3,13.64%,,,,,,4,3,15.79%,3,15.79%,3,1,2,22.22%,,,,2,66.67%,,,,1,,,1,100.00%,1,,,,,,,,,,,,3,75.00%,,,1,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13180,GIORGI,KVILITAIA,KVILITAIA G.,01-10-1993,131376,8,,,,2,,,2,100.00%,,,5,,,,4,,5,1,20.00%,1,100.00%,3,300.00%,1,20.00%,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,1,20.00%,,,,,,,,,3,60.00%,,,1,25.00%,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23029,SOLOMON,KVIRKVELIA,KVIRKVELIA S.,06-02-1992,131376,86,,,,29,,,25,86.21%,,,16,,,,1,7,14,10,71.43%,2,20.00%,1,10.00%,7,50.00%,6,85.71%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,461,,,,,,,,,1,7.14%,6,42.86%,1,1,,,,,,3,50.00%,,,,,,,,,,,,,,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36273,SABA,LOBJANIDZE,LOBJANIDZE S.,18-12-1994,131376,14,,,,2,1,50.00%,,,,,2,,,,,,1,1,100.00%,,,,,1,100.00%,1,100.00%,,0.180,0.000,0.000,0.000,-0.086,-0.180,0.180,0.000,461,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25367,LUKA,LOCHOSHVILI,LOCHOSHVILI L.,29-05-1998,131376,34,1,,,11,1,9.09%,8,72.73%,,,5,,,,,4,1,1,100.00%,,,,,,,,,,0.000,0.000,0.263,0.000,0.263,0.000,0.000,0.000,461,,,,,,,,,,,1,100.00%,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
