Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,assist,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,falliFatti,ammonizioni,espulsioni,doppieAmm,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,palleLaterali,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliSubiti,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,interventoNegativo,retiSub,golProcurati,duelliTackleVinti,duelliTackleVinti_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaFuori,tiriDaFuori_PERC,triangolazione,triChiusa,triChiusa_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,FxGoT,gkGP,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,triFatta,triFatta_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,interventoPositivo,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoRimessa,golSviluppoRimessa_PERC,inFuorigioco,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC
13794,ANTONIN,BARAK,BARAK A.,03-12-1994,131377,19,1,5,4,80.00%,7,1,1,4,1,3,75.00%,3,3,100.00%,2,2,100.00%,11,3,27.27%,2,66.67%,3,100.00%,2,18.18%,2,18.18%,2,2,1,1,0.000,0.000,0.000,0.044,-0.164,0.000,0.000,0.000,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42345,LUKAS,CERV,CERV L.,10-04-2001,131377,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13777,TOMAS,CHORY,CHORY T.,26-01-1995,131377,43,,6,3,50.00%,17,5,,6,,,,2,2,100.00%,1,1,100.00%,19,8,42.11%,8,100.00%,10,125.00%,10,52.63%,3,15.79%,2,,1,,0.498,0.672,0.274,0.000,0.087,0.174,0.498,0.000,263,1,1,100.00%,1,100.00%,1,16.67%,1,100.00%,1,5.88%,1,100.00%,4,23.53%,5,100.00%,1,1,100.00%,1,1,5.26%,5,50.00%,1,1,100.00%,1,100.00%,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60006,MOJMIR,CHYTIL,CHYTIL M.,29-04-1999,131377,58,,7,1,14.29%,15,1,,9,,1,11.11%,2,1,50.00%,,,,12,6,50.00%,2,33.33%,5,83.33%,4,33.33%,3,25.00%,1,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263,,,,,,1,14.29%,,,1,6.67%,,,1,6.67%,1,100.00%,,,,1,2,16.67%,2,50.00%,2,,,,,,1,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13139,VLADIMIR,COUFAL,COUFAL V.,22-08-1992,131377,101,2,40,32,80.00%,22,3,1,4,5,3,75.00%,4,2,50.00%,7,5,71.43%,22,10,45.45%,4,40.00%,6,60.00%,6,27.27%,4,18.18%,1,,,,0.000,0.000,1.617,0.079,1.617,0.000,0.000,0.000,263,,,,,,10,25.00%,7,70.00%,1,4.55%,,,,,3,100.00%,,,,2,,,5,83.33%,,,,,,,2,,1,25.00%,1,50.00%,1,100.00%,2,2,100.00%,6,150.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24782,ADAM,HLOZEK,HLOZEK A.,25-07-2002,131377,58,,7,5,71.43%,10,,,4,1,2,50.00%,3,2,66.67%,3,3,100.00%,12,4,33.33%,4,100.00%,4,100.00%,1,8.33%,4,33.33%,1,,,,0.031,0.197,0.430,0.000,-0.320,0.166,0.031,0.031,263,1,1,100.00%,,,,,,,,,,,3,30.00%,,,,,,,,,,,,,,,,,1,,2,50.00%,,,,,,,,4,100.00%,1,100.00%,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24403,TOMAS,HOLES,HOLES T.,31-03-1993,131377,101,1,44,31,70.45%,24,2,,8,9,4,50.00%,,,,6,3,50.00%,11,8,72.73%,1,12.50%,,,3,27.27%,2,18.18%,,,,,0.000,0.000,0.510,0.000,0.510,0.000,0.000,0.000,263,,,,,,6,13.64%,4,66.67%,,,,,,,,,,,,2,,,3,100.00%,,,,,,,2,,2,100.00%,,,,,2,1,50.00%,4,50.00%,,,,,,1,11.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42336,ROBIN,HRANAC,HRANAC R.,29-01-2000,131377,101,,18,15,83.33%,11,1,,3,5,1,33.33%,1,,,,,,10,3,30.00%,1,33.33%,6,200.00%,2,20.00%,4,40.00%,3,,,,0.435,0.061,0.000,0.000,-0.528,-0.374,0.435,0.324,263,2,1,50.00%,2,100.00%,1,5.56%,1,100.00%,2,18.18%,2,100.00%,3,27.27%,,,,,,,,,1,50.00%,,,,1,100.00%,,2,,2,50.00%,,,,,,,,,,,,,,,1,20.00%,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42335,VITEZSLAV,JAROS,JAROS V.,23-07-2001,131377,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.618,1.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60731,DAVID,JURASEK,JURASEK D.,07-08-2000,131377,84,,22,12,54.55%,15,3,,6,6,1,16.67%,2,,,4,3,75.00%,10,3,30.00%,1,33.33%,3,100.00%,2,20.00%,2,20.00%,,,,,0.175,0.340,1.565,0.000,1.611,0.166,0.175,0.175,263,2,2,100.00%,1,50.00%,11,50.00%,4,36.36%,1,6.67%,1,100.00%,1,6.67%,,,1,1,100.00%,5,,,1,50.00%,,,,1,50.00%,,1,,1,50.00%,,,,,2,,,2,33.33%,1,50.00%,1,,,4,66.67%,1,50.00%,2,33.33%,,,,,2,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
