Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cross,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistInArea,assistInArea_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliAerei,duelliAerei_PERC,ammonizioni,tiriDaFuori,tiriDaFuori_PERC,tiriDiTesta,tiriDiTesta_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,thirdPass,thirdPassVincenti,thirdPassVincenti_PERC,duelliAereiVinti,duelliAereiVinti_PERC,inFuorigioco,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,interventoPositivo,retiSub,retiSubGK,cutBack,crossRiusciti,crossRiusciti_PERC,interventoNegativo
14945,MARCOS,ACUNA,ACUNA M.,28-10-1991,131470,90,1,1,100.00%,1,100.00%,2,63,1,1.59%,54,85.71%,3,5.88%,1,33.33%,51,1,1.96%,1,5,3,1,33.33%,2,66.67%,3,3,60.00%,2,1,50.00%,2,12,1,8.33%,7,58.33%,3,42.86%,1,14.29%,4,33.33%,3,75.00%,3,1,1,100.00%,2,40.00%,0.077,0.119,0.400,0.000,0.477,0.042,0.077,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26457,JULIAN,ALVAREZ,ALVAREZ J.,31-01-2000,131470,77,3,3,100.00%,3,100.00%,,17,1,5.88%,16,94.12%,5,20.83%,3,60.00%,24,3,12.50%,1,4,,,,,,,1,25.00%,2,1,50.00%,3,14,,,3,21.43%,1,33.33%,8,266.67%,7,50.00%,2,28.57%,3,,3,100.00%,,,0.475,1.123,0.457,0.000,0.193,0.648,0.475,0.000,421,1,1,100.00%,1,3,100.00%,1,33.33%,1,33.33%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11569,RODRIGO,DE PAUL,DE PAUL R.,24-05-1994,131470,96,,,,,,4,64,4,6.25%,62,96.88%,2,3.51%,,,57,,,1,4,1,,,1,100.00%,4,1,25.00%,4,3,75.00%,2,14,1,7.14%,8,57.14%,3,37.50%,5,62.50%,5,35.71%,3,60.00%,3,1,,,,,0.000,0.000,0.245,0.115,0.006,0.000,0.000,0.000,421,,,,,1,50.00%,,,,,,,,,,,2,50.00%,3,75.00%,3,2,66.67%,1,1,100.00%,1,25.00%,1,7.14%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7512,ANGEL,DI MARIA,DI MARIA A.,14-02-1988,131470,68,2,1,50.00%,1,50.00%,4,40,5,12.50%,29,72.50%,1,2.44%,,,41,,,,7,1,1,100.00%,,,2,,,6,4,66.67%,,10,1,10.00%,6,60.00%,3,50.00%,4,66.67%,3,30.00%,1,33.33%,,1,1,100.00%,,,0.234,0.106,0.657,0.058,0.891,-0.128,0.234,0.000,421,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14920,GIOVANI,LO CELSO,LO CELSO G.,09-04-1996,131470,28,1,,,1,100.00%,,10,1,10.00%,8,80.00%,1,10.00%,1,100.00%,10,1,10.00%,1,1,,,,,,,,,2,1,50.00%,,9,1,11.11%,5,55.56%,1,20.00%,2,40.00%,5,55.56%,3,60.00%,1,1,,,,,0.145,0.000,0.373,0.000,0.318,-0.145,0.145,0.000,421,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32684,ALEXIS,MAC ALLISTER,MAC ALLISTER A.,24-12-1998,131470,96,1,1,100.00%,1,100.00%,1,36,3,8.33%,31,86.11%,9,24.32%,2,22.22%,37,2,5.41%,,9,2,1,50.00%,1,50.00%,3,2,22.22%,2,1,50.00%,,15,2,13.33%,8,53.33%,2,25.00%,4,50.00%,9,60.00%,5,55.56%,1,2,1,100.00%,2,22.22%,0.102,0.061,0.845,0.041,0.394,-0.040,0.102,0.000,421,,,,,,,,,,,,,,,,,1,100.00%,2,66.67%,1,1,100.00%,,,,1,33.33%,1,6.67%,,,,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8278,DAMIAN EMILIANO,MARTINEZ,MARTINEZ E.,02-09-1992,131470,96,,,,,,1,40,,,38,95.00%,,,,,30,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.057,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,2,2,100.00%,5,25,3,60.00%,25,100.00%,10,2,20.00%,4,40.00%,1,50.00%,1,50.00%,4,40.00%,0.982,0.982,,,,,,,,,,,,,,,,,
16755,LAUTARO JAVIER,MARTINEZ,LAUTARO MARTINEZ,22-08-1997,131470,19,2,2,100.00%,2,100.00%,,,,,,,2,25.00%,1,50.00%,8,1,12.50%,,2,,,,,,,,,1,,,1,7,,,,,,,7,,2,28.57%,,,,,2,100.00%,,,0.465,0.361,0.000,0.000,0.262,-0.104,0.465,0.000,421,,,,,1,100.00%,,,1,50.00%,1,100.00%,,,1,100.00%,,,,,,,,,,,,,3,42.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21433,LISANDRO,MARTINEZ,LISANDRO MARTINEZ,18-01-1998,131470,96,,,,,,3,90,,,85,94.44%,,,,,83,,,,3,1,1,100.00%,,,4,2,66.67%,2,1,50.00%,1,7,,,2,28.57%,,,,,3,42.86%,,,,,,,2,66.67%,0.000,0.000,0.000,0.047,0.000,0.000,0.000,0.000,421,9,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,14.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7421,LIONEL,MESSI,MESSI L.,24-06-1987,131470,96,6,4,66.67%,4,66.67%,10,49,11,22.45%,45,91.84%,6,12.00%,1,16.67%,50,3,6.00%,,9,,,,,,2,2,22.22%,5,1,20.00%,3,17,1,5.88%,4,23.53%,4,100.00%,9,225.00%,6,35.29%,1,16.67%,1,1,3,75.00%,2,22.22%,0.910,1.058,2.140,0.509,2.499,0.149,0.910,0.000,421,,,,,3,100.00%,,,,,,,,,,,7,70.00%,8,72.73%,7,5,71.43%,,,,2,100.00%,1,5.88%,,2,33.33%,,,1,14.29%,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,1,1,25.00%,1,50.00%,,,,,,,
23982,NAHUEL,MOLINA,MOLINA N.,06-04-1998,131470,90,,,,,,1,70,3,4.29%,63,90.00%,,,,,50,1,2.00%,2,6,,,,,,9,1,16.67%,2,,,1,8,,,4,50.00%,3,75.00%,4,100.00%,3,37.50%,2,66.67%,1,,,,2,33.33%,0.000,0.000,0.687,0.045,0.687,0.000,0.000,0.000,421,,,,1,,,,,,,,,,,,,1,100.00%,2,66.67%,1,1,100.00%,,,,6,66.67%,1,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,3,33.33%,,,,,,,
26455,GONZALO,MONTIEL,MONTIEL G.,01-01-1997,131470,6,,,,,,,4,,,4,100.00%,,,,,3,,,,,,,,,,1,,,,,,,2,,,2,100.00%,1,50.00%,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,
7507,NICOLAS,OTAMENDI,OTAMENDI N.,12-02-1988,131470,19,2,,,2,100.00%,,3,,,3,100.00%,2,40.00%,2,100.00%,5,2,40.00%,,,,,,,,,,,,,,,1,,,1,100.00%,1,100.00%,,,1,100.00%,1,100.00%,,,,,,,1.009,0.000,0.000,0.000,0.636,-1.009,1.009,0.000,421,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972,LEANDRO,PAREDES,PAREDES L.,29-06-1994,131470,77,1,,,,,4,65,,,61,93.85%,1,1.69%,,,59,,,,3,,,,,,9,,,,,,,9,2,22.22%,5,55.56%,,,2,40.00%,4,44.44%,2,50.00%,2,2,,,,,0.054,0.000,0.000,0.000,-0.140,-0.054,0.054,0.000,421,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,22.22%,1,11.11%,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,1,11.11%,1,,,,,,
17761,CRISTIAN,ROMERO,ROMERO C.,27-04-1998,131470,96,,,,,,2,94,,,93,98.94%,,,,,83,1,1.20%,,1,,,,,,9,,,1,1,100.00%,1,13,,,11,84.62%,3,27.27%,,,8,61.54%,7,87.50%,,,,,,,0.000,0.000,0.000,0.000,-0.141,0.000,0.000,0.000,421,13,,,,,,,,,,,,,,,,,,,,,,,,,,2,22.22%,3,23.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,,,,,,1,,,,,,
15904,NICOLAS,TAGLIAFICO,TAGLIAFICO N.,31-08-1992,131470,6,,,,,,,2,1,50.00%,1,50.00%,,,,,2,,,,,,,,,,,,,1,1,100.00%,1,3,,,1,33.33%,1,100.00%,,,1,33.33%,,,,,,,,,0.000,0.000,0.107,0.000,0.107,0.000,0.000,0.000,421,2,2,100.00%,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
