Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passRicevuti,perdePalla,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInArea,passInArea_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,recuperaPalla,dribbling,duelliPersiMetaCampo,duelliAerei,duelliAerei_PERC,inFuorigioco,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,traversoni,palleLaterali,triangolazione,triFatta,triFatta_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliPersiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,triChiusa,triChiusa_PERC,dribblingPositivo,dribblingPositivo_PERC,falliFatti,tiriDaFuori,tiriDaFuori_PERC,cross,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,crossRiusciti,crossRiusciti_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,thirdPass,interventoPositivo,ammonizioni,cutBack,passaggiPortierePositivi,passaggiPortierePositivi_PERC,cutBackRiusciti,cutBackRiusciti_PERC
20461,LUIS,ABRAM,ABRAM L.,27-02-1996,131471,12,1,3,2,66.67%,4,1,2,1,50.00%,2,100.00%,1,50.00%,1,100.00%,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16695,LUIS JAN PIERS,ADVINCULA CASTRILLON,ADVINCULA L.,02-03-1990,131471,34,,14,8,57.14%,9,4,4,,,,,2,50.00%,,,,0.000,0.000,0.177,0.000,0.177,0.000,0.000,0.000,780,2,14.29%,1,11.11%,1,1,3,1,25.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13455,MIGUEL,ARAUJO,ARAUJO M.,24-10-1994,131471,100,,33,24,72.73%,15,4,6,,,2,33.33%,3,50.00%,1,33.33%,,0.096,0.048,0.133,0.000,0.228,-0.047,0.096,0.096,780,2,6.06%,,,6,,2,2,33.33%,,1,1,100.00%,1,100.00%,1,100.00%,1,1,1,1,100.00%,2,50.00%,1,16.67%,1,1,100.00%,100.00%,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17907,ALEXANDER,CALLENS,CALLENS A.,04-05-1992,131471,88,1,25,20,80.00%,15,2,6,,,5,83.33%,5,83.33%,4,80.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780,,,,,5,,,,,,,,,,,,,,,,,,1,50.00%,1,20.00%,1,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15911,WILDER JOSE',CARTAGENA MENDOZA,CARTAGENA W.,23-09-1994,131471,100,4,31,26,83.87%,19,2,11,1,9.09%,3,27.27%,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780,1,3.23%,1,5.26%,6,2,3,3,27.27%,,,,,,,,,,,1,,,,,1,16.67%,3,2,66.67%,100.00%,,,,,,,1,100.00%,1,100.00%,1,5.26%,1,100.00%,1,50.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11235,EDISON MICHAEL,FLORES PERALTA,FLORES E.,14-05-1994,131471,76,,10,6,60.00%,13,4,14,3,21.43%,3,21.43%,3,21.43%,,,3,0.030,0.229,0.583,0.000,0.257,0.200,0.030,0.030,780,2,20.00%,5,38.46%,1,1,9,4,28.57%,,1,1,100.00%,,,,,,1,,,,,,1,100.00%,,,,300.00%,,,,,,,1,50.00%,,,1,7.69%,,,,,3,1,100.00%,1,2,66.67%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47614,PEDRO,GALLESE,GALLESE P.,23-02-1990,131471,100,,26,11,42.31%,6,11,1,,,1,100.00%,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780,,,,,6,,,1,100.00%,,,,,,,,,,,,,,1,9.09%,,,,,,,1,100.00%,,,2,18.18%,,,,,,,,,,,,,,,,,,,2,2,3,1,33.33%,5,1,2,40.00%,20,3,15.00%,9,45.00%,2,100.00%,8,40.00%,0.807,0.807,,,,,,,,,,,,,,,,,,,,
54814,JOAO ALBERTO,GRIMALDO UBIDIA,GRIMALDO J.,20-02-2003,131471,25,,6,4,66.67%,5,3,3,,,1,33.33%,,,,,,0.000,0.000,0.220,0.000,0.220,0.000,0.000,0.000,780,1,16.67%,1,20.00%,1,3,2,,,,,,,,,,,,1,,,,,,,,,,,200.00%,,,,,,,,,,,,,,,1,33.33%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11236,PAOLO,GUERRERO,GUERRERO P.,01-01-1984,131471,25,,8,5,62.50%,10,5,10,1,10.00%,4,40.00%,2,20.00%,,,1,0.000,0.000,0.251,0.000,0.251,0.000,0.000,0.000,780,1,12.50%,1,10.00%,,,6,5,50.00%,,,,,,,,,,,,,,,,,,,,,150.00%,3,60.00%,,,,,,,,,,,,,,,2,,,,3,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8779,GIANLUCA,LAPADULA,LAPADULA G.,07-02-1990,131471,100,,13,7,53.85%,22,8,24,6,25.00%,9,37.50%,3,12.50%,,,6,0.144,0.449,0.178,0.000,-0.367,0.305,0.144,0.144,780,1,7.69%,2,9.09%,1,,13,11,45.83%,1,2,2,100.00%,1,50.00%,,,,,1,1,100.00%,2,25.00%,,,1,,,144.44%,2,18.18%,1,50.00%,,,,,1,50.00%,3,13.64%,,,,,4,1,50.00%,,4,44.44%,1,50.00%,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,
