Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdePalla,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,assist,assistInArea,assistInArea_PERC,cross,palleLaterali,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,falliFatti,falliSubiti,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,thirdPass,ammonizioni,crossRiusciti,crossRiusciti_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,tiriDiTesta,tiriDiTesta_PERC,interventoNegativo,espulsioni,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cutBack,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,triangolazione,triChiusa,triChiusa_PERC,triFatta,triFatta_PERC,uscite,interventoPositivo,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,inFuorigioco,golProcurati
30956,JORDY,CAICEDO,CAICEDO J.,18-11-1997,131472,17,4,1,25.00%,2,50.00%,4,1,25.00%,1,1,100.00%,2,1,1,1,100.00%,6,2,33.33%,3,150.00%,2,33.33%,3,50.00%,1,33.33%,0.000,0.000,0.531,0.000,0.345,0.000,0.000,0.000,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32674,MOISES,CAICEDO,CAICEDO M.,02-11-2001,131472,100,40,7,17.50%,29,72.50%,31,,,,,,9,6,3,3,100.00%,15,10,66.67%,4,40.00%,1,6.67%,4,26.67%,3,75.00%,0.000,0.000,0.902,0.028,0.902,0.000,0.000,0.000,419,1,1,100.00%,2,28.57%,1,3.23%,1,1,100.00%,2,2,1,11.11%,2,33.33%,1,3,20.00%,2,20.00%,3,3,2,2,22.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11348,ALEXANDER,DOMINGUEZ,DOMINGUEZ A.,05-06-1987,131472,100,27,2,7.41%,13,48.15%,10,,,,,,8,4,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,419,,,,1,50.00%,,,,,,,,1,12.50%,,,,,,,,,,2,2,25.00%,4,7,4,57.14%,6,4,2,33.33%,4,100.00%,17,2,11.76%,6,35.29%,4,100.00%,2,9,52.94%,4.088,2.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32673,ALAN,FRANCO,FRANCO A.,21-08-1998,131472,83,19,1,5.26%,15,78.95%,10,,,,,,2,6,1,,,6,2,33.33%,2,100.00%,1,16.67%,1,16.67%,1,100.00%,0.156,0.179,0.103,0.000,0.259,0.023,0.156,0.000,419,,,,,,,,,,,,1,2,100.00%,1,16.67%,1,,,1,50.00%,2,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11252,CARLOS,GRUEZO,GRUEZO C.,19-04-1995,131472,33,8,,,4,50.00%,5,,,,,,1,1,,,,5,1,20.00%,1,100.00%,2,40.00%,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,419,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30855,PIERO,HINCAPIE',HINCAPIE' P.,09-01-2002,131472,100,35,5,14.29%,26,74.29%,25,1,4.00%,,,,6,5,3,,,11,6,54.55%,2,33.33%,1,9.09%,2,18.18%,2,100.00%,0.001,0.000,0.775,0.063,0.672,-0.001,0.001,0.000,419,3,2,66.67%,2,40.00%,3,12.00%,1,1,100.00%,2,3,2,33.33%,1,20.00%,1,3,27.27%,3,50.00%,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,100.00%,1,1,100.00%,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57354,ALAN STEVE,MINDA GARCIA,MINDA A.,14-05-2003,131472,17,3,1,33.33%,1,33.33%,3,,,,,,2,,1,,,2,1,50.00%,1,100.00%,1,50.00%,,,,,0.000,0.000,0.191,0.000,0.191,0.000,0.000,0.000,419,,,,,,1,33.33%,,,,1,1,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36812,WILLIAN JOEL,PACHO TENORIO,PACHO W.,16-10-2001,131472,100,45,3,6.67%,33,73.33%,27,1,3.70%,1,,,4,5,,,,10,8,80.00%,1,12.50%,5,50.00%,2,20.00%,2,100.00%,0.000,0.000,0.941,0.000,0.744,0.000,0.000,0.000,419,5,,,,,,,,,,1,1,2,50.00%,1,20.00%,2,,,2,25.00%,1,,2,4,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,80.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61155,RAY KENDRY,PAEZ ANDRADE,PAEZ K.,04-05-2007,131472,83,23,3,13.04%,17,73.91%,21,1,4.76%,1,1,100.00%,8,3,2,1,50.00%,11,5,45.45%,2,40.00%,1,9.09%,4,36.36%,4,100.00%,0.393,0.255,0.508,0.000,0.518,-0.138,0.393,0.000,419,2,,,1,33.33%,3,14.29%,,,,,,4,50.00%,1,33.33%,3,,,2,40.00%,1,,2,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,2,1,50.00%,1,50.00%,3,100.00%,,,1,100.00%,1,50.00%,,,,1,33.33%,1,33.33%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30362,ANGELO,PRECIADO,PRECIADO AN.,18-02-1998,131472,100,33,5,15.15%,18,54.55%,15,,,1,,,10,3,2,,,14,4,28.57%,2,50.00%,2,14.29%,5,35.71%,3,60.00%,0.016,0.000,0.473,0.000,0.489,-0.016,0.016,0.000,419,1,,,1,20.00%,5,33.33%,,,,2,3,4,40.00%,,,1,,,1,25.00%,4,,2,4,40.00%,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,100.00%,1,50.00%,,,1,100.00%,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
