Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,cross,palleLaterali,perdePalla,duelli,duelliPersiMetaCampo,duelliAerei,duelliAerei_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,giochiPortiereRicevuti,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistInArea,assistInArea_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,triangolazione,triFatta,triFatta_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,falliFatti,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,traversoni,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,FxGoT,gkGP,crossRiusciti,crossRiusciti_PERC,triChiusa,triChiusa_PERC,assistVincenti,assistVincenti_PERC,thirdPass,inFuorigioco,retiSub,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,interventoPositivo,lanciPositivi,lanciPositivi_PERC,rinvioMano,rinvioMano_PERC,retiSubGK
17877,ROBERTO,ALVARADO,ALVARADO R.,07-09-1998,131473,16,5,1,20.00%,1,20.00%,1,16.67%,6,1,1,2,1,1,1,100.00%,0.000,0.000,0.369,0.000,0.369,0.000,0.000,0.000,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16647,EDSON,ALVAREZ,ALVAREZ ED.,24-10-1997,131473,30,25,1,4.00%,19,76.00%,,,17,,,2,4,2,4,100.00%,0.000,0.000,0.121,0.000,0.121,0.000,0.000,0.000,245,1,1,3,1,50.00%,2,66.67%,2,50.00%,1,50.00%,100.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29854,URIEL,ANTUNA,ANTUNA U.,21-08-1997,131473,85,44,10,22.73%,34,77.27%,4,11.76%,34,5,6,4,5,,3,60.00%,0.000,0.000,1.224,0.033,1.224,0.000,0.000,0.000,245,1,,4,,,1,25.00%,3,60.00%,1,33.33%,,1,33.33%,1,100.00%,4,40.00%,1,1,100.00%,1,1,100.00%,1,1,100.00%,1,1,100.00%,1,20.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17870,GERARDO,ARTEAGA,ARTEAGA G.,07-09-1998,131473,101,46,1,2.17%,42,91.30%,3,7.89%,38,1,1,5,8,2,,,0.066,0.379,0.000,0.018,-0.164,0.314,0.066,0.066,245,2,1,3,3,60.00%,1,33.33%,3,37.50%,,,66.67%,,,,,,,1,,,,,,1,1,100.00%,2,,,1,12.50%,1,100.00%,1,1,100.00%,1,100.00%,4,2,50.00%,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,4,80.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33523,LUIS,CHAVEZ,CHAVEZ L.,15-01-1996,131473,85,47,7,14.89%,36,76.60%,4,9.76%,41,2,3,4,4,2,,,0.342,1.192,1.934,0.077,1.858,0.850,0.342,0.294,245,5,,2,,,1,50.00%,2,50.00%,2,100.00%,100.00%,,,1,20.00%,2,28.57%,2,1,50.00%,,,,,,,1,1,100.00%,2,50.00%,,,5,5,100.00%,3,60.00%,,,,,,,,,,,3,60.00%,,,2,40.00%,1,25.00%,3,7.32%,1,1,25.00%,1,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59252,SANTIAGO TOMAS,GIMENEZ,GIMENEZ S.,18-04-2001,131473,75,10,1,10.00%,7,70.00%,4,20.00%,20,,,7,10,7,5,50.00%,0.272,0.324,0.305,0.039,-0.021,0.052,0.272,0.272,245,1,,,2,28.57%,,,1,10.00%,1,100.00%,700.00%,1,20.00%,,,,,1,,,,,,,,,,,,4,40.00%,,,2,1,50.00%,,,,,,1,,,,,,,,,,,2,100.00%,2,50.00%,4,20.00%,,,,,1,100.00%,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45442,JULIO,GONZALEZ,GONZALEZ JU.,23-04-1991,131473,101,29,1,3.45%,24,82.76%,,,14,,,2,1,,1,100.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,245,,,6,1,50.00%,1,16.67%,1,100.00%,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,100.00%,3,17,17,100.00%,9,1,11.11%,4,100.00%,8,88.89%,1,16.67%,1.016,1.016,,,,,,,,,,,,,,,,,
45509,GUILLERMO,MARTINEZ,MARTINEZ G.,15-03-1995,131473,26,5,,,4,80.00%,,,7,,,1,3,1,1,33.33%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,245,1,,,,,,,2,66.67%,,,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,66.67%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33519,CESAR,MONTES,MONTES C.,24-02-1997,131473,101,73,1,1.37%,57,78.08%,1,1.85%,54,,,7,9,,7,77.78%,0.088,0.402,0.122,0.000,-0.013,0.314,0.088,0.088,245,9,7,10,2,28.57%,2,20.00%,8,88.89%,2,25.00%,,7,100.00%,2,22.22%,1,100.00%,,,,,,,,,,,,,1,11.11%,1,100.00%,2,1,50.00%,1,50.00%,,,,1,,,,,,,,,4,57.14%,1,50.00%,1,100.00%,1,1.85%,,,,,1,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,1,10.00%,,,,,,,,,,,,,,,,,,,
33526,ORBELIN,PINEDA,PINEDA O.,24-03-1996,131473,75,45,7,15.56%,34,75.56%,4,10.53%,38,1,1,9,11,8,2,18.18%,0.000,0.000,1.049,0.070,0.889,0.000,0.000,0.000,245,4,,5,,,3,60.00%,3,27.27%,2,66.67%,266.67%,,,3,75.00%,4,57.14%,2,1,50.00%,,,,2,,,,,,6,54.55%,1,16.67%,,,,,,1,,,1,,,,,,,,,,,,,1,25.00%,6,15.79%,,1,9.09%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,2,100.00%,,,,,,,,,,,,,
