Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,falliSubiti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passInAreaRiusciti,passInAreaRiusciti_PERC,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,palleLaterali,duelliAerei,duelliAerei_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,assist,tiriDiTesta,tiriDiTesta_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,ammonizioni,traversoni,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assistVincenti,assistVincenti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,golSviluppoCorner,golSviluppoCorner_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,thirdPass,thirdPassVincenti,thirdPassVincenti_PERC,crossRiusciti,crossRiusciti_PERC,traversoniRiusciti,traversoniRiusciti_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,FxGoT,gkGP,assistVincentiInArea,assistVincentiInArea_PERC,inFuorigioco,retiSub,interventoPositivo,parataPiede,parataPiede_PERC,retiSubGK
26313,BRENDEN,AARONSON,AARONSON B.,22-10-2000,131474,9,4,1,25.00%,3,75.00%,3,1,1,1,100.00%,1,1,100.00%,3,1,33.33%,2,66.67%,1,0.000,0.000,0.236,0.000,0.236,0.000,0.000,0.000,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17799,TYLER,ADAMS,ADAMS T.,14-02-1999,131474,47,35,1,2.86%,33,94.29%,27,7,1,1,100.00%,1,1,100.00%,9,1,11.11%,4,44.44%,1,0.000,0.000,0.147,0.000,0.147,0.000,0.000,0.000,819,2,1,100.00%,5,2,1,50.00%,1,50.00%,3,60.00%,2,28.57%,3,75.00%,2,50.00%,4,44.44%,2,50.00%,2,4,80.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24860,FOLARIN,BALOGUN,BALOGUN F.,03-07-2001,131474,67,13,2,15.38%,9,69.23%,27,1,1,1,100.00%,,,,14,1,7.14%,2,14.29%,1,0.438,1.710,0.498,0.000,-0.116,1.272,0.438,0.000,819,,,,8,,,,,,3,37.50%,1,100.00%,1,50.00%,8,400.00%,7,50.00%,,,,,,3,3,100.00%,3,100.00%,8,29.63%,3,37.50%,7,25.93%,1,1,1,5,35.71%,1,33.33%,1,100.00%,1,100.00%,3,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36638,LUCA,DE LA TORRE,DE LA TORRE L.,23-05-1998,131474,17,9,1,11.11%,8,88.89%,7,,,,,,,,1,,,1,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,,1,100.00%,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65577,JOAO LUCAS,DE SOUZA CARDOSO,CARDOSO J.,20-09-2001,131474,29,17,,,16,94.12%,16,2,2,2,100.00%,1,,,10,1,10.00%,8,80.00%,1,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.000,819,2,,,1,,,,,,,,,,3,37.50%,1,12.50%,6,60.00%,4,66.67%,,,,,,,,,1,6.25%,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17390,WESTON,MCKENNIE,MCKENNIE W.,28-08-1998,131474,79,32,4,12.50%,26,81.25%,31,5,5,3,60.00%,2,2,100.00%,24,,,8,33.33%,,0.141,0.000,0.682,0.061,0.324,-0.141,0.141,0.000,819,2,2,50.00%,7,3,2,66.67%,1,33.33%,5,71.43%,,,5,62.50%,9,112.50%,11,45.83%,3,27.27%,2,2,28.57%,1,,,1,100.00%,4,12.90%,2,50.00%,6,19.35%,1,1,1,4,16.67%,,,,,,,,,,,2,50.00%,1,1,100.00%,1,50.00%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26315,YUNUS,MUSAH,MUSAH Y.,29-11-2002,131474,49,28,,,25,89.29%,21,5,3,3,100.00%,4,1,25.00%,14,1,7.14%,8,57.14%,1,0.000,0.000,0.000,0.000,-0.161,0.000,0.000,0.000,819,,,,2,,,,,,,,3,60.00%,2,25.00%,4,50.00%,4,28.57%,,,1,,,,,,,,,,,,1,4.76%,1,,1,1,7.14%,,,,,,,,,2,40.00%,1,100.00%,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59298,RICARDO DANIEL,PEPI,PEPI R.,09-01-2003,131474,29,9,2,22.22%,8,88.89%,11,2,,,,2,2,100.00%,4,1,25.00%,1,25.00%,1,1.239,1.339,0.253,0.028,0.418,0.100,1.239,0.000,819,1,1,50.00%,,,,,,,,,1,50.00%,1,100.00%,3,300.00%,1,25.00%,,,,,,4,3,75.00%,3,75.00%,4,36.36%,3,75.00%,5,45.45%,,,,,,,,,,,,2,66.67%,1,50.00%,,,1,,,,,,,,,1,25.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10444,CHRISTIAN,PULISIC,PULISIC C.,18-09-1998,131474,96,47,13,27.66%,37,78.72%,42,4,6,4,66.67%,2,,,24,1,4.17%,11,45.83%,1,0.430,1.042,2.679,0.112,2.873,0.612,0.430,0.000,819,3,6,46.15%,8,1,,,1,100.00%,4,50.00%,2,50.00%,8,72.73%,8,72.73%,11,45.83%,3,27.27%,1,2,25.00%,4,3,75.00%,3,75.00%,6,14.29%,2,33.33%,4,9.52%,2,2,3,3,12.50%,1,25.00%,1,100.00%,1,100.00%,2,66.67%,1,25.00%,1,33.33%,3,,,2,66.67%,2,66.67%,,,1,25.00%,1,33.33%,1,50.00%,1,33.33%,1,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26314,TIM,REAM,REAM T.,05-10-1987,131474,96,69,1,1.45%,60,86.96%,53,8,,,,,,,7,,,6,85.71%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,3,1,100.00%,6,,,,,,2,33.33%,2,25.00%,1,16.67%,1,16.67%,5,71.43%,4,80.00%,,2,33.33%,,,,,,,,,,,,3,,,2,28.57%,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
