Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,cross,crossRiusciti,crossRiusciti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,palleLaterali,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,inFuorigioco,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,golProcurati,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,giochiPortiereRicevuti,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assistInArea,assistInArea_PERC,triFatta,triFatta_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,thirdPass,dribbling,dribblingPositivo,dribblingPositivo_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolArea,tiroGolArea_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,interventoPositivo,lanciPositivi,lanciPositivi_PERC,rinvioPiede,rinvioPiede_PERC,parataPiede,parataPiede_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,ammonizioni
45313,MAXIMILIANO,ARAUJO,ARAUJO M.,15-02-2000,131475,97,4,3,75.00%,3,75.00%,1,25.00%,2,50.00%,1,29,4,13.79%,18,62.07%,9,32.14%,4,44.44%,28,5,17.86%,1,2,1,50.00%,1,1,100.00%,3,7,1,1,100.00%,4,3,42.86%,2,50.00%,1,1,100.00%,9,1,11.11%,4,44.44%,1,25.00%,1,25.00%,3,33.33%,2,66.67%,2,22.22%,1,50.00%,2,1,1,1,25.00%,1,100.00%,1,100.00%,2,66.67%,1,33.33%,1,1,2,28.57%,0.652,1.298,1.241,0.039,0.998,0.646,0.652,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24553,RONALD,ARAUJO,ARAUJO R.,07-03-1999,131475,47,1,,,1,100.00%,,,1,100.00%,2,33,,,30,90.91%,1,4.00%,1,100.00%,25,3,12.00%,,,,,,,,,2,,,,4,,,2,50.00%,,,,6,,,5,83.33%,3,60.00%,1,20.00%,5,83.33%,4,80.00%,1,16.67%,1,100.00%,,,1,,,,,,,,,,,,,,,0.129,0.000,0.176,0.000,-0.342,-0.129,0.129,0.000,246,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14080,RODRIGO,BENTANCUR,BENTANCUR R.,25-06-1997,131475,11,,,,,,,,,,,5,,,4,80.00%,1,25.00%,,,4,,,,,,,,,,,1,,,,,,,,,1,1,100.00%,2,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,1,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45207,SEBASTIAN,CACERES,CACERES S.,18-08-1999,131475,35,,,,,,,,,,,15,,,14,93.33%,,,,,13,,,,,,,,,,,1,,,,2,,,,,,,,1,,,1,100.00%,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,1,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13443,GIORGIAN,DE ARRASCAETA,DE ARRASCAETA G.,01-06-1994,131475,62,2,1,50.00%,1,50.00%,1,50.00%,1,50.00%,3,28,11,39.29%,18,64.29%,2,9.09%,1,50.00%,22,3,13.64%,1,,,,,,,,4,1,,,1,,,,,,,,7,,,3,42.86%,2,66.67%,3,100.00%,3,42.86%,2,66.67%,4,57.14%,1,25.00%,,,,,,,,,,1,100.00%,,,,,,,0.199,0.194,2.368,0.028,1.129,-0.005,0.199,0.000,246,,,,2,66.67%,3,27.27%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26462,NICOLAS,DE LA CRUZ,DE LA CRUZ N.,01-06-1997,131475,35,1,,,,,1,100.00%,,,6,13,5,38.46%,8,61.54%,1,10.00%,,,10,,,3,1,1,100.00%,,,,2,2,,,,1,,,,,,,,4,2,50.00%,2,50.00%,1,50.00%,,,1,25.00%,,,,,,,1,2,,,,,,,,,,,,1,,,,0.056,0.000,0.607,0.123,0.663,-0.056,0.056,0.000,246,,,,4,66.67%,4,80.00%,2,66.67%,,,1,33.33%,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7671,JOSE' MARIA,GIMENEZ,GIMENEZ J.,20-01-1995,131475,50,,,,,,,,,,1,22,1,4.55%,20,90.91%,,,,,17,,,,,,,,,,,2,,,,2,,,,,,,,6,,,3,50.00%,,,1,33.33%,2,33.33%,2,100.00%,1,16.67%,1,100.00%,3,,,,,,,,,,,,,1,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13863,NAHITAN,NANDEZ,NANDEZ N.,28-12-1995,131475,97,,,,,,,,,,5,51,10,19.61%,36,70.59%,2,4.88%,,,41,,,2,6,1,16.67%,,,,6,6,2,1,50.00%,,,,,,2,1,50.00%,12,1,8.33%,7,58.33%,2,28.57%,4,57.14%,1,8.33%,1,100.00%,3,25.00%,3,100.00%,3,1,,,,,,,,,,,,1,,,,0.000,0.000,1.392,0.291,1.097,0.000,0.000,0.000,246,,,2,4,80.00%,4,40.00%,2,100.00%,1,50.00%,,,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24912,DARWIN,NUNEZ,NUNEZ D.,24-06-1999,131475,97,5,4,80.00%,3,60.00%,2,40.00%,1,20.00%,2,18,5,27.78%,14,77.78%,10,40.00%,5,50.00%,25,7,28.00%,1,,,,,,,,6,,,,1,1,16.67%,1,100.00%,,,,12,1,8.33%,6,50.00%,4,66.67%,5,83.33%,3,25.00%,3,100.00%,5,41.67%,1,20.00%,1,1,1,1,20.00%,,,1,100.00%,2,50.00%,2,50.00%,1,,,,1.149,2.011,1.815,0.040,1.959,0.862,1.149,0.000,246,,,,1,50.00%,3,60.00%,1,100.00%,,,,,,,,2,1,50.00%,1,20.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23369,MATHIAS,OLIVERA MIRAMONTES,OLIVERA M.,31-10-1997,131475,62,,,,,,,,,,2,40,1,2.50%,35,87.50%,,,,,34,1,2.94%,,,,,,,,,1,1,1,100.00%,2,,,1,50.00%,,,,7,,,5,71.43%,,,,,5,71.43%,4,80.00%,2,28.57%,1,50.00%,,,,,,,,,,,,,,,,,,0.000,0.000,0.311,0.000,0.125,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
