Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passRicevutiInArea,passRicevutiInArea_PERC,tiri,tiriDaArea,tiriDaArea_PERC,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,inFuorigioco,tiriInPorta,tiriInPorta_PERC,tiriDiTesta,tiriDiTesta_PERC,triFatta,triFatta_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,thirdPass,traversoni,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiriDaFuori,tiriDaFuori_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,interventoPositivo,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC
52201,JHON,ARIAS,ARIAS J.,21-09-1997,131476,95,1,48,1,2.08%,45,93.75%,3,6.82%,44,1,3,1,1,100.00%,6,1,33.33%,3,50.00%,2,1,50.00%,2,1,50.00%,14,3,21.43%,8,57.14%,4,50.00%,4,50.00%,3,21.43%,1,33.33%,3,21.43%,2,66.67%,1,3,1,2,33.33%,2,66.67%,0.000,0.000,0.158,0.000,0.158,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56177,KEVIN DUVAN,CASTANO GIL,CASTANO K.,29-09-2000,131476,6,,1,,,1,100.00%,,,2,,,1,1,100.00%,,,,,,,,,,,,2,,,,,,,1,,,,,,2,100.00%,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15095,JHON ANDRES,CORDOBA COPETE,CORDOBA J.,11-05-1993,131476,30,,4,,,4,100.00%,1,11.11%,9,,2,,,,1,,,,,,,,,,,12,1,8.33%,6,50.00%,2,33.33%,6,100.00%,6,50.00%,1,16.67%,5,41.67%,4,80.00%,,1,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,1,11.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20505,LUIS FERNANDO,DIAZ MARULANDA,DIAZ L. F.,13-01-1997,131476,100,1,22,3,13.64%,15,68.18%,6,16.67%,36,2,15,,,,2,3,20.00%,,,11,5,45.45%,,,,29,,,11,37.93%,6,54.55%,14,127.27%,7,24.14%,4,57.14%,8,27.59%,2,25.00%,3,,1,,,2,13.33%,0.283,0.000,0.681,0.024,0.741,-0.283,0.283,0.000,414,2,5.56%,2,2,100.00%,1,100.00%,2,66.67%,2,33.33%,1,50.00%,1,1,100.00%,2,1,50.00%,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16563,JEFFERSON ANDRES,LERMA SOLIS,LERMA J.,25-10-1994,131476,71,2,55,,,49,89.09%,3,6.38%,47,,6,2,1,50.00%,4,2,33.33%,,,5,5,100.00%,3,2,66.67%,17,1,5.88%,10,58.82%,4,40.00%,2,20.00%,4,23.53%,2,50.00%,3,17.65%,1,33.33%,1,1,,,,2,33.33%,0.187,0.568,0.000,0.000,0.028,0.381,0.187,0.000,414,1,2.13%,1,1,100.00%,,,,,1,33.33%,,,,,,,,,,,1,100.00%,1,100.00%,1,50.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20520,JHON,LUCUMI,LUCUMI J.,26-06-1998,131476,25,2,18,1,5.56%,18,100.00%,,,18,1,,,,,,,,,,,,,2,,,5,,,3,60.00%,,,,,,,,,3,60.00%,1,33.33%,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11346,YERRY,MINA,MINA Y.,23-09-1994,131476,75,2,45,,,41,91.11%,,,30,2,2,,,,8,1,50.00%,2,25.00%,,,,1,1,100.00%,12,2,16.67%,9,75.00%,2,22.22%,2,22.22%,7,58.33%,5,71.43%,2,16.67%,2,100.00%,,2,1,,,2,100.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16564,JOHAN,MOJICA,MOJICA J.,21-08-1992,131476,100,3,65,6,9.23%,55,84.62%,1,1.89%,53,,9,2,,,5,3,33.33%,,,3,2,66.67%,3,1,33.33%,17,1,5.88%,9,52.94%,2,22.22%,2,22.22%,3,17.65%,,,7,41.18%,4,57.14%,,1,1,,,4,44.44%,0.000,0.000,0.498,0.056,0.498,0.000,0.000,0.000,414,,,,,,2,66.67%,2,33.33%,,,,,1,1,100.00%,2,1,50.00%,4,,,,,,2,100.00%,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30367,DANIEL,MUNOZ,MUNOZ D.,26-05-1996,131476,100,2,54,3,5.56%,43,79.63%,4,9.76%,41,1,6,2,1,50.00%,8,1,16.67%,,,1,,,2,1,50.00%,17,2,11.76%,9,52.94%,3,33.33%,3,33.33%,4,23.53%,2,50.00%,6,35.29%,4,66.67%,2,2,1,,,2,33.33%,0.226,0.566,0.397,0.072,0.056,0.340,0.226,0.000,414,2,4.88%,2,2,100.00%,2,100.00%,3,100.00%,2,50.00%,,,2,2,100.00%,1,1,100.00%,2,,1,50.00%,2,100.00%,1,50.00%,1,50.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53534,JUAN FERNANDO,QUINTERO PANIAGUA,QUINTERO J.,18-01-1993,131476,6,,5,,,5,100.00%,,,4,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
