Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,inFuorigioco,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,traversoni,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,thirdPass,ammonizioni,uscite,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,FxGoT,gkGP,tiriDiTesta,tiriDiTesta_PERC,parate,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC
7431,MARCOS,AOAS CORREA,MARQUINHOS,14-05-1994,131477,99,7,90,88,97.78%,73,1,1.37%,5,1,20.00%,2,11,1,9.09%,3,1,33.33%,9,5,55.56%,2,40.00%,4,44.44%,2,50.00%,2,22.22%,1,50.00%,1,0.000,0.000,0.000,0.000,-0.391,0.000,0.000,0.000,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18557,GUILHERME ANTONIO,ARANA LOPES,GUILHERME ARANA,14-04-1997,131477,99,,93,81,87.10%,84,1,1.19%,2,,,8,1,1,100.00%,2,1,50.00%,11,4,36.36%,5,125.00%,3,27.27%,1,33.33%,4,36.36%,1,25.00%,,0.085,0.403,0.719,0.000,0.696,0.317,0.085,0.000,243,1,1,100.00%,1,100.00%,5,5.38%,1,20.00%,9,10.71%,4,1,25.00%,4,1,12.50%,1,9.09%,3,75.00%,1,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7674,DANILO LUIZ,DA SILVA,DANILO,15-07-1991,131477,99,7,109,95,87.16%,93,,,3,,,8,3,2,66.67%,4,2,50.00%,9,5,55.56%,1,20.00%,,,,,2,22.22%,2,100.00%,,0.000,0.000,0.690,0.066,0.537,0.000,0.000,0.000,243,,,,,,8,7.34%,4,50.00%,9,9.68%,2,2,100.00%,4,,,,,2,40.00%,2,,,,1,14.29%,2,1,50.00%,1,2,1,50.00%,1,50.00%,2,1,50.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21572,RAPHAEL,DIAS BELLOLI,RAPHINHA,14-12-1996,131477,74,7,45,34,75.56%,34,2,5.88%,,,,6,2,2,100.00%,1,1,100.00%,5,3,60.00%,2,66.67%,,,,,2,40.00%,2,100.00%,,0.359,1.085,2.387,0.095,2.746,0.726,0.359,0.000,243,2,2,100.00%,,,16,35.56%,8,50.00%,6,17.65%,1,1,100.00%,3,,,,,3,100.00%,1,,,,4,57.14%,2,2,100.00%,,,,,,,1,1,100.00%,1,50.00%,2,100.00%,2,33.33%,2,2,100.00%,1,50.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58498,JOAO VICTOR,GOMES DA SILVA,JOAO GOMES,12-02-2001,131477,87,1,71,66,92.96%,54,,,,,,1,9,3,33.33%,2,,,15,10,66.67%,3,30.00%,2,13.33%,2,100.00%,9,60.00%,5,55.56%,,0.000,0.000,0.349,0.044,0.203,0.000,0.000,0.000,243,,,,,,3,4.23%,,,1,1.85%,1,,,1,,,,,5,50.00%,1,,,,,,1,,,,,,,,,1,1,100.00%,1,11.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23388,BRUNO,GUIMARAES RODRIGUEZ MOURA,GUIMARAES B.,16-11-1997,131477,99,12,104,100,96.15%,82,2,2.44%,1,,,3,13,6,46.15%,2,1,50.00%,21,14,66.67%,6,42.86%,4,19.05%,4,100.00%,7,33.33%,5,71.43%,,0.154,0.000,0.414,0.060,-0.064,-0.154,0.154,0.000,243,1,,,,,3,2.88%,1,33.33%,2,2.44%,,,,,1,33.33%,2,9.52%,5,35.71%,3,2,,,,,2,,,,1,1,100.00%,,,3,2,66.67%,5,38.46%,1,100.00%,1,50.00%,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21828,GABRIEL TEODORO,MARTINELLI SILVA,MARTINELLI G.,18-06-2001,131477,13,,12,10,83.33%,11,,,,,,1,,,,1,1,100.00%,1,,,1,,,,,,,,,,,0.000,0.000,0.000,0.000,-0.140,0.000,0.000,0.000,243,,,,,,2,16.67%,1,50.00%,1,9.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17393,EDER GABRIEL,MILITAO,MILITAO E.,18-01-1998,131477,99,5,71,67,94.37%,57,,,5,,,,13,2,15.38%,2,1,50.00%,16,11,68.75%,2,18.18%,6,37.50%,5,83.33%,3,18.75%,3,100.00%,,0.000,0.000,0.179,0.000,0.179,0.000,0.000,0.000,243,,,,,,1,1.41%,,,,,1,,,1,,,2,12.50%,2,18.18%,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37123,SAVIO,MOREIRA DE OLIVEIRA,SAVIO,10-04-2004,131477,26,1,19,15,78.95%,22,1,4.55%,,,,4,,,,1,,,10,7,70.00%,3,42.86%,1,10.00%,1,100.00%,,,,,1,0.277,0.063,1.122,0.050,1.255,-0.214,0.277,0.000,243,3,1,33.33%,1,33.33%,5,26.32%,3,60.00%,3,13.64%,1,,,1,1,25.00%,,,6,85.71%,,,1,100.00%,1,100.00%,1,1,100.00%,,2,1,50.00%,1,50.00%,8,5,62.50%,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65030,ENDRICK FELIPE,MOREIRA DE SOUSA,ENDRICK,21-07-2006,131477,25,,2,1,50.00%,3,,,,,,2,1,1,100.00%,,,,2,,,2,,1,50.00%,,,1,50.00%,,,,0.133,0.136,0.391,0.000,0.181,0.003,0.133,0.000,243,1,1,100.00%,,,1,50.00%,,,1,33.33%,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16802,VINICIUS JOSE',PAIXAO DE OLIVEIRA JUNIOR,VINICIUS JUNIOR,12-07-2000,131477,74,4,29,21,72.41%,40,4,10.00%,,,,12,1,1,100.00%,,,,16,6,37.50%,10,166.67%,,,,,7,43.75%,2,28.57%,,0.000,0.000,1.616,0.151,1.194,0.000,0.000,0.000,243,,,,,,6,20.69%,2,33.33%,4,10.00%,3,1,33.33%,5,,,2,12.50%,5,83.33%,,2,,,2,50.00%,3,2,66.67%,2,1,,,1,100.00%,7,2,28.57%,1,100.00%,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58428,ALISSON,RAMSES BECKER,ALISSON,02-10-1992,131477,99,,22,21,95.45%,15,,,,,,1,2,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,16,1,100.00%,15,93.75%,5,2,40.00%,3,60.00%,2,200.00%,0.181,0.181,,,,,,,,,,,,,
20860,RODRYGO,SILVA DE GOES,RODRYGO,09-01-2001,131477,99,2,53,38,71.70%,57,8,14.04%,,,,13,1,1,100.00%,2,2,100.00%,13,5,38.46%,7,140.00%,2,15.38%,1,50.00%,5,38.46%,1,20.00%,1,0.834,0.776,2.811,0.098,1.918,-0.058,0.834,0.000,243,4,1,25.00%,1,25.00%,11,20.75%,2,18.18%,12,21.05%,1,,,1,,,1,7.69%,5,100.00%,1,1,,,1,50.00%,2,1,50.00%,,2,1,50.00%,1,50.00%,2,2,100.00%,1,100.00%,3,75.00%,3,25.00%,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17876,LUCAS,TOLENTINO COELHO DE LIMA,PAQUETA' L.,27-08-1997,131477,99,11,61,48,78.69%,60,6,10.00%,,,,8,4,2,50.00%,3,2,66.67%,22,14,63.64%,6,42.86%,3,13.64%,2,66.67%,9,40.91%,7,77.78%,,0.572,0.000,2.327,0.099,1.983,-0.572,0.572,0.000,243,5,,,2,40.00%,9,14.75%,3,33.33%,9,15.00%,,,,,2,25.00%,2,9.09%,10,71.43%,1,2,,,1,9.09%,2,,,,,,,,,4,2,50.00%,,,3,60.00%,3,33.33%,,,,,,,,1,,,,,,,,,,,,,,2,25.00%,,,1,20.00%,,,,,,,,,,,
36601,BRANDON,AGUILERA,AGUILERA B.,28-06-2003,131477,96,,28,19,67.86%,24,,,,,,9,2,1,50.00%,4,2,50.00%,11,5,45.45%,1,20.00%,2,18.18%,1,50.00%,4,36.36%,2,50.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,1,4.17%,,,,,5,55.56%,,,1,20.00%,,,,,,,,,,,2,,,2,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,44.44%,,,,,,,,,,,,,,,
