Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,falliFatti,interventoNegativo,espulsioni,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,retiSub,tiri,tiriDaFuori,tiriDaFuori_PERC,passChiave,passInAreaRiusciti,passInAreaRiusciti_PERC,triangolazione,triFatta,triFatta_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,cross,palleLaterali,triChiusa,triChiusa_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,inFuorigioco,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,thirdPass,crossRiusciti,crossRiusciti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,ammonizioni,assistVincenti,assistVincenti_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC
13455,MIGUEL,ARAUJO,ARAUJO M.,24-10-1994,131478,64,27,1,3.70%,17,62.96%,16,1,3,2,1,33.33%,1,50.00%,1,5,4,80.00%,1,25.00%,3,60.00%,3,100.00%,1,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17907,ALEXANDER,CALLENS,CALLENS A.,04-05-1992,131478,107,51,1,1.96%,38,74.51%,32,1,11,9,2,18.18%,2,22.22%,1,13,9,69.23%,2,22.22%,4,30.77%,3,75.00%,1,,,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.000,780,3,2,66.67%,1,100.00%,3,33.33%,4,30.77%,4,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13035,ANDRE,CARRILLO,CARRILLO A.,14-06-1991,131478,19,11,1,9.09%,8,72.73%,8,,3,1,,,,,,3,1,33.33%,,,,,,,,,,0.046,0.000,0.274,0.000,0.320,-0.046,0.046,0.000,780,2,,,,,2,200.00%,1,33.33%,1,100.00%,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15911,WILDER JOSE',CARTAGENA MENDOZA,CARTAGENA W.,23-09-1994,131478,107,31,2,6.45%,25,80.65%,20,,7,6,3,42.86%,2,33.33%,5,20,9,45.00%,3,33.33%,2,10.00%,1,50.00%,3,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780,,,,3,60.00%,5,55.56%,10,50.00%,6,60.00%,1,,,,2,1,50.00%,1,1,100.00%,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11234,CHRISTIAN ALBERTO,CUEVA BRAVO,CUEVA C.,23-11-1991,131478,19,14,5,35.71%,10,71.43%,19,,5,,,,,,,7,1,14.29%,1,100.00%,2,28.57%,,,1,,,0.199,0.793,0.316,0.000,0.204,0.594,0.199,0.000,780,3,1,33.33%,,,6,600.00%,1,14.29%,,,,2,1,50.00%,,2,40.00%,1,,,,,2,100.00%,1,50.00%,1,5.26%,1,100.00%,2,10.53%,2,2,1,100.00%,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11235,EDISON MICHAEL,FLORES PERALTA,FLORES E.,14-05-1994,131478,71,13,4,30.77%,11,84.62%,16,,5,2,,,1,50.00%,,11,5,45.45%,2,40.00%,2,18.18%,1,50.00%,1,,,0.000,0.000,0.720,0.134,0.720,0.000,0.000,0.000,780,,,,,,4,80.00%,7,63.64%,3,42.86%,,,,,3,4,100.00%,,,,1,50.00%,,,,,2,12.50%,,,1,6.25%,,,,,,,,,2,66.67%,3,2,66.67%,1,9.09%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47614,PEDRO,GALLESE,GALLESE P.,23-02-1990,131478,107,29,,,26,89.66%,4,,2,4,,,1,25.00%,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1,2,1,50.00%,5,4,3,60.00%,4,100.00%,20,8,40.00%,5,25.00%,1,100.00%,1,7,35.00%,0.987,-0.013,,,,,,,,,,,,,,,,,,,,,
11236,PAOLO,GUERRERO,GUERRERO P.,01-01-1984,131478,28,14,3,21.43%,8,57.14%,19,2,9,,2,22.22%,,,,17,11,64.71%,10,90.91%,13,76.47%,8,61.54%,,,,0.000,0.000,0.711,0.056,0.496,0.000,0.000,0.000,780,,,,,,5,45.45%,3,17.65%,2,66.67%,1,,,,1,1,33.33%,,,,,,,,,,1,5.26%,,,3,15.79%,,,,,,,,,1,100.00%,1,1,100.00%,1,5.88%,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,
8779,GIANLUCA,LAPADULA,LAPADULA G.,07-02-1990,131478,79,10,2,20.00%,9,90.00%,25,,11,1,1,9.09%,1,100.00%,,12,2,16.67%,2,100.00%,2,16.67%,,,2,,,0.433,0.497,0.000,0.000,-0.414,0.064,0.433,0.000,780,,,,,,9,450.00%,7,58.33%,1,14.29%,,4,3,75.00%,,2,100.00%,1,,,,,2,50.00%,1,25.00%,6,24.00%,1,16.67%,5,20.00%,,,1,100.00%,1,50.00%,1,50.00%,,,,,,1,8.33%,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59257,MARCOS JOHAN,LOPEZ LANFRANCO,LOPEZ M.,20-11-1999,131478,107,42,5,11.90%,28,66.67%,26,,8,9,2,25.00%,4,44.44%,4,21,16,76.19%,9,56.25%,1,4.76%,1,100.00%,2,,,0.000,0.000,0.758,0.000,0.510,0.000,0.000,0.000,780,4,2,50.00%,,,3,18.75%,4,19.05%,3,75.00%,1,,,,1,2,40.00%,1,1,100.00%,2,22.22%,,,,,,,,,1,3.85%,3,3,,,,,,,,,,,,6,28.57%,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17908,SERGIO,PENA,PENA S.,28-09-1995,131478,88,41,4,9.76%,31,75.61%,32,,6,5,2,33.33%,3,60.00%,1,6,3,50.00%,1,33.33%,1,16.67%,,,2,,,0.000,0.000,1.114,0.036,1.114,0.000,0.000,0.000,780,,,,,,1,33.33%,2,33.33%,2,100.00%,1,,,,4,1,25.00%,3,,,,,,,,,,,,,,,1,1,3,100.00%,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,2,33.33%,,,,,,,,,,,,,,
11238,ANDY JORMAN,POLO ANDRADE,POLO A.,29-09-1994,131478,107,50,5,10.00%,39,78.00%,28,1,7,9,2,28.57%,2,22.22%,4,11,5,45.45%,2,40.00%,,,,,1,,,0.000,0.000,0.357,0.048,0.357,0.000,0.000,0.000,780,1,,,2,50.00%,6,120.00%,4,36.36%,2,50.00%,1,,,,1,2,40.00%,3,3,100.00%,,,,,,,1,3.57%,,,1,3.57%,,,,,,,,,,,1,,,1,9.09%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54906,PIERO ALDAIR,QUISPE CORDOVA,QUISPE P.,14-08-2001,131478,71,17,,,15,88.24%,21,1,3,3,,,1,33.33%,1,12,7,58.33%,5,71.43%,,,,,,,,0.140,0.306,0.000,0.000,-0.019,0.166,0.140,0.000,780,3,1,33.33%,1,100.00%,4,57.14%,5,41.67%,3,60.00%,,1,,,1,,,2,1,50.00%,,,1,100.00%,1,100.00%,2,9.52%,1,50.00%,1,4.76%,,,1,50.00%,1,100.00%,,,,,,,,3,25.00%,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,
52223,BRYAN,REYNA,REYNA B.,23-08-1998,131478,36,6,1,16.67%,5,83.33%,9,,4,,,,,,,5,,,,,,,,,2,,,0.000,0.000,0.151,0.000,0.151,0.000,0.000,0.000,780,,,,,,4,,3,60.00%,,,1,,,,,,,,,,,,,,,,,,,,2,22.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16691,ANDERSON,SANTAMARIA,SANTAMARIA A.,10-01-1992,131478,36,12,1,8.33%,10,83.33%,7,,,3,,,,,4,8,7,87.50%,,,,,,,,,,0.000,0.000,0.111,0.000,0.111,0.000,0.000,0.000,780,,,,,,,,3,37.50%,2,66.67%,1,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12.50%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20460,CARLOS AUGUSTO,ZAMBRANO OCHANDARTE,ZAMBRANO C.,10-07-1989,131478,88,24,,,23,95.83%,21,1,,5,,,,,,5,3,60.00%,1,33.33%,1,20.00%,1,100.00%,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780,,,,,,1,33.33%,3,60.00%,2,66.67%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16511,STEPHEN,ANTUNES EUSTAQUIO,EUSTAQUIO S.,21-12-1996,131478,107,47,3,6.38%,41,87.23%,39,,8,8,2,25.00%,3,37.50%,2,13,5,38.46%,2,40.00%,1,7.69%,,,2,,,0.000,0.000,0.731,0.000,0.731,0.000,0.000,0.000,3914,,,,1,50.00%,3,60.00%,6,46.15%,2,33.33%,,,,,2,1,33.33%,1,,,,,,,,,1,2.56%,,,2,5.13%,1,1,1,100.00%,,,,,,,,,,2,15.38%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,50.00%,,,,,,,,,,,,,,
35121,TAJON,BUCHANAN,BUCHANAN T.,08-02-1999,131478,32,6,1,16.67%,5,83.33%,7,,5,2,2,40.00%,,,,6,1,16.67%,,,,,,,1,,,0.000,0.000,0.239,0.000,0.114,0.000,0.000,0.000,3914,2,,,,,4,400.00%,3,50.00%,1,33.33%,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,40.00%,,,,,,,,,,,,,,
36779,DEREK,CORNELIUS,CORNELIUS D.,25-11-1997,131478,54,20,,,18,90.00%,13,1,2,5,,,,,,7,6,85.71%,1,16.67%,,,,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,,,,,5,71.43%,5,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14.29%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51059,MAXIME,CREPEAU,CREPEAU M.,11-05-1994,131478,107,28,1,3.57%,24,85.71%,6,,1,5,,,1,20.00%,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,4,4,100.00%,1,7,,,7,100.00%,20,4,20.00%,7,35.00%,5,100.00%,,9,45.00%,1.596,1.596,,,,,,,,,,,,,,,,,,,,,
23346,JONATHAN,DAVID,DAVID J.,14-01-2000,131478,107,27,2,7.41%,22,81.48%,29,,10,5,,,3,60.00%,1,20,11,55.00%,4,36.36%,,,,,3,,,0.150,0.567,0.654,0.000,0.455,0.417,0.150,0.000,3914,4,1,25.00%,1,100.00%,6,54.55%,7,35.00%,5,71.43%,,1,,,1,1,50.00%,2,1,50.00%,,,1,100.00%,1,100.00%,3,10.34%,,,2,6.90%,,,1,50.00%,1,100.00%,,,1,100.00%,,,,5,25.00%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,,,,
