Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,perdePalla,triangolazione,triChiusa,triChiusa_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInArea,passInArea_PERC,recuperaPalla,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,FxGoT,gkGP,dribblingSub,passChiave,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,triFatta,triFatta_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliAerei,duelliAerei_PERC,falliSubiti,duelliAereiVinti,duelliAereiVinti_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,passRicevutiInArea,passRicevutiInArea_PERC,assist,cross,palleLaterali,ammonizioni,interventoNegativo,passInAreaRiusciti,passInAreaRiusciti_PERC,inFuorigioco,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,traversoni,tiriDiTesta,tiriDiTesta_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoCorner,golSviluppoCorner_PERC
56464,MARCOS NIKOLAS,BOLADOS HIDALGO,BOLADOS M.,28-02-1996,131479,31,6,5,83.33%,1,14.29%,7,2,1,1,100.00%,1,50.00%,4,2,50.00%,6,3,50.00%,2,66.67%,2,66.67%,1,16.67%,1,100.00%,1,1,0.000,0.000,0.120,0.000,0.120,0.000,0.000,0.000,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825,CLAUDIO,BRAVO,BRAVO C.,13-04-1983,131479,99,38,21,55.26%,,,17,12,,,,4,33.33%,,,,,,,,,,,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,3,7.89%,4,10,5,5,9,8,88.89%,13,7,3,23.08%,7,100.00%,18,4,22.22%,4,22.22%,9,90.00%,1,10.00%,1,10,55.56%,4,33.33%,4.572,3.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26497,BEN,BRERETON,BRERETON B.,18-04-1999,131479,10,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32908,VICTOR,DAVILA,DAVILA V.,04-11-1997,131479,99,27,18,66.67%,5,16.13%,31,9,1,,,2,22.22%,4,3,75.00%,17,8,47.06%,4,50.00%,5,62.50%,7,41.18%,3,42.86%,,1,0.000,0.000,0.115,0.000,0.115,0.000,0.000,0.000,412,4,14.81%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,50.00%,1,100.00%,1,50.00%,1,50.00%,1,5.88%,3,17.65%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14032,PAULO CESAR,DIAZ HUINCALES,DIAZ P.,25-08-1994,131479,99,54,46,85.19%,,,36,2,,,,2,100.00%,,,,6,4,66.67%,,,2,50.00%,2,33.33%,2,100.00%,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,,,6,,,,,,,,,,,,,,,,,,,,,,,,,2,100.00%,,,1,4,1,,,,,1,16.67%,,,,,2,33.33%,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53502,RODRIGO EDUARDO,ECHEVERRIA SAEZ,ECHEVERRIA R.,07-04-1995,131479,99,40,34,85.00%,,,29,2,2,2,100.00%,,,4,3,75.00%,20,8,40.00%,2,25.00%,6,75.00%,9,45.00%,4,44.44%,,1,0.307,0.641,0.137,0.000,0.444,0.334,0.307,0.000,412,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,1,,,,,4,57.14%,5,83.33%,,,1,5.00%,,,,2,2,100.00%,1,50.00%,1,50.00%,1,50.00%,1,50.00%,1,14.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56399,NICOLAS ESTEBAN,FERNANDEZ MUNOZ,FERNANDEZ N.,03-08-1999,131479,10,5,4,80.00%,,,4,,,,,,,,,,2,2,100.00%,1,50.00%,,,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,50.00%,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8631,MAURICIO ANIBAL,ISLA,ISLA M.,12-06-1988,131479,89,31,26,83.87%,,,21,3,,,,,,1,1,100.00%,10,4,40.00%,2,50.00%,3,75.00%,4,40.00%,1,25.00%,2,,0.000,0.000,0.361,0.050,0.361,0.000,0.000,0.000,412,4,12.90%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,,,1,20.00%,1,50.00%,1,10.00%,,,1,,,,,,,,,,,,,,,,1,4.76%,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20526,IGOR,LICHNOVSKY,LICHNOVSKY I.,07-03-1994,131479,99,49,45,91.84%,,,34,,,,,,,,,,2,1,50.00%,,,,,1,50.00%,1,100.00%,1,1,0.000,0.000,0.102,0.000,0.102,0.000,0.000,0.000,412,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
26491,MARCELINO,NUNEZ,NUNEZ M.,01-03-2000,131479,20,9,5,55.56%,1,12.50%,8,5,,,,,,3,3,100.00%,6,5,83.33%,4,80.00%,1,20.00%,1,16.67%,,,,1,0.028,0.168,0.210,0.000,0.238,0.140,0.028,0.000,412,1,11.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,16.67%,,,1,,,1,1,100.00%,,,1,100.00%,,,1,100.00%,,,1,12.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
