Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,perdePalla,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,assist,assistInArea,assistInArea_PERC,thirdPass,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,interventoPositivo,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,parate,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,giochiPortiereRicevuti,assistVincenti,assistVincenti_PERC,cross,palleLaterali,triFatta,triFatta_PERC,falliFatti,golProcurati,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaArea,tiriDaArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,dribblingPositivo,dribblingPositivo_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,tiriDiRigore,tiriDiRigore_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,tiroGolRigore,tiroGolRigore_PERC,traversoni,cutBack,inFuorigioco,tiriDiTesta,tiriDiTesta_PERC,traversoniRiusciti,traversoniRiusciti_PERC,ammonizioni,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,crossRiusciti,crossRiusciti_PERC,cutBackRiusciti,cutBackRiusciti_PERC,interventoNegativo,autogol,uscite,tiriRigoreSubiti
30956,JORDY,CAICEDO,CAICEDO J.,18-11-1997,131480,9,1,1,100.00%,2,1,50.00%,2,1,1,100.00%,5,2,40.00%,1,50.00%,2,100.00%,3,60.00%,2,66.67%,1,20.00%,0.000,0.000,0.000,0.000,-0.192,0.000,0.000,0.000,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32674,MOISES,CAICEDO,CAICEDO M.,02-11-2001,131480,102,46,38,82.61%,35,1,2.86%,6,2,,,21,12,57.14%,6,50.00%,5,41.67%,1,4.76%,,,12,57.14%,0.083,0.301,1.723,0.143,1.658,0.218,0.083,0.000,419,1,1,100.00%,1,100.00%,5,2,40.00%,10,21.74%,6,60.00%,1,2.86%,3,2,66.67%,1,1,1,100.00%,6,2,33.33%,3,50.00%,2,4,19.05%,6,50.00%,4,1,100.00%,1,1,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61202,JANNER HITCLER,COROZO ALMAN,COROZO J.,08-09-1995,131480,2,1,,,1,,,1,,,,1,1,100.00%,1,100.00%,,,1,100.00%,1,100.00%,,,0.000,0.000,0.196,0.000,0.196,0.000,0.000,0.000,419,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11348,ALEXANDER,DOMINGUEZ,DOMINGUEZ A.,05-06-1987,131480,102,18,15,83.33%,10,,,3,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.052,0.000,0.000,0.000,0.000,419,,,,,,1,1,100.00%,2,11.11%,1,50.00%,,,1,1,100.00%,,,,,4,,,,,,,,,,,,,,1,,,4,5,4,80.00%,4,6,2,50.00%,6,100.00%,8,2,25.00%,4,50.00%,4,100.00%,1,2,25.00%,2.685,1.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32673,ALAN,FRANCO,FRANCO A.,21-08-1998,131480,102,27,24,88.89%,15,,,,,,,5,3,60.00%,1,33.33%,2,66.67%,4,80.00%,2,50.00%,1,20.00%,0.030,0.000,0.000,0.029,0.030,-0.030,0.030,0.000,419,1,,,1,100.00%,3,,,,,,,,,1,,,1,,,,5,,,1,20.00%,,,,1,100.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11252,CARLOS,GRUEZO,GRUEZO C.,19-04-1995,131480,8,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.057,0.000,0.000,0.000,0.000,419,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30855,PIERO,HINCAPIE',HINCAPIE' P.,09-01-2002,131480,102,41,29,70.73%,27,,,7,5,,,21,17,80.95%,6,35.29%,2,11.76%,6,28.57%,5,83.33%,7,33.33%,0.000,0.000,0.879,0.000,0.879,0.000,0.000,0.000,419,,,,,,,,,8,19.51%,2,25.00%,,,,,,,1,,,4,3,42.86%,1,25.00%,,2,9.52%,5,71.43%,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,2,1,100.00%,1,1,4,57.14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57354,ALAN STEVE,MINDA GARCIA,MINDA A.,14-05-2003,131480,32,5,3,60.00%,6,,,1,,,,5,4,80.00%,3,75.00%,1,25.00%,2,40.00%,1,50.00%,1,20.00%,0.128,0.662,0.259,0.000,0.387,0.534,0.128,0.000,419,1,1,100.00%,,,,,,1,20.00%,,,1,16.67%,,,,,,,,,,,,,2,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,1,100.00%,1,100.00%,2,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
36812,WILLIAN JOEL,PACHO TENORIO,PACHO W.,16-10-2001,131480,102,41,31,75.61%,26,1,3.85%,7,2,,,7,5,71.43%,2,40.00%,,,1,14.29%,1,100.00%,4,57.14%,0.000,0.000,0.707,0.000,0.403,0.000,0.000,0.000,419,,,,,,2,,,4,9.76%,1,25.00%,,,,,,,,,,9,2,28.57%,3,33.33%,,,,2,50.00%,,,,,1,1,11.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28.57%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61155,RAY KENDRY,PAEZ ANDRADE,PAEZ K.,04-05-2007,131480,93,32,23,71.88%,25,2,8.00%,4,2,1,50.00%,10,5,50.00%,2,40.00%,4,80.00%,1,10.00%,1,100.00%,5,50.00%,1.435,1.649,1.179,0.045,2.240,0.215,0.679,0.000,419,6,2,33.33%,2,33.33%,1,1,100.00%,7,21.88%,3,42.86%,5,20.00%,1,1,100.00%,,1,,,3,,,1,33.33%,2,,,2,40.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,4,66.67%,,,1,50.00%,1,16.67%,1,100.00%,1,100.00%,2,100.00%,,,1,16.67%,2,40.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,
30362,ANGELO,PRECIADO,PRECIADO AN.,18-02-1998,131480,102,33,27,81.82%,18,2,11.11%,2,4,3,75.00%,13,7,53.85%,2,28.57%,3,42.86%,1,7.69%,1,100.00%,3,23.08%,0.227,0.128,1.091,0.173,1.213,-0.099,0.227,0.000,419,3,2,66.67%,1,33.33%,4,2,50.00%,4,12.12%,2,50.00%,3,16.67%,4,2,50.00%,,1,1,100.00%,6,1,50.00%,1,16.67%,3,1,7.69%,2,66.67%,1,1,50.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,1,,,,2,66.67%,,,2,66.67%,,,,,,,1,50.00%,,,,,1,33.33%,,,1,1,,,,,,,,,,,,,,,,,,
36817,KEVIN,RODRIGUEZ,RODRIGUEZ K.,04-03-2000,131480,93,18,16,88.89%,30,6,20.00%,8,,,,22,7,31.82%,5,71.43%,15,214.29%,3,13.64%,1,33.33%,12,54.55%,0.261,0.507,0.696,0.065,0.706,0.246,0.261,0.000,419,3,2,66.67%,1,33.33%,2,1,50.00%,3,16.67%,2,66.67%,3,10.00%,2,1,50.00%,,,,,2,,,,,5,1,4.55%,4,33.33%,1,1,50.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,2,66.67%,,,1,20.00%,,,,,,,1,50.00%,,,,,2,66.67%,,,,,1,,,,,,,,,,,,,,,,,
32693,JEREMY,SARMIENTO,SARMIENTO J.,16-06-2002,131480,100,18,16,88.89%,22,2,9.09%,6,3,1,33.33%,22,16,72.73%,10,62.50%,5,31.25%,1,4.55%,1,100.00%,6,27.27%,0.222,0.000,0.000,0.000,-0.244,-0.222,0.222,0.000,419,3,,,2,66.67%,,,,,,,,4,18.18%,,,,,,,,6,,,2,33.33%,6,6,27.27%,2,33.33%,6,,,,1,1,16.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,,,5,83.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36811,FELIX,TORRES,TORRES F.,11-01-1997,131480,102,22,17,77.27%,18,3,16.67%,2,1,1,100.00%,9,4,44.44%,,,2,50.00%,3,33.33%,1,33.33%,3,33.33%,0.157,0.000,0.304,0.000,-0.160,-0.157,0.157,0.000,419,2,,,,,,,,2,9.09%,1,50.00%,2,11.11%,,,,,,,,3,,,,,1,,,2,66.67%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,1,1,,,2,100.00%,,,1,100.00%,,,,,,,,,,,,,2,100.00%,,,1,,,2,100.00%,1,100.00%,,,,,,,,,,,,,
59457,JOHN,YEBOAH ZAMORA,YEBOAH J.,23-06-2000,131480,70,13,10,76.92%,16,3,18.75%,5,,,,18,7,38.89%,5,71.43%,5,71.43%,5,27.78%,2,40.00%,5,27.78%,0.135,0.000,0.188,0.041,-0.048,-0.135,0.135,0.000,419,1,,,,,1,1,100.00%,3,23.08%,3,100.00%,1,6.25%,1,1,100.00%,,,,,3,3,60.00%,1,33.33%,3,2,11.11%,2,40.00%,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,40.00%,1,100.00%,,,1,33.33%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,
131149,KAROY,ANDERSON,ANDERSON K.,01-10-2004,131480,13,8,7,87.50%,6,,,2,1,1,100.00%,4,1,25.00%,,,3,300.00%,,,,,1,25.00%,0.000,0.000,0.000,0.018,0.000,0.000,0.000,0.000,820,,,,,,2,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
11758,MICHAIL,ANTONIO,ANTONIO M.,28-03-1990,131480,102,21,11,52.38%,26,1,3.85%,11,2,,,20,7,35.00%,2,28.57%,11,157.14%,6,30.00%,3,50.00%,6,30.00%,0.515,0.956,0.226,0.018,0.550,0.441,0.515,0.000,820,1,1,100.00%,,,2,1,50.00%,2,9.52%,1,50.00%,1,3.85%,1,1,100.00%,,,,,1,1,9.09%,1,100.00%,3,1,5.00%,1,16.67%,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,3,,,,1,100.00%,1,25.00%,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,
22757,DI'SHON JOEL,BERNARD,BERNARD D.,14-10-2000,131480,51,17,13,76.47%,12,1,8.33%,3,1,1,100.00%,8,3,37.50%,1,33.33%,,,1,12.50%,1,100.00%,4,50.00%,0.081,0.063,0.000,0.000,-0.189,-0.018,0.081,0.000,820,1,1,100.00%,,,,,,1,5.88%,,,1,8.33%,,,,,,,,2,,,,,,,,2,50.00%,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,2,,,,1,100.00%,,,,,,,,,,,1,100.00%,,,,,1,100.00%,,,,,,1,100.00%,,,,,,,,,,,,,,,
55173,RENALDO SHOWAYNE,CEPHAS,CEPHAS R.,18-12-1999,131480,8,4,3,75.00%,5,1,20.00%,1,,,,2,1,50.00%,1,100.00%,1,100.00%,1,50.00%,1,100.00%,,,0.036,0.050,0.240,0.000,0.019,0.013,0.036,0.000,820,1,1,100.00%,1,100.00%,,,,1,25.00%,,,1,20.00%,,,,,,,,,,,,,1,,,,,,1,100.00%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58438,BOBBY ARMANI,DE CORDOVA-REID,DE CORDOVA-REID B.,02-02-1993,131480,102,39,31,79.49%,33,,,3,2,1,50.00%,18,6,33.33%,1,16.67%,6,100.00%,4,22.22%,,,5,27.78%,0.078,0.146,0.616,0.028,0.694,0.068,0.078,0.000,820,1,1,100.00%,1,100.00%,2,1,50.00%,5,12.82%,1,20.00%,3,9.09%,1,1,100.00%,,,,,3,,,,,4,,,4,80.00%,,1,100.00%,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,2,,,3,,,,,,1,50.00%,1,25.00%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,100.00%,,,,,,
131151,KAHEIM,DIXON,DIXON K.,04-10-2004,131480,13,2,1,50.00%,3,,,1,1,1,100.00%,1,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
