Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,duelli,duelliAerei,duelliAerei_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passInArea,passInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,golProcurati,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,inFuorigioco,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,dribblingPositivo,dribblingPositivo_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,ammonizioni,assist,thirdPass,interventoNegativo,interventoPositivo,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,tiriRigoreParati,tiriRigoreParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaArea,tiriDaArea_PERC,tiriDiRigore,tiriDiRigore_PERC,passChiaveInArea,passChiaveInArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,assistInArea,assistInArea_PERC,palleLaterali,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolRigore,tiroGolRigore_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,retiSub,traversoni,cutBack,retiSubGK,cutBackRiusciti,cutBackRiusciti_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC
48528,WILKER JOSE',ANGEL ROMERO,ANGEL W. J.,18-03-1993,131481,16,1,1,100.00%,1,1,1,100.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48466,JON MIKEL,ARAMBURU,ARAMBURU J.,23-07-2002,131481,99,40,35,87.50%,27,16,1,6.25%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,1,1,2.50%,1,3.70%,1,1,100.00%,5,4,2,50.00%,2,50.00%,7,1,20.00%,1,14.29%,2,5,1,6.25%,12,75.00%,5,41.67%,3,25.00%,1,100.00%,6,37.50%,5,83.33%,1,1,1,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45521,EDUARD,BELLO,BELLO E.,20-08-1995,131481,73,18,15,83.33%,18,9,,,0.029,0.142,0.273,0.000,0.089,0.113,0.029,0.000,781,,3,16.67%,1,5.56%,,,,6,2,,,2,100.00%,5,2,33.33%,1,20.00%,1,2,,,3,33.33%,3,100.00%,3,100.00%,,,6,66.67%,3,50.00%,,,,2,33.33%,1,1,100.00%,1,100.00%,1,33.33%,3,16.67%,2,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60481,JHONDER LEONEL,CADIZ FERNANDEZ,CADIZ J.,29-07-1995,131481,16,2,,,3,3,1,33.33%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,,,,,,,,,3,,,,,,,1,33.33%,,,,,,,1,33.33%,1,100.00%,2,200.00%,1,100.00%,1,33.33%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32689,CRISTIAN SLEIKER,CASSERES YEPES JR.,CASSERES C.,20-01-2000,131481,52,25,18,72.00%,17,10,2,20.00%,0.164,0.000,0.000,0.000,-0.151,-0.164,0.164,0.000,781,,1,4.00%,,,,,,5,4,3,75.00%,1,25.00%,5,1,20.00%,1,20.00%,1,2,1,10.00%,6,60.00%,,,2,33.33%,1,50.00%,4,40.00%,2,50.00%,,1,,,,2,,,2,100.00%,1,100.00%,2,11.76%,1,50.00%,,,,1,100.00%,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32685,NAHUEL ADOLFO,FERRARESI HERNANDEZ,FERRARESI N.,19-11-1998,131481,99,38,34,89.47%,29,10,4,40.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,2,,,,,,,,6,,,,,,11,4,66.67%,1,9.09%,,,1,10.00%,5,50.00%,1,20.00%,2,40.00%,2,50.00%,4,40.00%,2,50.00%,1,1,,6,100.00%,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15898,YANGEL,HERRERA,HERRERA Y.,07-01-1998,131481,91,40,31,77.50%,40,18,5,27.78%,0.046,0.000,0.244,0.034,-0.139,-0.046,0.046,0.000,781,4,3,7.50%,3,7.50%,1,,,12,2,2,100.00%,,,5,3,25.00%,2,40.00%,3,1,1,5.56%,11,61.11%,4,36.36%,4,36.36%,4,80.00%,7,38.89%,3,42.86%,1,1,,2,16.67%,1,,,1,100.00%,1,33.33%,3,7.50%,,,1,,,2,66.67%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16748,DARWIN,MACHIS,MACHIS D.,07-02-1993,131481,27,3,2,66.67%,1,5,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,,,,,,,,,1,,,,,,1,,,,,,3,,,2,40.00%,,,1,50.00%,,,1,20.00%,1,100.00%,1,,,,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32686,CHRISTIAN,MAKOUN,MAKOUN C.,05-03-2000,131481,9,3,1,33.33%,,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32688,JOSE' ANDRES,MARTINEZ TORRES,MARTINEZ J. A.,07-08-1994,131481,99,34,28,82.35%,17,11,4,36.36%,0.000,0.000,0.111,0.000,0.111,0.000,0.000,0.000,781,2,,,,,,,,2,,,,,,11,,,2,18.18%,,3,1,9.09%,8,72.73%,3,37.50%,2,25.00%,2,50.00%,3,27.27%,2,66.67%,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
