Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,palleLaterali,perdePalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,traversoni,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliFatti,falliSubiti,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,dribblingPositivo,dribblingPositivo_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,duelliTackleVinti,duelliTackleVinti_PERC,interventoNegativo,espulsioni,giochiPortiereRicevuti,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,ammonizioni,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,lanciPositivi,lanciPositivi_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,cutBack
54430,ABDIEL ARMANDO,AYARZA BOCANEGRA,AYARZA A.,12-09-1992,131482,19,1,1,100.00%,1,1,100.00%,4,2,50.00%,4,100.00%,2,100.00%,1,14.29%,7,3,42.86%,1,1,100.00%,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,1,1,1,100.00%,3,2,66.67%,1,50.00%,1,50.00%,2,66.67%,2,100.00%,1,33.33%,0.023,0.000,0.530,0.062,0.068,-0.023,0.023,0.000,821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16678,EDGAR YOEL,BARCENAS HERRERA,BARCENAS Y.,23-10-1993,131482,100,3,1,33.33%,2,1,50.00%,48,5,10.42%,40,83.33%,3,60.00%,3,6.52%,46,2,4.35%,1,,,1,100.00%,,,2,1,50.00%,,,3,13,1,7.69%,12,2,16.67%,1,50.00%,6,300.00%,3,25.00%,1,33.33%,3,25.00%,0.400,0.175,1.112,0.038,1.193,-0.225,0.400,0.000,821,2,66.67%,2,66.67%,1,2,1,50.00%,1,50.00%,6,3,50.00%,1,1,1,100.00%,1,8.33%,3,1,1,1,50.00%,1,50.00%,1,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64833,CESAR RODOLFO,BLACKMAN CAMARENA,BLACKMAN C.,02-04-1998,131482,64,2,1,50.00%,,,,20,5,25.00%,16,80.00%,2,40.00%,4,19.05%,21,1,4.76%,,,,,,,,3,1,33.33%,,,3,5,1,20.00%,6,2,33.33%,2,100.00%,4,200.00%,2,33.33%,,,1,16.67%,0.231,0.589,0.537,0.000,0.768,0.358,0.231,0.000,821,2,100.00%,1,50.00%,,,,,,,2,1,50.00%,1,,,,1,16.67%,1,1,,1,50.00%,1,50.00%,1,1,50.00%,1,100.00%,1,50.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55914,ADALBERTO ELIECER,CARRASQUILLA ALCAZAR,CARRASQUILLA A.,28-11-1998,131482,92,,,,6,,,70,6,8.57%,63,90.00%,2,33.33%,,,60,,,4,,,,,,,,,,,,,6,1,16.67%,7,3,42.86%,,,1,33.33%,1,14.29%,,,3,42.86%,0.000,0.000,0.366,0.163,0.145,0.000,0.000,0.000,821,,,,,,,,,,,2,1,50.00%,1,,,,1,14.29%,1,1,,,,,,1,1,50.00%,1,100.00%,,,,,,,1,33.33%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52986,JOSE',CORDOBA,CORDOBA J.,03-06-2001,131482,100,,,,,,,66,,,61,92.42%,,,,,54,,,,,,,,,,,,,,,,1,1,100.00%,5,4,80.00%,1,25.00%,,,3,60.00%,2,66.67%,2,40.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,821,,,,,,,,,,,6,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,100.00%,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16682,ERIC JAVIER,DAVIS GRAJALES,DAVIS E.,31-03-1991,131482,100,,,,2,,,61,9,14.75%,47,77.05%,,,1,2.50%,40,2,5.00%,,,,,,,,4,,,,,5,5,,,9,3,33.33%,,,4,133.33%,3,33.33%,2,66.67%,2,22.22%,0.000,0.000,1.085,0.000,0.511,0.000,0.000,0.000,821,,,,,1,1,,,1,100.00%,6,1,16.67%,1,1,1,100.00%,,,2,,,,,,,1,,,,,,,,,,,1,50.00%,,,,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54418,JOSE',FAJARDO NELSON,FAJARDO J.,18-08-1993,131482,49,1,,,1,,,9,,,9,100.00%,,,3,16.67%,18,4,22.22%,,,,,,,,,,,,,,6,,,10,1,10.00%,,,9,900.00%,2,20.00%,1,50.00%,5,50.00%,0.312,0.738,0.000,0.000,-0.384,0.426,0.312,0.000,821,1,100.00%,1,100.00%,,,,,,,1,,,2,,,,,,1,,1,1,100.00%,,,,,,,,1,100.00%,1,100.00%,1,100.00%,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98301,EDGARDO ISAAC,FARINA WYNTER,FARINA E.,21-09-2001,131482,100,1,1,100.00%,,,,70,1,1.43%,63,90.00%,,,1,1.64%,61,1,1.64%,,,,,,,,,,,,,,2,,,10,5,50.00%,,,3,60.00%,4,40.00%,3,75.00%,2,20.00%,0.030,0.040,0.239,0.000,0.086,0.010,0.030,0.000,821,1,100.00%,,,,,,,,,3,1,33.33%,1,1,1,100.00%,,,2,,,,,1,100.00%,1,,,1,100.00%,,,,,,,1,50.00%,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49660,FREDDY,GONDOLA,GONDOLA F.,18-09-1995,131482,35,,,,,,,16,4,25.00%,15,93.75%,3,75.00%,1,5.88%,17,3,17.65%,,,,,,,,,,,,,,3,,,4,,,,,2,,1,25.00%,,,1,25.00%,0.000,0.000,1.072,0.000,0.476,0.000,0.000,0.000,821,,,,,,,,,,,1,1,100.00%,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86392,EDUARDO ANTONIO,GUERRERO LOZCANO,GUERRERO E.,21-02-2000,131482,50,1,1,100.00%,,,,7,2,28.57%,4,57.14%,,,1,9.09%,11,2,18.18%,,,,,,,,,,,,,,5,1,20.00%,9,2,22.22%,,,6,300.00%,3,33.33%,,,5,55.56%,0.058,0.055,0.429,0.000,0.364,-0.003,0.058,0.000,821,1,100.00%,,,,,,,,,,,,,,,,,,2,,,,,1,100.00%,1,,,,,,,,,,,2,40.00%,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
