Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriDaFuori,tiriDaFuori_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,thirdPass,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,inFuorigioco,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,cutBackVincenti,cutBackVincenti_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,retiSub,triangolazione,triChiusa,triChiusa_PERC,triFatta,triFatta_PERC,ammonizioni,interventoPositivo,parataPiede,parataPiede_PERC,retiSubGK
45313,MAXIMILIANO,ARAUJO,ARAUJO M.,15-02-2000,131483,95,3,3,100.00%,3,100.00%,1,33.33%,3,3,100.00%,25,8,32.00%,17,68.00%,5,62.50%,6,20.00%,2,33.33%,30,4,13.33%,1,2,1,50.00%,2,100.00%,1,50.00%,3,1,33.33%,3,10,3,2,20.00%,2,66.67%,6,4,66.67%,6,4,66.67%,22,2,9.09%,11,50.00%,5,45.45%,9,81.82%,4,18.18%,1,25.00%,3,13.64%,2,66.67%,1,2,1,33.33%,1,100.00%,1,100.00%,3,100.00%,1,33.33%,0.396,0.657,1.120,0.112,0.690,0.261,0.396,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24553,RONALD,ARAUJO,ARAUJO R.,07-03-1999,131483,95,1,,,,,,,2,1,50.00%,77,1,1.30%,62,80.52%,1,100.00%,1,1.75%,,,57,3,5.26%,1,1,1,100.00%,1,100.00%,1,100.00%,,,,,4,5,2,50.00%,2,40.00%,1,,,,,,14,1,7.14%,11,78.57%,1,9.09%,2,18.18%,8,57.14%,6,75.00%,4,28.57%,4,100.00%,,1,,,,,,,,,1,20.00%,0.017,0.000,0.199,0.356,-0.380,-0.017,0.017,0.000,246,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14080,RODRIGO,BENTANCUR,BENTANCUR R.,25-06-1997,131483,9,1,1,100.00%,1,100.00%,1,100.00%,,,,5,,,5,100.00%,,,1,25.00%,1,100.00%,4,1,25.00%,,,,,,,,,,,,,,1,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,1,100.00%,,,0.189,0.131,0.000,0.000,-0.167,-0.058,0.189,0.000,246,,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13443,GIORGIAN,DE ARRASCAETA,DE ARRASCAETA G.,01-06-1994,131483,6,,,,,,,,1,1,100.00%,4,3,75.00%,4,100.00%,3,100.00%,,,,,4,,,,1,1,100.00%,1,100.00%,1,100.00%,,,,,1,,1,100.00%,,,,,,,,,2,,,,,,,,,,,,,1,50.00%,,,1,,,,,,,,,,,,0.000,0.000,0.356,0.040,0.356,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26462,NICOLAS,DE LA CRUZ,DE LA CRUZ N.,01-06-1997,131483,89,,,,,,,,7,3,42.86%,48,9,18.75%,38,79.17%,6,66.67%,4,8.51%,1,25.00%,47,2,4.26%,,4,1,25.00%,2,50.00%,1,50.00%,,,,,10,4,1,10.00%,3,75.00%,4,3,75.00%,4,1,25.00%,17,3,17.65%,11,64.71%,8,72.73%,6,54.55%,2,11.76%,1,50.00%,4,23.53%,1,25.00%,,3,,,,,,,,,2,50.00%,0.000,0.000,1.984,0.197,1.785,0.000,0.000,0.000,246,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13863,NAHITAN,NANDEZ,NANDEZ N.,28-12-1995,131483,95,,,,,,,,1,1,100.00%,65,7,10.77%,53,81.54%,3,42.86%,1,2.17%,,,46,1,2.17%,,1,,,1,100.00%,,,1,1,100.00%,5,7,5,1,14.29%,3,60.00%,5,4,80.00%,6,2,33.33%,25,1,4.00%,17,68.00%,6,35.29%,5,29.41%,1,4.00%,,,10,40.00%,8,80.00%,2,1,,,,,,,,,1,20.00%,0.000,0.000,0.832,0.051,0.832,0.000,0.000,0.000,246,,,,,,,,,,,,4,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24912,DARWIN,NUNEZ,NUNEZ D.,24-06-1999,131483,83,7,3,42.86%,7,100.00%,2,28.57%,,,,12,3,25.00%,8,66.67%,,,9,42.86%,8,88.89%,21,9,42.86%,1,,,,,,,,1,,,1,10,3,,,2,66.67%,9,7,77.78%,4,3,75.00%,25,1,4.00%,14,56.00%,14,100.00%,9,64.29%,6,24.00%,3,50.00%,3,12.00%,2,66.67%,2,1,1,14.29%,1,100.00%,1,100.00%,3,100.00%,1,33.33%,1.084,0.549,0.733,0.000,0.143,-0.535,1.084,0.000,246,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69991,LUCAS RENE',OLAZA CATROFE,OLAZA L.,21-07-1994,131483,11,,,,,,,,,,,9,,,8,88.89%,,,,,,,7,,,,,,,,,,,,,,,2,2,1,50.00%,1,50.00%,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51068,CRISTIAN,OLIVERA,OLIVERA C.,17-04-2002,131483,9,,,,,,,,,,,3,1,33.33%,2,66.67%,,,,,,,4,2,50.00%,,,,,,,,,1,,,1,2,2,,,1,50.00%,2,2,100.00%,1,1,100.00%,6,1,16.67%,3,50.00%,1,33.33%,3,100.00%,,,,,2,33.33%,,,,1,,,,,,,,,1,50.00%,0.000,0.000,0.153,0.000,0.153,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23369,MATHIAS,OLIVERA MIRAMONTES,OLIVERA M.,31-10-1997,131483,95,,,,,,,,3,,,92,1,1.09%,88,95.65%,,,,,,,74,,,6,,,,,,,,,,,,1,14,,,1,7.14%,2,2,100.00%,1,,,15,1,6.67%,10,66.67%,1,10.00%,1,10.00%,5,33.33%,3,60.00%,6,40.00%,3,50.00%,,1,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
