Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,thirdPass,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,duelliAerei,duelliAerei_PERC,giochiPortiereRicevuti,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,dribblingPositivo,dribblingPositivo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,ammonizioni,golProcurati,tiriDiRigore,tiriDiRigore_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,inFuorigioco,tiroGolRigore,tiroGolRigore_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoCorner,golSviluppoCorner_PERC,tiriInPortaSubitiPortiere,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioPiede,rinvioPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,retiSub,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,traversoni,parate,interventoNegativo,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,retiSubGK
52201,JHON,ARIAS,ARIAS J.,21-09-1997,131484,94,1,1,100.00%,1,100.00%,2,1,50.00%,52,3,5.77%,50,96.15%,3,100.00%,5,9.62%,52,1,1,100.00%,1,100.00%,1,100.00%,1,6,3,2,66.67%,1,33.33%,3,1,16.67%,1,33.33%,2,1,1,100.00%,14,1,7.14%,3,21.43%,1,33.33%,6,200.00%,5,35.71%,2,40.00%,5,1,1,100.00%,1,33.33%,0.024,0.032,0.614,0.033,0.638,0.007,0.024,0.000,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39961,YASER,ASPRILLA,ASPRILLA Y.,19-11-2003,131484,21,2,1,50.00%,2,100.00%,1,,,11,,,10,90.91%,,,2,15.38%,13,1,,,,,,,,2,2,,,2,100.00%,1,,,1,100.00%,2,1,1,100.00%,5,,,1,20.00%,1,100.00%,3,300.00%,1,20.00%,1,100.00%,,,1,100.00%,,,0.178,0.050,0.000,0.037,0.178,-0.128,0.178,0.000,414,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56177,KEVIN DUVAN,CASTANO GIL,CASTANO K.,29-09-2000,131484,21,1,1,100.00%,1,100.00%,1,,,20,,,19,95.00%,,,1,4.76%,21,1,,,,,,,,1,,,,,,,1,100.00%,,,,,,,1,,,1,100.00%,,,,,1,100.00%,1,100.00%,,,1,100.00%,,,0.092,0.063,0.000,0.039,-0.108,-0.029,0.092,0.000,414,,,1,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15095,JHON ANDRES,CORDOBA COPETE,CORDOBA J.,11-05-1993,131484,78,3,2,66.67%,,,,,,12,2,16.67%,10,83.33%,1,50.00%,8,42.11%,19,,,,,,,,,6,1,,,1,100.00%,1,,,1,100.00%,5,,,,18,1,5.56%,5,27.78%,5,100.00%,12,240.00%,7,38.89%,2,28.57%,3,1,,,1,100.00%,0.533,0.537,0.760,0.000,0.742,0.004,0.533,0.000,414,2,11.11%,,,,3,100.00%,1,33.33%,3,37.50%,5,26.32%,1,1,100.00%,1,1,20.00%,1,50.00%,1,33.33%,1,100.00%,1,100.00%,2,100.00%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21776,CARLOS ECCEHOMO,CUESTA FIGUEROA,CUESTA C.,09-03-1999,131484,94,,,,,,,,,64,,,62,96.88%,,,,,51,,,,,,,,,,,,,,,8,,,,,,1,,,8,,,5,62.50%,1,20.00%,,,1,12.50%,1,100.00%,1,,,,,,0.000,0.000,0.000,0.000,-0.169,0.000,0.000,0.000,414,5,62.50%,5,,,,,,,,,1,1.96%,,,,,,,3,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20505,LUIS FERNANDO,DIAZ MARULANDA,DIAZ L. F.,13-01-1997,131484,79,2,1,50.00%,,,4,,,22,4,18.18%,18,81.82%,1,25.00%,8,26.67%,30,4,1,25.00%,,,,,,8,1,1,100.00%,,,,1,12.50%,,,2,1,1,100.00%,12,2,16.67%,3,25.00%,2,66.67%,6,200.00%,4,33.33%,,,3,2,,,,,0.872,0.982,0.596,0.144,0.608,0.110,0.116,0.000,414,1,8.33%,1,,,2,100.00%,1,50.00%,1,12.50%,4,13.33%,1,,,2,1,50.00%,,,1,50.00%,1,100.00%,1,100.00%,1,100.00%,,,1,50.00%,1,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50918,JHON JADER,DURAN PALACIO,DURAN J.,13-12-2003,131484,16,,,,,,,,,7,,,5,71.43%,,,2,25.00%,8,,,,,,,,,2,1,1,100.00%,,,,1,50.00%,,,,,,,4,,,1,25.00%,1,100.00%,2,200.00%,1,25.00%,,,1,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,2,50.00%,,,,,,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16563,JEFFERSON ANDRES,LERMA SOLIS,LERMA J.,25-10-1994,131484,73,,,,,,2,,,34,,,29,85.29%,,,,,30,,,,,,,,1,4,,,,,,2,1,25.00%,2,100.00%,,1,,,5,1,20.00%,3,60.00%,1,33.33%,1,33.33%,1,20.00%,1,100.00%,1,1,,,1,50.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,414,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16564,JOHAN,MOJICA,MOJICA J.,21-08-1992,131484,94,,,,,,3,,,83,2,2.41%,72,86.75%,1,50.00%,,,59,,,,,,,,,4,,,,,,11,1,25.00%,1,9.09%,,2,1,50.00%,11,4,36.36%,9,81.82%,2,22.22%,1,11.11%,4,36.36%,3,75.00%,,4,,,1,9.09%,0.000,0.000,0.354,0.000,0.084,0.000,0.000,0.000,414,1,9.09%,4,,,,,,,,,,,,,,2,,,1,100.00%,,,,,,,,,,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30367,DANIEL,MUNOZ,MUNOZ D.,26-05-1996,131484,94,,,,,,2,2,100.00%,60,3,5.00%,56,93.33%,2,66.67%,,,42,,,,,,,,,6,,,,,,7,1,16.67%,,,2,1,,,13,1,7.69%,10,76.92%,2,20.00%,2,20.00%,6,46.15%,6,100.00%,2,1,,,,,0.000,0.000,0.222,0.000,0.222,0.000,0.000,0.000,414,1,7.69%,,2,33.33%,,,,,,,,,1,,,1,1,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
