Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,thirdPass,perdePalla,recuperaPalla,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,golSviluppoPunizioneDiretta,golSviluppoPunizioneDiretta_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiaveRicevuti,passChiaveRicevuti_PERC,assist,cross,palleLaterali,triangolazione,triFatta,triFatta_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,falliFatti,falliSubiti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,triChiusa,triChiusa_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,ammonizioni,tiriInPortaDaArea,tiriInPortaDaArea_PERC,interventoNegativo,espulsioni,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,crossRiusciti,crossRiusciti_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,tiriRigoreSubiti,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,FxGoT,gkGP,traversoni,inFuorigioco,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,interventoPositivo,tiriDiRigore,tiriDiRigore_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,tiroGolRigore,tiroGolRigore_PERC
23794,OMAR FEDERICO,ALDERETE FERNANDEZ,ALDERETE O.,26-12-1996,131485,99,1,1,100.00%,1,100.00%,5,54,1,1.85%,44,81.48%,1,100.00%,43,4,1,1,5,2,2,100.00%,4,9,8,88.89%,1,11.11%,2,22.22%,2,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,4,1,100.00%,1,1,100.00%,0.037,0.480,0.138,0.000,0.175,0.443,0.037,0.000,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11341,MIGUEL,ALMIRON,ALMIRON M.,10-02-1994,131485,83,1,1,100.00%,1,100.00%,5,31,2,6.45%,29,93.55%,,,30,,,4,3,3,2,66.67%,2,13,9,69.23%,1,7.69%,5,38.46%,4,80.00%,,,,,,,1,100.00%,4,,,,,,0.064,0.417,0.486,0.080,0.550,0.352,0.064,0.000,787,3,10.00%,3,1,1,1,1,100.00%,1,33.33%,1,7.69%,5,55.56%,3,33.33%,1,1,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113190,ALEX,ARCE,ARCE A.,16-06-1995,131485,78,2,1,50.00%,2,100.00%,,20,1,5.00%,15,75.00%,,,24,2,,9,2,1,,,2,15,6,40.00%,7,46.67%,5,33.33%,2,40.00%,,,,,,,1,100.00%,4,,,,,,0.048,0.037,0.304,0.000,-0.199,-0.011,0.048,0.000,787,5,20.83%,,,1,1,,,1,50.00%,,,5,83.33%,9,150.00%,,,1,50.00%,3,12.50%,2,100.00%,1,100.00%,2,22.22%,1,50.00%,3,42.86%,2,22.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11339,FABIAN,BALBUENA,BALBUENA F.,23-08-1991,131485,99,1,,,,,3,38,1,2.63%,31,81.58%,1,100.00%,23,3,,4,9,,,,6,7,4,57.14%,,,1,14.29%,1,100.00%,,,,,,,,,4,,,,,,0.064,0.000,0.441,0.037,0.136,-0.064,0.064,0.000,787,1,4.35%,1,,,,,,,,,,,,,,,,,,2,8.70%,,,,,2,50.00%,3,50.00%,,,4,100.00%,1,100.00%,1,100.00%,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43703,ADAM,BAREIRO,BAREIRO A.,26-07-1996,131485,21,,,,,,,1,,,1,100.00%,,,5,1,,2,,,,,,5,1,20.00%,1,20.00%,2,40.00%,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,787,1,20.00%,,,,,,,,,1,20.00%,1,100.00%,4,400.00%,1,1,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68174,DAMIAN JOSUE',BOBADILLA BENITEZ,BOBADILLA D.,11-07-2001,131485,90,3,3,100.00%,2,66.67%,3,32,,,30,93.75%,,,30,,,1,4,,,,5,9,3,33.33%,,,3,33.33%,2,66.67%,,,,,,,2,66.67%,4,,,,,,0.236,0.900,0.296,0.023,-0.286,0.663,0.236,0.000,787,7,23.33%,1,,,,,,,,1,11.11%,3,100.00%,2,66.67%,,1,,,2,6.67%,,,,,,,5,100.00%,,,,,1,33.33%,,,1,14.29%,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60245,HERNESTO EZEQUIEL,CABALLERO BENITEZ,CABALLERO H.,09-04-1991,131485,9,,,,,,,2,,,2,100.00%,,,2,,,,,,,,,3,1,33.33%,,,1,33.33%,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,787,,,,,,,,,,,1,33.33%,1,100.00%,2,200.00%,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13129,ADRIAN ANDRES,CUBAS,CUBAS A.,22-05-1996,131485,86,,,,,,4,59,,,54,91.53%,,,45,2,,2,6,,,,,11,9,81.82%,,,7,63.64%,6,85.71%,,,,,,,,,4,,,,,,0.000,0.000,0.000,0.000,-0.280,0.000,0.000,0.000,787,,,,,,,,,1,16.67%,3,27.27%,5,55.56%,1,11.11%,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26480,JULIO,ENCISO,ENCISO J.,23-01-2004,131485,78,3,2,66.67%,2,66.67%,7,37,6,16.22%,30,81.08%,5,83.33%,41,,,10,2,6,3,50.00%,2,21,8,38.10%,2,9.52%,8,38.10%,1,12.50%,,,,,,,1,50.00%,4,,,,,,0.112,0.459,1.149,0.189,1.262,0.347,0.112,0.000,787,6,14.63%,3,,,1,1,100.00%,1,50.00%,3,14.29%,7,87.50%,10,125.00%,,3,1,50.00%,,,,,,,2,20.00%,1,50.00%,,,,,1,33.33%,,,,,,1,50.00%,,,3,42.86%,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60248,MATIAS DAVID,ESPINOZA ACOSTA,ESPINOZA M.,19-09-1997,131485,78,,,,,,,33,3,9.09%,25,75.76%,1,33.33%,23,,,3,1,,,,6,12,4,33.33%,1,8.33%,2,16.67%,,,,,,,,,,,4,,,,,,0.000,0.000,0.528,0.000,0.528,0.000,0.000,0.000,787,2,8.70%,,3,3,1,,,,,,,,,4,100.00%,3,,,,,,,,1,100.00%,2,66.67%,2,33.33%,,,,,,,,,,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
