Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,perdePalla,duelli,duelliPersiMetaCampo,duelliTackle,duelliTackle_PERC,falliFatti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,triangolazione,triFatta,triFatta_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,inFuorigioco,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,duelliAereiVinti,duelliAereiVinti_PERC,palleLaterali,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoPunizioneCentrale,golSviluppoPunizioneCentrale_PERC,giochiPortiereRicevuti,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,triChiusa,triChiusa_PERC,tiriDiRigore,tiriDiRigore_PERC,ammonizioni,tiriDiTesta,tiriDiTesta_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,retiSub,interventoNegativo,cross,crossRiusciti,crossRiusciti_PERC,tiriRigoreSubiti,lanci,lanciPositivi,lanciPositivi_PERC,parataPiede,parataPiede_PERC,retiSubGK,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC
26598,VALENTIN,CARBONI,CARBONI V.,05-03-2005,131486,17,5,5,100.00%,2,28.57%,7,2,4,3,2,50.00%,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7512,ANGEL,DI MARIA,DI MARIA A.,14-02-1988,131486,78,60,46,76.67%,3,5.77%,52,11,7,1,1,14.29%,,0.039,0.066,1.417,0.092,1.456,0.028,0.039,0.000,421,1,1,100.00%,1,100.00%,4,1,25.00%,10,16.67%,4,40.00%,2,1,50.00%,1,50.00%,1,1,100.00%,2,2,18.18%,1,50.00%,2,1,50.00%,1,2,28.57%,5,71.43%,4,80.00%,20.00%,1,14.29%,1,100.00%,2,1,1,100.00%,2,18.18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35040,ENZO,FERNANDEZ,FERNANDEZ E.,17-01-2001,131486,29,18,16,88.89%,2,11.76%,17,1,1,,,,,0.111,0.000,0.000,0.051,-0.054,-0.111,0.111,0.000,421,1,,,,,1,,,,,,,1,1,100.00%,,,,,,1,,,,,,,,,,,1,100.00%,,,,1,100.00%,,,,,,,,,1,100.00%,1,50.00%,1,5.88%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36966,ALEJANDRO,GARNACHO,GARNACHO A.,01-07-2004,131486,67,23,19,82.61%,3,11.54%,26,7,14,6,4,28.57%,,0.193,0.099,0.285,0.000,0.478,-0.094,0.193,0.000,421,2,1,50.00%,,,,,,2,8.70%,,,,,,,,,,,3,1,14.29%,1,33.33%,6,3,50.00%,1,2,14.29%,7,50.00%,5,71.43%,85.71%,1,7.14%,1,25.00%,2,,,,2,28.57%,2,100.00%,,,1,3.85%,,,1,1,100.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26456,NICOLAS,GONZALEZ,GONZALEZ N.,06-04-1998,131486,29,12,6,50.00%,1,12.50%,8,1,2,,1,50.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,100.00%,2,100.00%,,1,50.00%,1,100.00%,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14920,GIOVANI,LO CELSO,LO CELSO G.,09-04-1996,131486,66,45,41,91.11%,6,13.95%,43,6,9,2,4,44.44%,1,0.265,0.202,0.130,0.000,0.160,-0.063,0.265,0.000,421,1,1,100.00%,,,6,,,,,,,,,,,,,,,4,2,33.33%,1,25.00%,1,1,100.00%,,2,22.22%,6,66.67%,3,50.00%,33.33%,1,11.11%,2,50.00%,2,,,,,,1,100.00%,1,16.67%,1,2.33%,1,100.00%,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8278,DAMIAN EMILIANO,MARTINEZ,MARTINEZ E.,02-09-1992,131486,95,24,23,95.83%,,,16,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,50.00%,16,15,93.75%,8,4,50.00%,1,12.50%,1,100.00%,3,37.50%,0.605,0.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16755,LAUTARO JAVIER,MARTINEZ,LAUTARO MARTINEZ,22-08-1997,131486,95,13,11,84.62%,12,52.17%,23,9,17,7,3,17.65%,5,0.736,0.480,0.000,0.000,0.324,-0.256,0.736,0.000,421,4,4,100.00%,,,1,,,,,,,,,,,,,,,2,1,11.11%,2,100.00%,4,1,25.00%,1,3,17.65%,6,35.29%,4,66.67%,116.67%,1,5.88%,1,33.33%,3,2,,,,,4,100.00%,1,8.33%,1,4.35%,,,,4,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,2,50.00%,2,100.00%,2,100.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,
24458,LUCAS,MARTINEZ QUARTA,MARTINEZ QUARTA L.,10-05-1996,131486,12,6,5,83.33%,,,5,,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,421,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26455,GONZALO,MONTIEL,MONTIEL G.,01-01-1997,131486,95,78,67,85.90%,1,1.47%,68,4,6,2,3,50.00%,,0.000,0.000,0.397,0.040,0.397,0.000,0.000,0.000,421,,,,,,2,1,50.00%,5,6.41%,1,20.00%,1,,,1,100.00%,2,,,1,2,50.00%,,,1,,,,1,16.67%,4,66.67%,1,25.00%,50.00%,1,16.67%,3,100.00%,1,,,,2,50.00%,,,,,1,1.47%,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,100.00%,2,100.00%,,,,,,,,,,,,,,,,,,,,,
7507,NICOLAS,OTAMENDI,OTAMENDI N.,12-02-1988,131486,95,86,82,95.35%,,,74,,10,,2,20.00%,1,0.000,0.000,0.301,0.074,0.301,0.000,0.000,0.000,421,,,,,,5,1,20.00%,1,1.16%,1,100.00%,1,,,1,100.00%,1,1,100.00%,6,,,1,16.67%,,,,1,1,10.00%,8,80.00%,,,,5,50.00%,1,50.00%,1,,,,,,,,,,,,5,100.00%,,,,,,,,,,,,,,2,,,,,,,2,100.00%,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
23829,EXEQUIEL,PALACIOS,PALACIOS E.,05-10-1998,131486,95,61,56,91.80%,3,5.45%,55,2,11,,2,18.18%,1,0.000,0.000,0.101,0.036,-0.029,0.000,0.000,0.000,421,,,,,,4,,,,,,,1,,,,,1,1,100.00%,4,1,50.00%,1,25.00%,,,,2,4,36.36%,10,90.91%,3,30.00%,,2,18.18%,2,100.00%,4,,,,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6972,LEANDRO,PAREDES,PAREDES L.,29-06-1994,131486,78,69,62,89.86%,,,63,4,7,,1,14.29%,2,0.787,0.302,0.333,0.066,1.019,-0.486,0.031,0.000,421,2,1,50.00%,1,50.00%,7,1,14.29%,2,2.90%,1,50.00%,1,,,1,100.00%,1,,,4,1,25.00%,2,50.00%,,,,2,2,28.57%,4,57.14%,3,75.00%,,,,,,2,,1,100.00%,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,100.00%,1,50.00%,1,,,,,,,,,,,,,,,,,,
14368,GERMAN,PEZZELLA,PEZZELLA G.,27-06-1991,131486,83,65,61,93.85%,1,1.79%,56,,4,1,,,,0.104,0.000,0.000,0.000,-0.050,-0.104,0.104,0.000,421,1,,,,,1,,,1,1.54%,,,,,,,,,,,4,,,,,,,,2,,,1,25.00%,,,100.00%,2,50.00%,,,,,,,,,1,100.00%,1,100.00%,1,1.79%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,100.00%,2,100.00%,,,,,,,,,,,,,,
20464,GUIDO,RODRIGUEZ,RODRIGUEZ G.,12-04-1994,131486,17,24,22,91.67%,,,20,2,3,,1,33.33%,1,0.000,0.000,0.000,0.046,0.000,0.000,0.000,0.000,421,,,,,,1,,,,,,,1,,,,,,,,2,1,50.00%,,,,,,,1,33.33%,2,66.67%,1,50.00%,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
15904,NICOLAS,TAGLIAFICO,TAGLIAFICO N.,31-08-1992,131486,95,81,76,93.83%,2,3.08%,65,1,8,3,4,50.00%,,0.000,0.000,0.000,0.035,-0.244,0.000,0.000,0.000,421,,,,,,4,,,,,,,1,,,,,,,,3,,,2,66.67%,,,,,2,25.00%,4,50.00%,2,50.00%,75.00%,2,25.00%,1,25.00%,2,,,,,,,,,,1,1.54%,1,50.00%,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
17907,ALEXANDER,CALLENS,CALLENS A.,04-05-1992,131486,95,21,16,76.19%,,,11,3,8,3,3,37.50%,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780,,,,,,,,,,,,,,,,,,1,1,100.00%,1,2,66.67%,,,1,,,1,2,25.00%,3,37.50%,2,66.67%,100.00%,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
15911,WILDER JOSE',CARTAGENA MENDOZA,CARTAGENA W.,23-09-1994,131486,47,7,6,85.71%,,,6,1,6,2,2,33.33%,3,0.039,0.414,0.000,0.000,0.039,0.375,0.039,0.000,780,1,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,1,,,1,16.67%,,,200.00%,,,1,50.00%,,,1,100.00%,2,200.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,100.00%,,,,,,,,,,,,,,
54792,JESUS ABDALLAH,CASTILLO MOLINA,CASTILLO J.,11-06-2001,131486,48,20,14,70.00%,1,6.67%,15,4,6,1,1,16.67%,2,0.055,0.000,0.326,0.000,0.063,-0.055,0.055,0.000,780,1,,,1,100.00%,1,,,1,5.00%,,,,,,,,1,,,4,,,2,50.00%,,,,1,2,33.33%,4,66.67%,1,25.00%,25.00%,1,16.67%,1,100.00%,2,,,,,,,,,,1,6.67%,,,,,,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,2,1,,,,,,,,,,,,
11343,ALDO SEBASTIAN,CORZO CHAVEZ,CORZO A.,20-05-1989,131486,95,17,12,70.59%,,,11,4,16,1,4,25.00%,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,780,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,1,6.25%,8,50.00%,1,12.50%,12.50%,4,25.00%,3,75.00%,1,,,,,,,,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,2,,,,,,,,,,,,,
11234,CHRISTIAN ALBERTO,CUEVA BRAVO,CUEVA C.,23-11-1991,131486,17,6,6,100.00%,,,6,,2,1,1,50.00%,1,0.000,0.000,0.244,0.053,0.244,0.000,0.000,0.000,780,,,,,,1,1,100.00%,1,16.67%,1,100.00%,1,,,1,100.00%,,,,,,,,,,,,,,,1,50.00%,1,100.00%,100.00%,,,1,100.00%,,,,,,,,,,,1,16.67%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,100.00%,,,,,,,,,
