Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevuti,cross,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cutBack,dribblingPositivo,dribblingPositivo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,traversoni,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,inFuorigioco,traversoniRiusciti,traversoniRiusciti_PERC,ammonizioni,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,tiriDiTesta,tiriDiTesta_PERC,crossRiusciti,crossRiusciti_PERC,interventoPositivo,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,espulsioni,doppieAmm
16511,STEPHEN,ANTUNES EUSTAQUIO,EUSTAQUIO S.,21-12-1996,131487,102,1,1,100.00%,1,100.00%,3,72,6,8.33%,61,84.72%,3,50.00%,54,1,1,4,4,2,50.00%,2,50.00%,3,2,50.00%,1,33.33%,1,3,2,66.67%,14,4,28.57%,1,25.00%,3,75.00%,2,14.29%,2,100.00%,3,21.43%,1,33.33%,5,1,100.00%,2,50.00%,0.168,0.079,0.961,0.000,0.962,-0.089,0.168,0.000,3914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35121,TAJON,BUCHANAN,BUCHANAN T.,08-02-1999,131487,22,1,1,100.00%,1,100.00%,,6,3,50.00%,3,50.00%,1,33.33%,8,,2,2,,,,,,,,,,,1,,,,2,1,50.00%,1,100.00%,1,100.00%,,,,,1,50.00%,,,,1,100.00%,,,0.095,0.349,0.469,0.000,0.462,0.254,0.095,0.000,3914,2,25.00%,1,50.00%,2,25.00%,2,1,50.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36779,DEREK,CORNELIUS,CORNELIUS D.,25-11-1997,131487,102,1,1,100.00%,1,100.00%,2,65,1,1.54%,53,81.54%,,,48,,,4,,,,,,9,,,,,,,,,10,7,70.00%,,,2,28.57%,9,90.00%,6,66.67%,1,10.00%,1,100.00%,,1,100.00%,,,0.151,0.080,0.000,0.000,-0.372,-0.072,0.151,0.000,3914,1,2.08%,1,100.00%,3,6.25%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51059,MAXIME,CREPEAU,CREPEAU M.,11-05-1994,131487,102,,,,,,1,24,1,4.17%,20,83.33%,,,7,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,,,,,,,,,,4,2,5,4,80.00%,2,7,1,50.00%,6,85.71%,15,7,46.67%,2,13.33%,4,100.00%,6,40.00%,1.043,1.043,,,,,,,,,,,,,,,,,,,,,,,,,,
23346,JONATHAN,DAVID,DAVID J.,14-01-2000,131487,99,1,,,,,1,27,4,14.81%,23,85.19%,3,75.00%,34,,1,6,1,,,1,100.00%,1,3,50.00%,1,100.00%,2,,,,8,4,50.00%,1,25.00%,1,25.00%,2,25.00%,,,3,37.50%,2,66.67%,,,,4,66.67%,0.147,0.000,0.447,0.054,0.422,-0.147,0.147,0.000,3914,5,14.71%,,,1,2.94%,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,1,1,100.00%,1,1,12.50%,1,1,,,,,,,,,,,,,,
22446,ALPHONSO,DAVIES,DAVIES A.,02-11-2000,131487,102,1,,,,,2,53,10,18.87%,41,77.36%,5,50.00%,44,1,3,9,1,1,100.00%,,,7,1,11.11%,1,14.29%,9,1,1,100.00%,23,8,34.78%,3,37.50%,9,112.50%,3,13.04%,,,7,30.43%,3,42.86%,2,,,,,0.019,0.000,1.485,0.041,1.083,-0.019,0.019,0.000,3914,2,4.55%,,,2,4.55%,,,,,3,33.33%,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,1,,,2,2,8.70%,2,,1,50.00%,1,1,14.29%,,,,,,,,,
36781,ALISTAIR,JOHNSTON,JOHNSTON A.,08-10-1998,131487,102,,,,,,4,66,7,10.61%,54,81.82%,3,42.86%,33,1,1,5,1,1,100.00%,,,10,1,20.00%,2,20.00%,1,2,,,15,11,73.33%,2,18.18%,2,18.18%,8,53.33%,5,62.50%,4,26.67%,3,75.00%,,,,,,0.000,0.000,0.680,0.038,0.488,0.000,0.000,0.000,3914,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,2,50.00%,1,1,100.00%,,,,,,,,1,,,,,,,,,,,
28652,CYLE,LARIN,LARIN C.,17-04-1995,131487,80,2,1,50.00%,2,100.00%,1,14,1,7.14%,12,85.71%,1,100.00%,20,,,8,1,,,1,100.00%,1,1,12.50%,,,2,2,2,100.00%,14,4,28.57%,3,75.00%,9,225.00%,4,28.57%,2,50.00%,5,35.71%,2,40.00%,2,1,100.00%,,,0.381,0.608,0.289,0.034,0.079,0.227,0.381,0.000,3914,4,20.00%,2,50.00%,3,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,1,100.00%,,,,,,,,,,,1,50.00%,,,,,,,
36782,RICHIE,LARYEA,LARYEA R.,07-01-1995,131487,80,1,1,100.00%,1,100.00%,3,23,4,17.39%,14,60.87%,1,25.00%,31,1,4,9,,,,,,1,4,44.44%,,,3,1,,,21,13,61.90%,3,23.08%,3,23.08%,2,9.52%,,,10,47.62%,5,50.00%,,1,100.00%,4,44.44%,0.068,0.346,0.834,0.055,0.418,0.278,0.068,0.000,3914,4,12.90%,3,75.00%,4,12.90%,,,,1,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,1,33.33%,1,1,100.00%,1,5,23.81%,5,,,,,,,,,,,,,,,
49309,MOISE BOMBITO,LUMPUNGU,BOMBITO M.,30-03-2000,131487,102,,,,,,3,63,,,52,82.54%,,,40,,,4,,,,,,13,3,75.00%,,,,,,,9,6,66.67%,,,1,16.67%,6,66.67%,4,66.67%,2,22.22%,2,100.00%,1,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3914,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
