Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,perdePalla,triangolazione,triFatta,triFatta_PERC,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,interventoPositivo,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriDaFuori,tiriDaFuori_PERC,assist,palleLaterali,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passChiaveInArea,passChiaveInArea_PERC,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,giochiPortiereRicevuti,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,falliFatti,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,traversoni,tiriInPorta,tiriInPorta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,ammonizioni,triChiusa,triChiusa_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,assistVincenti,assistVincenti_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,assistVincentiInArea,assistVincentiInArea_PERC,crossVincenti,crossVincenti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,cutBack,tiroGolPiede,tiroGolPiede_PERC,inFuorigioco,golSviluppoCorner,golSviluppoCorner_PERC
131149,KAROY,ANDERSON,ANDERSON K.,01-10-2004,131488,26,1,13,11,84.62%,1,7.14%,14,1,7.14%,1,1,1,100.00%,1,3,1,33.33%,3,100.00%,1,33.33%,1,33.33%,1,100.00%,1,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11758,MICHAIL,ANTONIO,ANTONIO M.,28-03-1990,131488,67,1,16,11,68.75%,5,22.73%,22,,,8,1,1,100.00%,1,15,2,13.33%,9,60.00%,6,66.67%,5,33.33%,2,40.00%,2,,2,0.041,0.000,0.140,0.039,0.182,-0.041,0.041,0.000,820,1,1,100.00%,1,1,1,5,62.50%,1,100.00%,3,3,100.00%,1,100.00%,1,11.11%,4,26.67%,2,50.00%,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54666,JONATHAN,BELL,BELL J.,26-08-1997,131488,94,4,28,22,78.57%,1,5.26%,19,2,10.53%,7,1,1,100.00%,,8,,,2,25.00%,,,5,62.50%,2,40.00%,,,3,0.000,0.000,0.715,0.239,0.446,0.000,0.000,0.000,820,,,,3,3,6,2,28.57%,2,33.33%,1,,,,,1,50.00%,1,12.50%,,,4,57.14%,2,50.00%,3,10.71%,2,66.67%,1,2,66.67%,3,2,66.67%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55173,RENALDO SHOWAYNE,CEPHAS,CEPHAS R.,18-12-1999,131488,46,1,9,7,77.78%,2,13.33%,15,2,13.33%,4,,,,1,10,2,20.00%,6,60.00%,4,66.67%,2,20.00%,1,50.00%,2,,,0.515,0.000,0.118,0.000,0.291,-0.515,0.515,0.000,820,2,1,50.00%,,1,1,3,75.00%,1,100.00%,3,1,33.33%,,,1,16.67%,2,20.00%,1,50.00%,2,50.00%,,,1,11.11%,,,,,,,,,,1,50.00%,1,50.00%,1,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131151,KAHEIM,DIXON,DIXON K.,04-10-2004,131488,48,,15,13,86.67%,5,27.78%,18,3,16.67%,6,,,,,7,,,1,14.29%,1,100.00%,6,85.71%,1,16.67%,,,3,0.083,0.410,0.000,0.000,-0.154,0.327,0.083,0.000,820,1,,,,,3,3,50.00%,1,33.33%,1,,,,,4,400.00%,,,,,2,33.33%,,,1,6.67%,,,,,,,,,,1,100.00%,,,1,20.00%,,1,100.00%,1,100.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12817,DEMARAI,GRAY,GRAY D.,28-06-1996,131488,88,,21,15,71.43%,7,41.18%,17,,,5,,,,,11,1,9.09%,5,45.45%,3,60.00%,6,54.55%,3,50.00%,1,,3,0.156,0.000,0.509,0.000,0.665,-0.156,0.156,0.000,820,1,,,,1,2,1,20.00%,,,4,1,25.00%,,,2,40.00%,,,,,,,,,5,23.81%,4,80.00%,1,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98753,WESLEY NATHAN HYLTON,HARDING,HARDING W.,20-10-1996,131488,67,,21,18,85.71%,,,19,,,4,1,1,100.00%,1,6,,,3,50.00%,1,33.33%,1,16.67%,,,,,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,820,,,,,,1,2,50.00%,1,100.00%,3,1,33.33%,,,1,33.33%,1,16.67%,1,100.00%,2,50.00%,,,,,,,1,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98295,MICHAEL ANTHONY JAMES,HECTOR,HECTOR M.,19-07-1992,131488,94,1,52,49,94.23%,,,37,,,3,,,,,7,,,3,42.86%,,,4,57.14%,2,50.00%,,,3,0.000,0.000,0.249,0.000,0.249,0.000,0.000,0.000,820,,,,,,7,2,66.67%,,,,,,,,2,66.67%,1,14.29%,1,100.00%,2,66.67%,1,100.00%,2,3.85%,1,50.00%,4,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131148,RICHARD,KING,KING R.,27-11-2001,131488,6,2,8,6,75.00%,,,5,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.032,0.000,0.000,0.000,0.000,820,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98296,JOEL OWEN,LATIBEAUDIERE,LATIBEAUDIERE J.,06-01-2000,131488,88,4,51,47,92.16%,,,47,,,3,2,,,,4,3,75.00%,4,100.00%,4,100.00%,,,,,3,,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,820,,,,,,1,1,33.33%,1,100.00%,1,1,100.00%,,,,,,,,,2,66.67%,,,1,1.96%,1,100.00%,3,,,,,,,,,,,,,,,,,,1,100.00%,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51308,DAMION,LOWE,LOWE D.,05-05-1993,131488,94,7,24,22,91.67%,2,9.09%,22,3,13.64%,2,2,,,2,14,,,7,50.00%,3,42.86%,4,28.57%,2,50.00%,,,3,0.092,0.000,0.000,0.078,-0.410,-0.092,0.092,0.000,820,1,,,2,,5,2,100.00%,1,20.00%,1,1,100.00%,1,50.00%,4,57.14%,5,35.71%,3,60.00%,,,1,14.29%,2,8.33%,2,100.00%,,1,50.00%,,,,2,1,100.00%,1,100.00%,1,50.00%,,,,,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131150,ALEX,MARSHALL,MARSHALL A.,24-02-1998,131488,6,,4,3,75.00%,1,33.33%,3,,,,,,,,,,,,,,,,,,,,,,0.025,0.000,0.000,0.000,0.025,-0.025,0.025,0.000,820,1,1,100.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31131,SHAMAR AMARO,NICHOLSON,NICHOLSON S.,16-03-1997,131488,27,,4,4,100.00%,1,16.67%,6,,,3,,,,,6,,,1,16.67%,1,100.00%,2,33.33%,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,820,,,,,,,1,33.33%,,,1,,,,,3,300.00%,3,50.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14171,KASEY REMEL,PALMER,PALMER K.,09-11-1996,131488,94,3,44,34,77.27%,2,5.71%,35,,,6,,,,3,20,2,10.00%,15,75.00%,4,26.67%,7,35.00%,6,85.71%,2,,3,0.000,0.000,0.712,0.000,0.712,0.000,0.000,0.000,820,,,,,,4,1,16.67%,1,25.00%,6,4,66.67%,2,66.67%,2,13.33%,2,10.00%,2,100.00%,2,33.33%,,,6,13.64%,1,16.67%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58385,ETHAN RUPERT,PINNOCK,PINNOCK E.,29-05-1993,131488,94,3,65,51,78.46%,1,2.17%,46,1,2.17%,7,,,,1,9,,,5,55.56%,1,20.00%,2,22.22%,2,100.00%,,,3,0.000,0.000,0.287,0.000,0.287,0.000,0.000,0.000,820,,,,,,5,2,28.57%,,,1,,,1,100.00%,,,5,55.56%,3,60.00%,2,28.57%,,,3,4.62%,1,33.33%,3,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98290,JAHMALI DANTE,WAITE,WAITE J.,24-12-1998,131488,94,1,34,29,85.29%,,,17,,,5,,,,,,,,,,,,,,,,,,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,820,,,,,,6,2,40.00%,,,,,,,,,,,,,,2,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,1,16.67%,3,14,1,33.33%,13,92.86%,17,8,47.06%,1,100.00%,3,9,52.94%,4.234,1.234,,,,,,,,,,,,,,,,,,,,,,,,
