Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdePalla,duelli,duelliVinti,duelliVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,ammonizioni,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,triangolazione,triFatta,triFatta_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,falliFatti,falliSubiti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,duelliAerei,duelliAerei_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,duelliAereiVinti,duelliAereiVinti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,cutBack,triChiusa,triChiusa_PERC,giochiPortiereRicevuti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,inFuorigioco,lanciPositivi,lanciPositivi_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cutBackRiusciti,cutBackRiusciti_PERC
29854,URIEL,ANTUNA,ANTUNA U.,21-08-1997,131489,33,1,14,4,28.57%,9,64.29%,2,50.00%,2,18.18%,1,50.00%,11,2,18.18%,1,2,1,50.00%,2,3,1,1,100.00%,1,100.00%,1,100.00%,1,0.000,0.000,0.863,0.036,0.694,0.000,0.000,0.000,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17870,GERARDO,ARTEAGA,ARTEAGA G.,07-09-1998,131489,91,,44,2,4.55%,36,81.82%,1,50.00%,1,3.03%,,,33,,,,1,,,2,6,15,7,46.67%,9,60.00%,4,44.44%,,0.000,0.000,0.193,0.000,0.193,0.000,0.000,0.000,245,1,1,100.00%,5,2,33.33%,2,40.00%,1,1,100.00%,3,2,66.67%,1,6.67%,3,42.86%,4,57.14%,1,1,1,20.00%,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33523,LUIS,CHAVEZ,CHAVEZ L.,15-01-1996,131489,101,4,49,7,14.29%,40,81.63%,2,28.57%,,,,,38,,,,2,1,50.00%,3,5,9,4,44.44%,5,55.56%,2,40.00%,1,0.082,0.063,0.973,0.000,1.056,-0.019,0.082,0.000,245,,,,4,2,40.00%,2,50.00%,,,,2,,,,,2,50.00%,1,25.00%,1,,1,25.00%,2,40.00%,1,1,100.00%,1,100.00%,1,11.11%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45216,JORDI,CORTIZO,CORTIZO J.,30-06-1996,131489,15,,3,,,2,66.67%,,,,,,,2,,,,,,,,,1,1,100.00%,1,100.00%,1,100.00%,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,245,,,,1,,,1,100.00%,,,,,,,,,1,100.00%,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59252,SANTIAGO TOMAS,GIMENEZ,GIMENEZ S.,18-04-2001,131489,101,,10,3,30.00%,7,70.00%,,,4,30.77%,3,75.00%,13,6,46.15%,,,,,,8,13,5,38.46%,,,,,,0.802,0.673,0.983,0.000,0.414,-0.129,0.802,0.000,245,1,1,100.00%,2,2,25.00%,1,50.00%,4,,,1,1,100.00%,,,5,100.00%,6,120.00%,3,,,,2,25.00%,4,2,50.00%,4,100.00%,5,38.46%,2,100.00%,2,50.00%,5,100.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45442,JULIO,GONZALEZ,GONZALEZ JU.,23-04-1991,131489,101,,33,,,28,84.85%,,,,,,,21,1,4.76%,,,,,,5,,,,,,,,,0.000,0.000,0.000,0.000,-0.158,0.000,0.000,0.000,245,,,,4,1,20.00%,,,,,,,,,,,,,,,,,,,2,40.00%,,,,,,,,,,,,,,,,3,5,3,3,100.00%,3,22,21,95.45%,8,2,25.00%,2,25.00%,3,100.00%,4,50.00%,0.556,0.556,,,,,,,,,,,,,,,,,,,
20879,CESAR,HUERTA,HUERTA C.,03-12-2000,131489,68,2,21,7,33.33%,12,57.14%,2,28.57%,5,21.74%,2,40.00%,23,7,30.43%,2,1,,,3,5,16,7,43.75%,7,43.75%,2,28.57%,,0.203,0.000,2.022,0.117,1.097,-0.203,0.203,0.000,245,1,,,4,,,1,25.00%,4,2,50.00%,1,,,1,6.25%,5,71.43%,6,85.71%,1,1,1,25.00%,,,2,,,1,50.00%,2,12.50%,,,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,50.00%,1,50.00%,1,1,100.00%,,,,,,,,,,
45509,GUILLERMO,MARTINEZ,MARTINEZ G.,15-03-1995,131489,33,,6,2,33.33%,4,66.67%,,,1,16.67%,,,6,4,66.67%,,,,,,2,5,3,60.00%,2,40.00%,,,,0.299,0.650,0.974,0.000,0.576,0.352,0.299,0.000,245,,,,1,,,1,100.00%,,,,,,,1,20.00%,2,66.67%,2,66.67%,,1,1,100.00%,,,1,1,100.00%,1,100.00%,2,40.00%,1,100.00%,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33519,CESAR,MONTES,MONTES C.,24-02-1997,131489,101,2,54,6,11.11%,40,74.07%,2,33.33%,1,2.63%,,,38,,,1,,,,,3,16,11,68.75%,1,6.25%,1,100.00%,1,0.000,0.000,0.531,0.049,0.531,0.000,0.000,0.000,245,,,,7,,,1,14.29%,,,,2,2,100.00%,1,6.25%,3,27.27%,2,18.18%,1,1,,,,,,,,,,11,68.75%,,,,,9,81.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
33526,ORBELIN,PINEDA,PINEDA O.,24-03-1996,131489,68,1,16,3,18.75%,10,62.50%,2,66.67%,3,20.00%,,,15,,,1,,,,1,2,12,9,75.00%,2,16.67%,1,50.00%,,0.089,0.162,0.565,0.063,0.654,0.073,0.089,0.000,245,,,,1,,,1,100.00%,3,3,100.00%,3,2,66.67%,4,33.33%,5,55.56%,2,22.22%,,4,,,,,2,2,100.00%,1,50.00%,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,1,100.00%,1,100.00%,,,,,1,50.00%,,,,,,,
