Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,inFuorigioco,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,giochiPortiereRicevuti,triangolazione,triFatta,triFatta_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,thirdPass,tiriDaFuori,tiriDaFuori_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,tiriDiTesta,tiriDiTesta_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,interventoNegativo
48446,CARMELO,ALGARANAZ,ALGARANAZ C.,27-01-1996,131490,96,1,1,100.00%,11,2,18.18%,10,90.91%,2,100.00%,1,4.76%,21,2,9.52%,1,1,100.00%,11,2,1,9.09%,1,50.00%,1,19,1,5.26%,5,26.32%,3,60.00%,11,220.00%,8,42.11%,2,25.00%,9,47.37%,1,11.11%,1,1,2,3,0.000,0.000,0.556,0.055,0.347,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20852,BORIS,CESPEDES,CESPEDES B.,19-06-1995,131490,64,2,,,43,,,39,90.70%,,,1,2.44%,41,,,,,,4,,3,75.00%,,,,4,,,1,25.00%,,,1,100.00%,1,25.00%,,,3,75.00%,1,33.33%,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,1,2,2,100.00%,4,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48443,LUCAS,CHAVEZ,CHAVEZ L.,17-04-2003,131490,14,,,,3,,,3,100.00%,,,1,25.00%,4,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,100.00%,,,,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54469,HECTOR MANUEL,CUELLAR ROSALES,CUELLAR H.,16-08-2000,131490,96,2,,,66,2,3.03%,57,86.36%,,,,,51,,,,,,4,8,2,50.00%,,,3,15,,,9,60.00%,1,11.11%,2,22.22%,7,46.67%,6,85.71%,1,6.67%,1,100.00%,1,,,3,0.000,0.000,0.380,0.000,0.218,0.000,0.000,0.000,779,1,1,,,4,100.00%,1,100.00%,3,1,33.33%,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20448,LUIS FERNANDO,HAQUIN LOPEZ,HAQUIN L.,15-11-1997,131490,96,7,,,48,,,43,89.58%,,,,,36,,,,,,1,8,1,100.00%,,,3,17,2,11.76%,11,64.71%,,,1,9.09%,4,23.53%,3,75.00%,5,29.41%,4,80.00%,1,2,,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,1,1,,,,,1,100.00%,2,2,100.00%,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20450,LEONEL,JUSTINIANO ARAUZ,JUSTINIANO L.,02-07-1992,131490,32,2,,,26,1,3.85%,22,84.62%,,,4,17.39%,23,,,,,,2,1,1,50.00%,,,,5,,,1,20.00%,1,100.00%,3,300.00%,1,20.00%,,,3,60.00%,1,33.33%,1,,,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54994,BRUNO,MIRANDA VILLAGOMEZ,MIRANDA B.,10-02-1998,131490,32,,,,8,1,12.50%,7,87.50%,1,100.00%,3,50.00%,6,1,16.67%,,,,,1,,,1,100.00%,1,1,,,,,,,1,,,,,,,,,,,,,2,0.196,0.658,0.371,0.000,0.240,0.462,0.196,0.000,779,,,,,,,,,,,,1,100.00%,1,1,100.00%,1,100.00%,1,33.33%,1,1,100.00%,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55380,YOMAR RENE,ROCHA RODRIGUEZ,ROCHA Y.,21-06-2003,131490,64,2,2,100.00%,28,3,10.71%,23,82.14%,3,100.00%,,,23,,,2,2,100.00%,7,1,2,28.57%,,,1,8,,,1,12.50%,1,100.00%,2,200.00%,3,37.50%,,,2,25.00%,,,1,,,1,0.000,0.000,0.348,0.122,0.348,0.000,0.000,0.000,779,3,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,1,1,100.00%,1,,,,,,,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66316,JOSE',SAGREDO CHAVEZ,SAGREDO JOSE',10-03-1994,131490,96,2,,,38,,,33,86.84%,,,2,6.67%,30,2,6.67%,1,,,4,5,2,50.00%,1,20.00%,7,21,2,9.52%,11,52.38%,2,18.18%,1,9.09%,5,23.81%,1,20.00%,6,28.57%,5,83.33%,1,2,1,3,0.000,0.000,0.000,0.034,-0.389,0.000,0.000,0.000,779,1,2,,,,,2,100.00%,,,,4,57.14%,,,,,,,,,,,,,,,,,,,,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11311,FERNANDO JAVIER,SAUCEDO PEREYRA,SAUCEDO F.,15-03-1990,131490,15,,,,11,,,9,81.82%,,,,,10,,,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,1,,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,779,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
