Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliSubiti,retiSub,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,palleLaterali,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,falliFatti,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,assist,triangolazione,triChiusa,triChiusa_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,reteDaPunizioneDiretta,reteDaPunizioneDiretta_PERC,triFatta,triFatta_PERC,ammonizioni,passChiaveInArea,passChiaveInArea_PERC,thirdPass,cross,tiriDaArea,tiriDaArea_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,parate,uscite,interventoPositivo,interventoNegativo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,cutBack,assistInArea,assistInArea_PERC,crossRiusciti,crossRiusciti_PERC,tiriDiTesta,tiriDiTesta_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,inFuorigioco,tiroGolArea,tiroGolArea_PERC,thirdPassVincenti,thirdPassVincenti_PERC
7431,MARCOS,AOAS CORREA,MARQUINHOS,14-05-1994,131492,101,3,55,1,1.82%,46,83.64%,40,5,2,7,1,50.00%,2,15,2,13.33%,11,73.33%,1,9.09%,4,26.67%,1,25.00%,7,46.67%,6,85.71%,2,1,2,100.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7674,DANILO LUIZ,DA SILVA,DANILO,15-07-1991,131492,101,3,53,4,7.55%,41,77.36%,35,2,4,4,2,50.00%,2,13,,,6,46.15%,1,16.67%,2,15.38%,2,100.00%,7,53.85%,4,57.14%,,1,2,50.00%,0.000,0.000,0.000,0.000,-0.335,0.000,0.000,0.000,243,1,25.00%,2,5.71%,1,50.00%,3,8.57%,1,1,100.00%,2,1,25.00%,2,100.00%,1,16.67%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21572,RAPHAEL,DIAS BELLOLI,RAPHINHA,14-12-1996,131492,101,3,38,7,18.42%,28,73.68%,32,,7,1,2,28.57%,3,19,2,10.53%,8,42.11%,5,62.50%,,,,,8,42.11%,3,37.50%,2,1,,,0.080,0.442,1.029,0.037,1.109,0.363,0.080,0.000,243,2,28.57%,5,15.63%,,,,,,,,1,1,100.00%,3,100.00%,10,125.00%,2,2,1,50.00%,2,100.00%,1,2,2,100.00%,4,3,75.00%,1,50.00%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30828,EDERSON JOSE',DOS SANTOS LOURENCO DA SILVA,EDERSON,07-07-1999,131492,23,,13,,,13,100.00%,14,,1,1,1,100.00%,1,6,1,16.67%,4,66.67%,3,75.00%,,,,,2,33.33%,1,50.00%,1,,2,200.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,,,1,7.14%,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58498,JOAO VICTOR,GOMES DA SILVA,JOAO GOMES,12-02-2001,131492,79,4,35,2,5.71%,28,80.00%,27,3,3,3,2,66.67%,1,10,1,10.00%,5,50.00%,3,60.00%,,,,,5,50.00%,3,60.00%,1,1,2,66.67%,0.000,0.000,0.158,0.000,-0.002,0.000,0.000,0.000,243,2,100.00%,2,7.41%,,,,,,,,,2,66.67%,1,100.00%,2,40.00%,1,,,,,,,1,,,2,1,50.00%,,,,,,,,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23388,BRUNO,GUIMARAES RODRIGUEZ MOURA,GUIMARAES B.,16-11-1997,131492,92,4,48,2,4.17%,44,91.67%,47,1,4,3,1,25.00%,,16,2,12.50%,7,43.75%,1,14.29%,1,6.25%,1,100.00%,8,50.00%,3,37.50%,2,1,,,0.191,0.910,0.107,0.000,0.029,0.719,0.191,0.000,243,1,50.00%,3,6.38%,,,,,,,,,2,66.67%,,,3,42.86%,4,2,2,100.00%,2,100.00%,,,,,2,1,50.00%,,,,,,,2,100.00%,,,,,1,1,25.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16927,ANDREAS HUGO,HOELGEBAUM PEREIRA,PEREIRA A.,01-01-1996,131492,50,,14,4,28.57%,7,50.00%,12,,2,1,2,100.00%,4,13,2,15.38%,7,53.85%,,,1,7.69%,,,6,46.15%,4,66.67%,2,,2,100.00%,0.080,0.066,0.468,0.000,0.390,-0.014,0.080,0.000,243,1,25.00%,2,16.67%,,,,,,,,2,,,3,75.00%,1,14.29%,,1,1,100.00%,1,100.00%,,,,,,,,,,,,,,1,100.00%,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17393,EDER GABRIEL,MILITAO,MILITAO E.,18-01-1998,131492,101,7,53,2,3.77%,45,84.91%,40,2,3,9,,,1,13,,,6,46.15%,1,16.67%,9,69.23%,5,55.56%,2,15.38%,1,50.00%,,1,,,0.142,0.185,0.553,0.053,0.341,0.043,0.142,0.000,243,1,50.00%,1,2.50%,,,3,7.50%,,,,,,,1,100.00%,3,50.00%,1,1,1,100.00%,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37123,SAVIO,MOREIRA DE OLIVEIRA,SAVIO,10-04-2004,131492,22,1,9,2,22.22%,8,88.89%,12,1,4,1,,,,6,1,16.67%,2,33.33%,2,100.00%,1,16.67%,,,2,33.33%,,,1,,,,0.000,0.000,0.360,0.038,0.360,0.000,0.000,0.000,243,1,50.00%,3,25.00%,,,1,8.33%,,,,1,1,100.00%,,,4,200.00%,,,,,,,1,1,,,2,1,50.00%,,,,,,,,,,,1,100.00%,,,,,1,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65030,ENDRICK FELIPE,MOREIRA DE SOUSA,ENDRICK,21-07-2006,131492,10,,2,1,50.00%,1,50.00%,4,,3,,1,33.33%,,4,,,,,,,,,,,2,50.00%,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,243,1,100.00%,1,25.00%,,,1,25.00%,,,,,,,,,2,,1,,,,,,,1,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
