Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passRicevuti,perdePalla,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,falliFatti,falliSubiti,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevutiInArea,passRicevutiInArea_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,retiSub,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistVincenti,assistVincenti_PERC,triangolazione,triChiusa,triChiusa_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,cross,palleLaterali,inFuorigioco,tiroGolArea,tiroGolArea_PERC,tiroGolTesta,tiroGolTesta_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,golSviluppoCorner,golSviluppoCorner_PERC,triFatta,triFatta_PERC,giochiPortiereRicevuti,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,traversoni,traversoniRiusciti,traversoniRiusciti_PERC,traversoniVincenti,traversoniVincenti_PERC,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,crossRiusciti,crossRiusciti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC
36601,BRANDON,AGUILERA,AGUILERA B.,28-06-2003,131493,29,1,6,1,16.67%,5,83.33%,6,1,2,1,50.00%,1,5,1,20.00%,2,40.00%,2,100.00%,2,100.00%,1,20.00%,1,100.00%,2,40.00%,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49651,JOSIMAR,ALCOCER,ALCOCER J.,07-07-2004,131493,69,,8,,,8,100.00%,21,9,2,,,3,21,1,4.76%,5,23.81%,3,60.00%,7,140.00%,2,9.52%,,,11,52.38%,3,1,0.026,0.290,0.000,0.000,0.026,0.264,0.026,0.000,416,1,1,100.00%,1,100.00%,2,9.52%,1,4.76%,5,55.56%,1,33.33%,1,1,100.00%,3,27.27%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,1,1,1,100.00%,2,22.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49573,ALEJANDRO,BRAN,BRAN A.,05-03-2001,131493,19,1,4,,,3,75.00%,4,,,,,,4,,,1,25.00%,,,1,100.00%,,,,,1,25.00%,1,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49341,JEFFERSON,BRENES,BRENES J.,13-04-1997,131493,79,1,34,5,14.71%,27,79.41%,23,6,6,2,33.33%,,10,1,10.00%,7,70.00%,1,14.29%,,,1,10.00%,1,100.00%,3,30.00%,1,1,0.000,0.000,0.431,0.048,0.431,0.000,0.000,0.000,416,,,,,,,,,,2,33.33%,,,4,1,25.00%,2,66.67%,,,,,,,,,,1,,,2,33.33%,2,40.00%,1,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11332,FRANCISCO,CALVO,CALVO F.,08-07-1992,131493,97,3,42,2,4.76%,30,71.43%,24,5,5,1,20.00%,,7,,,5,71.43%,1,20.00%,1,20.00%,4,57.14%,3,75.00%,2,28.57%,,,0.244,0.696,0.101,0.000,-0.161,0.453,0.244,0.000,416,1,1,100.00%,,,1,4.17%,3,12.50%,2,40.00%,,,1,1,100.00%,2,100.00%,1,100.00%,,,,,,,,1,,,,,1,50.00%,,,,,,,1,100.00%,1,100.00%,1,100.00%,1,1,2,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8279,JOEL,CAMPBELL,CAMPBELL J.,26-06-1992,131493,69,,29,4,13.79%,23,79.31%,27,5,4,3,75.00%,5,13,1,7.69%,4,30.77%,2,50.00%,5,125.00%,2,15.38%,1,50.00%,4,30.77%,1,1,0.000,0.000,0.415,0.000,0.415,0.000,0.000,0.000,416,,,,,,4,14.81%,,,2,40.00%,1,20.00%,,,,1,25.00%,,,,,,,,,,1,,,,,2,50.00%,,,,1,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53322,JULIO,CASCANTE,CASCANTE J.,03-10-1993,131493,9,,3,,,1,33.33%,,1,1,,,,1,,,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36604,ANTHONY,CONTRERAS,CONTRERAS A.,29-01-2000,131493,18,,4,,,2,50.00%,4,3,,,,,4,,,2,50.00%,2,100.00%,2,100.00%,2,50.00%,1,50.00%,1,25.00%,,,0.000,0.000,0.111,0.000,0.111,0.000,0.000,0.000,416,,,,,,,,,,,,,,1,1,100.00%,1,100.00%,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49587,ORLANDO,GALO,GALO O.,11-08-2000,131493,97,2,28,,,20,71.43%,21,6,5,,,2,21,2,9.52%,12,57.14%,1,8.33%,3,25.00%,2,9.52%,2,100.00%,8,38.10%,2,2,0.000,0.000,0.000,0.000,-0.148,0.000,0.000,0.000,416,,,,,,1,4.76%,,,4,66.67%,1,50.00%,5,1,20.00%,3,37.50%,,,,,,,,,1,1,,,2,33.33%,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48476,WARREN,MADRIGAL,MADRIGAL W.,24-07-2004,131493,79,,14,,,8,57.14%,30,15,2,,,2,20,5,25.00%,7,35.00%,3,42.86%,12,171.43%,9,45.00%,,,4,20.00%,,5,0.000,0.000,0.148,0.000,0.148,0.000,0.000,0.000,416,,,,,,6,20.00%,2,6.67%,1,6.67%,1,50.00%,,,,1,25.00%,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51977,JEYLAND,MITCHELL,MITCHELL J.,29-09-2004,131493,97,2,41,2,4.88%,26,63.41%,12,4,10,2,20.00%,1,14,2,14.29%,8,57.14%,,,,,2,14.29%,,,6,42.86%,1,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,1,100.00%,2,2,100.00%,5,83.33%,,,,,,,,,,1,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61758,JOSEPH MARTIN,MORA CORTEZ,MORA J.,15-01-1993,131493,88,2,22,1,4.55%,21,95.45%,19,,1,,,,2,,,1,50.00%,1,100.00%,,,2,100.00%,1,50.00%,,,,,0.000,0.000,0.319,0.108,0.319,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,100.00%,1,1,100.00%,1,,,,,,,,,,1,,,,,,,,,,1,100.00%,,1,50.00%,1,100.00%,1,100.00%,1,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36591,PATRICK,SEQUEIRA,SEQUEIRA P.,01-03-1999,131493,97,,24,1,4.17%,17,70.83%,3,3,3,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,7,6,85.71%,3,2,1,33.33%,2,100.00%,19,2,10.53%,6,31.58%,5,83.33%,1,16.67%,1,11,57.89%,2.922,1.922,,,,,,,,
49333,GERALD,TAYLOR,TAYLOR G.,28-05-2001,131493,97,1,13,1,7.69%,8,61.54%,8,3,3,,,,11,1,9.09%,6,54.55%,,,1,16.67%,2,18.18%,1,50.00%,4,36.36%,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,,,,,1,33.33%,,,3,1,33.33%,2,50.00%,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36592,JUAN PABLO,VARGAS CAMPOS,VARGAS J.,06-06-1995,131493,97,4,38,,,24,63.16%,15,5,7,,,,6,,,6,100.00%,1,16.67%,,,2,33.33%,2,100.00%,1,16.67%,,,0.000,0.000,0.000,0.000,-0.266,0.000,0.000,0.000,416,,,,,,,,1,6.67%,2,40.00%,,,3,,,1,100.00%,,,,,,,,,,1,,,2,40.00%,,,,,,1,,,,,,,,,,,,,,,,,,,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36600,ALVARO,ZAMORA,ZAMORA A.,09-03-2002,131493,29,,7,,,6,85.71%,12,6,1,,,,9,2,22.22%,2,22.22%,1,50.00%,5,250.00%,1,11.11%,,,4,44.44%,,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,416,,,,,,3,25.00%,,,2,33.33%,,,2,2,100.00%,,,,,,,,,,,,,,,2,33.33%,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
