Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,palleLaterali,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,ammonizioni,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevuti,traversoni,triFatta,triFatta_PERC,dribbling,dribblingPositivo,dribblingPositivo_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,interventoPositivo,crossRiusciti,crossRiusciti_PERC,duelliTackleVinti,duelliTackleVinti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,golProcurati,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,tiriDaArea,tiriDaArea_PERC,thirdPass,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,inFuorigioco,retiSub,retiSubGK,interventoNegativo,autogol
7617,ANTOINE,GRIEZMANN,GRIEZMANN A.,21-03-1991,132286,94,2,1,50.00%,2,100.00%,6,2,33.33%,60,12,20.00%,50,83.33%,8,66.67%,5,8.77%,57,4,7.02%,3,1,33.33%,1,1,7,1,1,100.00%,3,1,14.29%,1,33.33%,2,1,50.00%,8,2,25.00%,3,37.50%,1,33.33%,3,37.50%,1,2,1,100.00%,1,1,33.33%,0.155,0.319,1.935,0.089,1.144,0.165,0.155,0.000,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15562,THEO BERNARD FRANCOIS,HERNANDEZ,HERNANDEZ T.,06-10-1997,132286,94,,,,,,1,1,100.00%,84,4,4.76%,80,95.24%,1,25.00%,4,5.80%,69,3,4.35%,1,1,100.00%,1,2,3,2,1,50.00%,11,1,33.33%,2,18.18%,3,,,12,2,16.67%,8,66.67%,2,25.00%,1,8.33%,,2,,,,1,9.09%,0.000,0.000,1.019,0.026,1.019,0.000,0.000,0.000,423,2,50.00%,1,1,1,50.00%,4,2,50.00%,3,37.50%,1,100.00%,2,16.67%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11041,N'GOLO,KANTE',KANTE' N.,29-03-1991,132286,94,,,,,,9,,,64,2,3.13%,61,95.31%,2,100.00%,3,5.00%,60,1,1.67%,1,,,1,1,4,1,,,5,1,25.00%,1,20.00%,2,1,50.00%,11,,,5,45.45%,5,100.00%,3,27.27%,1,,,,,,,0.000,0.000,0.504,0.043,0.083,0.000,0.000,0.000,423,1,33.33%,,,1,100.00%,1,1,100.00%,2,40.00%,1,33.33%,4,36.36%,,1,100.00%,2,50.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25704,RANDAL,KOLO MUANI,KOLO MUANI R.,05-12-1998,132286,32,,,,,,,,,6,1,16.67%,5,83.33%,,,2,20.00%,10,1,10.00%,,,,,1,1,,,,1,,,1,100.00%,,,,10,2,20.00%,4,40.00%,4,100.00%,,,1,2,,,,,,0.000,0.000,0.211,0.000,-0.056,0.000,0.000,0.000,423,,,,1,,,1,,,2,50.00%,,,6,60.00%,,,,2,33.33%,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17928,JULES,KOUNDE',KOUNDE' J.,12-11-1998,132286,94,,,,,,6,5,83.33%,75,11,14.67%,67,89.33%,5,45.45%,3,5.17%,58,4,6.90%,5,4,80.00%,3,8,3,1,,,8,1,33.33%,2,25.00%,6,2,33.33%,12,1,8.33%,7,58.33%,3,42.86%,1,8.33%,2,1,,,,,,0.000,0.000,1.638,0.248,1.150,0.000,0.000,0.000,423,1,33.33%,,2,1,100.00%,,,,5,71.43%,1,100.00%,2,16.67%,,2,66.67%,1,50.00%,2,66.67%,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21438,MIKE,MAIGNAN,MAIGNAN M.,03-07-1995,132286,94,,,,,,,,,12,,,11,91.67%,,,,,8,,,,,,,,1,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,423,,,,,,,,,,,,,,,,2,,,,,2,200.00%,,,,,3,2,3,3,100.00%,2,4,2,100.00%,4,100.00%,6,4,66.67%,1,16.67%,2,66.67%,1,33.33%,1,16.67%,0.930,0.930,,,,,,,,,,,,,,
11711,KYLIAN,MBAPPE',MBAPPE' K.,20-12-1998,132286,94,5,1,20.00%,,,3,3,100.00%,52,8,15.38%,44,84.62%,4,50.00%,7,12.28%,57,4,7.02%,,,,2,4,6,2,1,50.00%,1,1,16.67%,1,100.00%,,,,10,1,10.00%,6,60.00%,2,33.33%,,,,1,,,,1,100.00%,0.713,0.290,1.221,0.000,1.589,-0.423,0.713,0.000,423,3,42.86%,,1,1,50.00%,8,5,62.50%,6,100.00%,,,1,10.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,100.00%,1,1,100.00%,,,,,,,,,
7437,ADRIEN,RABIOT,RABIOT A.,03-04-1995,132286,94,1,,,1,100.00%,6,,,67,5,7.46%,61,91.04%,2,40.00%,6,9.52%,63,2,3.17%,3,,,1,1,6,,,,6,2,33.33%,1,16.67%,1,,,9,1,11.11%,3,33.33%,3,100.00%,,,1,1,,,1,,,0.041,0.000,1.169,0.114,1.028,-0.041,0.041,0.000,423,1,16.67%,,,,,,,,1,33.33%,,,6,66.67%,,1,100.00%,1,16.67%,2,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30184,WILLIAM,SALIBA,SALIBA W.,24-03-2001,132286,94,1,,,,,,,,62,,,61,98.39%,,,1,1.85%,54,1,1.85%,,,,,,2,,,,9,,,2,22.22%,,,,14,,,6,42.86%,3,50.00%,5,35.71%,1,,,,,,,0.060,0.000,0.000,0.000,-0.129,-0.060,0.060,0.000,423,,,3,,,,1,1,100.00%,1,16.67%,2,40.00%,7,50.00%,,,,3,42.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,
17930,AURELIEN,TCHOUAMENI,TCHOUAMENI A.,27-01-2000,132286,94,4,1,25.00%,3,75.00%,10,,,101,6,5.94%,95,94.06%,4,66.67%,4,4.12%,97,2,2.06%,1,,,4,4,3,,,,5,1,33.33%,2,40.00%,1,1,100.00%,8,1,12.50%,4,50.00%,2,50.00%,3,37.50%,,1,1,100.00%,1,2,40.00%,0.351,0.504,1.006,0.030,0.591,0.153,0.351,0.000,423,,,1,,,,1,,,1,25.00%,2,66.67%,2,25.00%,,2,50.00%,1,50.00%,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25.00%,1,,,,,,,,,,,
