Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,inFuorigioco,dribbling,dribblingPositivo,dribblingPositivo_PERC,tiriDiRigore,tiriDiRigore_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolRigore,tiroGolRigore_PERC,tiroGolPiede,tiroGolPiede_PERC,tiriDaFuori,tiriDaFuori_PERC,assistInArea,assistInArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cutBack,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,FxGoT,gkGP,golProcurati,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,interventoNegativo,rinvioDalFondo,rinvioDalFondo_PERC,ammonizioni,retiSub,traversoni,tiriRigoreSubiti,parataPiede,parataPiede_PERC,retiSubGK
30865,ROBERT,ANDRICH,ANDRICH R.,22-09-1994,132287,66,1,1,100.00%,1,100.00%,1,100.00%,4,1,25.00%,57,2,3.51%,52,91.23%,2,100.00%,1,2.04%,1,100.00%,49,1,2.04%,1,1,1,100.00%,1,3,2,1,50.00%,1,50.00%,7,2,66.67%,3,42.86%,2,1,50.00%,14,1,7.14%,8,57.14%,1,12.50%,5,35.71%,3,60.00%,3,21.43%,3,100.00%,3,1,1,100.00%,2,28.57%,2,66.67%,0.223,0.112,0.128,0.000,0.148,-0.111,0.223,0.000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8214,EMRE,CAN,EMRE CAN,12-01-1994,132287,32,,,,,,,,,,,22,,,21,95.45%,,,,,,,20,,,1,,,,,,,,,,,1,,,,,,,,1,,,1,100.00%,,,1,100.00%,1,100.00%,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14216,NICLAS,FULLKRUG,FULLKRUG N.,09-02-1993,132287,32,,,,,,,,1,,,9,,,6,66.67%,,,1,6.67%,,,15,,,1,,,,,6,,,,,,,2,33.33%,,,,,,6,1,16.67%,4,66.67%,3,75.00%,2,33.33%,2,100.00%,3,50.00%,1,33.33%,,1,,,,,,,0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.000,11,1,100.00%,1,2,50.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7218,ILKAY,GUNDOGAN,GUNDOGAN I.,24-10-1990,132287,66,,,,,,,,2,,,20,1,5.00%,17,85.00%,,,3,15.00%,,,20,,,,,,,,4,1,,,1,100.00%,2,,,1,50.00%,3,3,100.00%,8,1,12.50%,3,37.50%,2,66.67%,1,12.50%,,,,,,,1,1,,,1,50.00%,,,0.000,0.000,0.404,0.000,0.404,0.000,0.000,0.000,11,,,,3,100.00%,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13310,KAI,HAVERTZ,HAVERTZ K.,11-06-1999,132287,98,5,4,80.00%,5,100.00%,1,20.00%,1,,,32,,,24,75.00%,,,10,22.22%,3,30.00%,45,7,15.56%,2,,,,,13,2,1,50.00%,1,50.00%,1,1,7.69%,,,2,2,100.00%,22,1,4.55%,12,54.55%,8,66.67%,9,40.91%,5,55.56%,4,18.18%,3,75.00%,,1,4,100.00%,,,,,1.513,2.115,0.277,0.038,1.095,0.602,0.757,0.000,11,1,50.00%,1,8,66.67%,2,6,3,50.00%,1,20.00%,1,20.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10412,BENJAMIN,HENRICHS,HENRICHS B.,23-02-1997,132287,16,1,,,,,,,1,,,5,,,4,80.00%,,,1,25.00%,,,4,,,,,,,,1,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.000,0.000,0.000,0.029,-0.029,0.029,0.000,11,,,,,,,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9831,JOSHUA,KIMMICH,KIMMICH J.,08-02-1995,132287,98,2,1,50.00%,,,,,1,1,100.00%,82,4,4.88%,73,89.02%,3,75.00%,3,4.55%,,,66,,,2,2,1,50.00%,2,5,2,1,50.00%,1,50.00%,4,1,20.00%,,,,,,7,,,4,57.14%,1,25.00%,1,14.29%,1,100.00%,4,57.14%,3,75.00%,1,,,,,,2,40.00%,0.037,0.310,0.565,0.068,0.602,0.273,0.037,0.000,11,,,1,3,75.00%,,1,,,,,,,,,,,,,2,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7487,TONI,KROOS,KROOS T.,04-01-1990,132287,98,1,1,100.00%,,,,,8,2,25.00%,98,7,7.14%,92,93.88%,4,57.14%,,,,,79,,,2,,,,,2,,,,,,3,,,,,4,1,25.00%,8,1,12.50%,5,62.50%,1,20.00%,1,12.50%,,,,,,,,1,,,,,,,0.048,0.295,1.104,0.129,1.152,0.247,0.048,0.000,11,,,4,,,,2,1,50.00%,,,,,,,,,,,1,100.00%,2,50.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24707,JAMAL,MUSIALA,MUSIALA J.,26-02-2003,132287,82,2,1,50.00%,1,50.00%,,,3,,,27,3,11.11%,23,85.19%,1,33.33%,7,17.95%,1,14.29%,39,1,2.56%,,,,,1,10,,,,,,3,3,30.00%,1,33.33%,1,1,100.00%,25,4,16.00%,13,52.00%,7,53.85%,,,,,3,12.00%,1,33.33%,,4,1,100.00%,,,2,20.00%,0.203,0.689,0.206,0.000,0.409,0.486,0.203,0.000,11,,,,6,46.15%,,17,8,47.06%,,,1,50.00%,1,100.00%,,,1,100.00%,1,50.00%,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7446,MANUEL,NEUER,NEUER M.,27-03-1986,132287,98,,,,,,,,,,,25,,,20,80.00%,,,,,,,20,,,,,,,,2,,,,,,2,1,50.00%,,,,,,1,1,100.00%,1,100.00%,,,,,,,,,,,,1,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,2,100.00%,7,12,3,42.86%,12,100.00%,6,3,50.00%,3,50.00%,1,50.00%,2.055,2.055,,,,,,,,,,,,,,,
