Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,pass,passRiusciti,passRiusciti_PERC,passRicevuti,giochiPortiereRicevuti,perdePalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,falliFatti,falliSubiti,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passChiave,passInArea,passInArea_PERC,passRicevutiInArea,passRicevutiInArea_PERC,cross,palleLaterali,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,assist,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,dribblingPositivo,dribblingPositivo_PERC,interventoPositivo,passInAreaRiusciti,passInAreaRiusciti_PERC,crossRiusciti,crossRiusciti_PERC,traversoni,triangolazione,triFatta,triFatta_PERC,ammonizioni,triChiusa,triChiusa_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,interventoNegativo,passChiaveInArea,passChiaveInArea_PERC,assistInArea,assistInArea_PERC,cutBack,cutBackRiusciti,cutBackRiusciti_PERC,inFuorigioco,tiriDiTesta,tiriDiTesta_PERC,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cutBackVincenti,cutBackVincenti_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,traversoniRiusciti,traversoniRiusciti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,golSviluppoCorner,golSviluppoCorner_PERC,thirdPass,thirdPassVincenti,thirdPassVincenti_PERC
9542,DENIS,ALIBEC,ALIBEC D.,05-01-1991,132288,23,1,1,100.00%,4,1,2,2,100.00%,1,1,100.00%,6,2,33.33%,2,33.33%,1,50.00%,1,16.67%,2,2,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21539,ANDREI,BURCA,BURCA A.,15-04-1993,132288,98,37,27,72.97%,28,3,8,2,25.00%,,,,10,,,4,40.00%,1,25.00%,6,60.00%,,,3,0.000,0.000,0.155,0.000,-0.030,0.000,0.000,0.000,486,1,1,2.70%,1,3.57%,1,1,3,1,33.33%,1,5,125.00%,3,50.00%,3,30.00%,1,33.33%,1,33.33%,2,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20265,ALEXANDRU,CICALDAU,CICALDAU A.,08-07-1997,132288,23,4,2,50.00%,4,,2,,,,,,4,,,2,50.00%,1,50.00%,,,,,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,1,25.00%,,,,,,,,,2,100.00%,,,4,100.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19571,DENIS,DRAGUS,DRAGUS D.,06-07-1999,132288,75,17,11,64.71%,26,1,13,4,30.77%,5,5,100.00%,23,1,4.35%,4,17.39%,4,100.00%,7,30.43%,1,1,1,0.262,0.523,0.128,0.031,0.163,0.262,0.262,0.000,486,1,,,2,7.69%,,,2,,,1,13,325.00%,1,14.29%,8,34.78%,2,25.00%,,,8,61.54%,2,2,100.00%,1,50.00%,1,50.00%,2,7.69%,1,50.00%,1,100.00%,1,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23248,RADU,DRAGUSIN,DRAGUSIN R.,03-02-2002,132288,98,32,23,71.88%,16,1,5,3,60.00%,3,1,33.33%,19,2,10.53%,17,89.47%,3,17.65%,5,26.32%,,2,3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,1,,,1,6.25%,,,13,2,15.38%,1,1,5.88%,4,80.00%,8,42.11%,8,100.00%,,,2,40.00%,,,,,,,,,,,,,,,,,,,1,100.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11546,IANIS,HAGI,HAGI I.,22-10-1998,132288,75,21,13,61.90%,16,,2,,,5,5,100.00%,14,,,5,35.71%,3,60.00%,2,14.29%,1,,1,0.019,0.000,0.966,0.038,0.704,-0.019,0.019,0.000,486,1,7,33.33%,1,6.25%,2,3,2,1,50.00%,2,5,100.00%,,,4,28.57%,3,75.00%,,,,,1,,,,,1,100.00%,1,6.25%,,,,,1,,,,,2,100.00%,,3,42.86%,2,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16004,DENNIS,MAN,MAN D.,26-08-1998,132288,98,24,16,66.67%,24,,4,,,3,2,66.67%,10,,,3,30.00%,2,66.67%,1,10.00%,,,3,0.327,0.000,0.715,0.000,0.581,-0.327,0.327,0.000,486,,4,16.67%,2,8.33%,3,3,2,1,50.00%,4,6,200.00%,,,2,20.00%,1,50.00%,,,,,2,,,1,50.00%,1,50.00%,3,12.50%,1,33.33%,,,,,,,,1,25.00%,,1,25.00%,1,33.33%,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14394,MARIUS,MARIN,MARIN M.,30-08-1998,132288,75,27,23,85.19%,17,,4,1,25.00%,5,3,60.00%,13,1,7.69%,6,46.15%,,,1,7.69%,3,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,486,,,,,,,,6,2,33.33%,,3,50.00%,1,100.00%,3,23.08%,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18555,RAZVAN,MARIN,MARIN R.,23-05-1996,132288,98,28,22,78.57%,24,,4,4,100.00%,5,3,60.00%,14,,,7,50.00%,4,57.14%,2,14.29%,,,3,0.000,0.000,0.645,0.000,0.410,0.000,0.000,0.000,486,,4,14.29%,1,4.17%,2,2,3,1,33.33%,4,3,42.86%,1,50.00%,3,21.43%,2,66.67%,1,33.33%,2,50.00%,,,,,,,,,,,,,,,,,,,2,50.00%,,3,75.00%,2,100.00%,,1,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24459,VALENTIN,MIHAILA,MIHAILA V.,02-02-2000,132288,23,7,5,71.43%,7,,2,1,50.00%,,,,3,,,1,33.33%,1,100.00%,,,,,2,0.000,0.000,0.301,0.000,0.301,0.000,0.000,0.000,486,,2,28.57%,,,,,1,,,1,1,100.00%,,,2,66.67%,1,50.00%,,,,,,,,,,,,2,28.57%,,,,,,,,,,,,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
