Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,cross,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriDiTesta,tiriDiTesta_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,assist,assistInArea,assistInArea_PERC,traversoni,dribbling,dribblingPositivo,dribblingPositivo_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,interventoPositivo,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoCorner,golSviluppoCorner_PERC,traversoniRiusciti,traversoniRiusciti_PERC,triangolazione,triChiusa,triChiusa_PERC,thirdPass,ammonizioni,crossRiusciti,crossRiusciti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,assistVincenti,assistVincenti_PERC,assistVincentiInArea,assistVincentiInArea_PERC,triFatta,triFatta_PERC,cutBack,tiroGolTesta,tiroGolTesta_PERC,parataPiede,parataPiede_PERC
10847,MARKO,ARNAUTOVIC,ARNAUTOVIC M.,19-04-1989,132289,96,2,2,100.00%,1,50.00%,1,50.00%,16,1,6.25%,11,68.75%,4,19.05%,1,25.00%,21,5,23.81%,1,1,100.00%,1,1,6,1,1,16.67%,1,100.00%,13,2,15.38%,2,100.00%,10,500.00%,4,30.77%,1,25.00%,6,46.15%,1,16.67%,3,1,1,50.00%,1,50.00%,2,1,100.00%,0.372,0.764,0.551,0.000,0.414,0.392,0.372,0.000,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20289,CHRISTOPH,BAUMGARTNER,BAUMGARTNER C.,01-08-1999,132289,96,5,1,20.00%,4,80.00%,1,20.00%,31,12,38.71%,16,51.61%,9,19.57%,4,44.44%,46,9,19.57%,,,,2,3,15,1,1,6.67%,,,32,13,40.63%,10,76.92%,16,123.08%,7,21.88%,2,28.57%,9,28.13%,3,33.33%,,,1,100.00%,,,2,,,1.049,0.141,2.585,0.046,1.806,-0.908,1.049,0.000,510,3,60.00%,2,1,50.00%,2,16.67%,1,1,100.00%,1,10,4,40.00%,4,2,50.00%,2,6.25%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19406,KEVIN,DANSO,DANSO K.,19-09-1998,132289,96,,,,,,,,94,2,2.13%,83,88.30%,,,,,66,1,1.52%,5,1,20.00%,,,3,16,1,33.33%,10,62.50%,11,7,63.64%,3,42.86%,1,14.29%,8,72.73%,5,62.50%,,,,,,,,,,,2,6,37.50%,0.000,0.000,0.151,0.000,0.038,0.000,0.000,0.000,510,,,2,,,,,,,,,,,,3,1,33.33%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19509,MICHAEL,GREGORITSCH,GREGORITSCH M.,18-04-1994,132289,50,3,2,66.67%,3,100.00%,,,9,2,22.22%,5,55.56%,5,35.71%,3,60.00%,14,6,42.86%,,,,,,2,,,,,,7,4,57.14%,3,75.00%,3,75.00%,5,71.43%,2,40.00%,2,28.57%,2,100.00%,,,2,100.00%,,,1,,,0.903,1.177,0.565,0.000,0.042,0.275,0.903,0.000,510,2,66.67%,,,,1,50.00%,,,,,,,,,,,,,,,1,33.33%,1,33.33%,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17396,FLORIAN,GRILLITSCH,GRILLITSCH F.,07-08-1995,132289,31,2,2,100.00%,,,2,100.00%,40,1,2.50%,38,95.00%,,,,,32,,,,,,,1,,1,,,1,100.00%,4,3,75.00%,3,100.00%,1,33.33%,1,25.00%,1,100.00%,1,25.00%,1,100.00%,1,,,,2,100.00%,,1,100.00%,0.101,0.112,0.105,0.000,0.206,0.011,0.101,0.000,510,,,,,,1,100.00%,,,,1,,,,,,,1,25.00%,1,,,,,,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15798,KONRAD,LAIMER,LAIMER K.,27-05-1997,132289,65,1,,,1,100.00%,,,39,1,2.56%,38,97.44%,1,2.70%,,,37,,,3,,,,,1,1,1,100.00%,,,8,2,25.00%,2,100.00%,3,150.00%,1,12.50%,,,4,50.00%,1,25.00%,1,,,,,,2,,,0.164,0.000,0.000,0.000,0.164,-0.164,0.164,0.000,510,,,4,,,1,100.00%,,,,,1,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20287,PHILIPP,LIENHART,LIENHART P.,11-07-1996,132289,65,2,1,50.00%,2,100.00%,,,46,,,40,86.96%,2,5.26%,2,100.00%,38,3,7.89%,4,,,,,3,7,,,1,14.29%,12,4,33.33%,1,25.00%,2,50.00%,4,33.33%,2,50.00%,2,16.67%,,,2,,1,100.00%,,,2,,,0.374,0.067,0.000,0.000,-0.052,-0.307,0.374,0.000,510,1,50.00%,2,,,,,,,,,2,1,50.00%,2,1,50.00%,,,,,1,50.00%,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16840,PHILLIPP,MWENE,MWENE P.,29-01-1994,132289,46,,,,,,,,23,1,4.35%,21,91.30%,,,,,19,1,5.26%,1,,,2,2,4,2,1,25.00%,1,50.00%,7,3,42.86%,2,66.67%,,,1,14.29%,1,100.00%,4,57.14%,1,25.00%,1,,,,,,1,,,0.000,0.000,0.241,0.023,0.241,0.000,0.000,0.000,510,,,2,,,1,100.00%,1,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15732,PATRICK,PENTZ,PENTZ P.,02-01-1997,132289,96,,,,,,,,28,,,27,96.43%,,,,,18,,,,,,,,1,5,1,100.00%,1,20.00%,1,1,100.00%,,,,,1,100.00%,1,100.00%,,,,,,,,,,,2,1,20.00%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,510,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,1,33.33%,2,21,2,100.00%,21,100.00%,5,3,60.00%,1,20.00%,2,100.00%,2,1,20.00%,1.793,-0.207,,,,,,,,,,,
17397,STEFAN,POSCH,POSCH S.,14-05-1997,132289,96,1,1,100.00%,1,100.00%,,,68,12,17.65%,55,80.88%,,,,,51,1,1.96%,3,,,3,6,5,4,,,1,25.00%,18,10,55.56%,5,50.00%,5,50.00%,2,11.11%,2,100.00%,5,27.78%,2,40.00%,1,,1,100.00%,,,2,1,25.00%,0.110,0.536,2.075,0.518,1.803,0.427,0.110,0.000,510,,,9,6,66.67%,10,83.33%,6,5,83.33%,2,3,1,33.33%,5,2,40.00%,2,11.11%,2,,,,,,,,,,,,,,2,100.00%,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.67%,1,20.00%,,,,,,,
