Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,giochiPortiereRicevuti,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdePalla,triangolazione,triFatta,triFatta_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,tiriInPortaDaArea,tiriInPortaDaArea_PERC,retiSub,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,tiriDaFuori,tiriDaFuori_PERC,cutBack,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,dribbling,inFuorigioco,traversoni,dribblingPositivo,dribblingPositivo_PERC,tiroGol,tiroGol_PERC,tiroGolFuoriArea,tiroGolFuoriArea_PERC,tiroGolPiede,tiroGolPiede_PERC,perdeMetaCampoProria,perdeMetaCampoProria_PERC,interventoNegativo,autogol,thirdPass,ammonizioni,triChiusa,triChiusa_PERC,tiroGolArea,tiroGolArea_PERC,assistVincenti,assistVincenti_PERC,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolTesta,tiroGolTesta_PERC,golSviluppoPunizioneDiretta,golSviluppoPunizioneDiretta_PERC,lanci,passaggiPortiere,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,assistVincentiInArea,assistVincentiInArea_PERC,crossVincenti,crossVincenti_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,golProcurati,parate,uscite,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC
7486,DANIEL,CARVAJAL RAMOS,CARVAJAL D.,11-01-1992,132290,83,1,1,100.00%,1,100.00%,1,100.00%,1,1,100.00%,86,5,5.81%,82,95.35%,1,20.00%,1,1.35%,1,100.00%,74,2,2.70%,1,1,1,100.00%,2,1,50.00%,3,1,1,1,100.00%,7,2,28.57%,1,1,100.00%,7,4,57.14%,2,50.00%,2,50.00%,5,71.43%,3,60.00%,1,14.29%,1,100.00%,1,100.00%,1,1,14.29%,0.124,0.163,0.535,0.036,0.472,0.039,0.124,0.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23370,MARC,CUCURELLA SASETA,CUCURELLA M.,22-07-1998,132290,68,1,1,100.00%,,,,,2,1,50.00%,95,5,5.26%,92,96.84%,2,40.00%,1,1.27%,,,79,1,1.27%,1,2,1,50.00%,2,,,3,,1,1,100.00%,8,2,25.00%,3,,,13,9,69.23%,4,44.44%,3,33.33%,4,30.77%,3,75.00%,3,23.08%,1,33.33%,,,1,2,25.00%,0.040,0.403,0.666,0.064,0.707,0.363,0.040,0.000,2,1,100.00%,1,2,15.38%,1,2,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24662,PEDRO,GONZALEZ LOPEZ,PEDRI,25-11-2002,132290,55,2,1,50.00%,1,50.00%,,,4,2,50.00%,38,4,10.53%,33,86.84%,2,50.00%,3,7.50%,2,66.67%,40,4,10.00%,,4,2,50.00%,1,,,1,8,,,,3,3,100.00%,1,1,100.00%,9,3,33.33%,2,66.67%,6,200.00%,,,,,7,77.78%,3,42.86%,1,100.00%,1,2,66.67%,0.329,0.202,1.513,0.142,1.222,-0.127,0.329,0.000,2,1,50.00%,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13034,ALEJANDRO,GRIMALDO GARCIA,GRIMALDO A.,20-09-1995,132290,27,,,,,,,,2,1,50.00%,24,3,12.50%,22,91.67%,2,66.67%,,,,,21,,,,2,1,50.00%,1,1,100.00%,2,1,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,0.000,0.000,0.655,0.085,0.543,0.000,0.000,0.000,2,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13354,RODRIGO,HERNANDEZ CASCANTE,RODRI,22-06-1996,132290,96,3,2,66.67%,1,33.33%,1,33.33%,5,1,20.00%,116,3,2.59%,105,90.52%,2,66.67%,4,3.77%,1,25.00%,106,1,0.94%,2,2,1,50.00%,,,,,4,,,,6,2,33.33%,2,,,9,8,88.89%,4,50.00%,1,12.50%,2,22.22%,2,100.00%,4,44.44%,3,75.00%,,,1,,,0.267,0.635,0.465,0.066,0.045,0.368,0.267,0.000,2,2,66.67%,,,,,,2,100.00%,1,,,1,100.00%,1,33.33%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7904,AYMERIC JEAN LOUIS GERARD ALPHONSE,LAPORTE,LAPORTE A.,27-05-1994,132290,96,2,,,1,50.00%,1,50.00%,1,,,117,2,1.71%,113,96.58%,1,50.00%,2,1.96%,1,50.00%,102,1,0.98%,5,1,,,1,,,1,1,,,,9,6,66.67%,1,,,5,5,100.00%,1,20.00%,,,3,60.00%,3,100.00%,1,20.00%,1,100.00%,,,1,,,0.189,0.000,0.181,0.023,0.150,-0.189,0.189,0.000,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24827,ROBIN AIME ROBERT,LE NORMAND,LE NORMAND R.,11-11-1996,132290,96,,,,,,,,1,,,72,1,1.39%,69,95.83%,,,,,,,61,2,3.28%,5,1,,,,,,,6,,,,10,6,60.00%,4,,,12,7,58.33%,2,28.57%,5,71.43%,2,16.67%,,,4,33.33%,3,75.00%,,,1,3,30.00%,0.000,0.000,0.117,0.033,-0.213,0.000,0.000,0.000,2,,,,,,2,,,,,,,,,,,,,,,1,16.67%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13490,MIKEL,MERINO ZAZON,MERINO M.,22-06-1996,132290,13,,,,,,,,2,,,12,1,8.33%,12,100.00%,1,100.00%,,,,,9,,,2,,,,,,,,,,,,3,2,66.67%,,,,3,3,100.00%,2,66.67%,,,2,66.67%,2,100.00%,1,33.33%,1,100.00%,,,,1,33.33%,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,ALVARO BORJA,MORATA MARTIN,MORATA A.,23-10-1992,132290,68,1,,,,,,,1,,,25,,,22,88.00%,,,1,3.70%,,,27,2,7.41%,,1,,,1,1,100.00%,1,9,,,,,,,,,,9,,,,,9,,3,33.33%,,,3,33.33%,,,,,1,,,0.069,0.000,0.262,0.040,-0.027,-0.069,0.069,0.000,2,1,100.00%,,,,3,,,,,1,,,,,,,,,,1,11.11%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7709,JESUS,NAVAS,JESUS NAVAS,21-11-1985,132290,13,,,,,,,,,,,7,1,14.29%,6,85.71%,,,,,,,6,,,,,,,1,,,1,1,,,,,,,,,,1,1,100.00%,,,,,,,,,1,100.00%,1,100.00%,,,,,,0.000,0.000,0.217,0.000,0.217,0.000,0.000,0.000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
