Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistVincenti,assistVincenti_PERC,assistInArea,assistInArea_PERC,assistVincentiInArea,assistVincentiInArea_PERC,cross,palleLaterali,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,falliSubiti,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,giochiPortiereRicevuti,dribblingPositivo,dribblingPositivo_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackleVinti,duelliTackleVinti_PERC,rinvio,rinvioDalFondo,rinvioDalFondo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,falliFatti,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,traversoni,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,cutBack,triFatta,triFatta_PERC,dribblingSub,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolPiede,tiroGolPiede_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,FxGoT,gkGP,crossRiusciti,crossRiusciti_PERC,crossVincenti,crossVincenti_PERC,ammonizioni,retiSub,traversoniRiusciti,traversoniRiusciti_PERC,thirdPass,inFuorigioco,interventoPositivo,retiSubGK,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC
17412,MICHEL,AEBISCHER,AEBISCHER M.,06-01-1997,132291,94,2,1,50.00%,63,5,7.94%,59,93.65%,2,40.00%,8,14.29%,56,2,3.57%,2,1,50.00%,1,50.00%,1,100.00%,1,1,5,1,1,100.00%,3,1,20.00%,1,33.33%,1,5,2,40.00%,2,40.00%,2,100.00%,3,150.00%,1,20.00%,1,20.00%,2,1,33.33%,0.000,0.000,0.774,0.054,0.231,0.000,0.000,0.000,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14955,MANUEL,AKANJI,AKANJI M.,19-07-1995,132291,95,5,,,60,,,57,95.00%,,,,,44,,,1,,,,,,,,,3,,,,10,1,33.33%,5,50.00%,1,7,,,4,57.14%,2,50.00%,2,50.00%,2,28.57%,4,57.14%,,1,10.00%,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,418,9,1,100.00%,1,50.00%,2,50.00%,5,5,100.00%,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52959,KWADWO,DUAH,DUAH K.,24-02-1997,132291,15,,,,4,,,3,75.00%,,,1,16.67%,6,,,,,,,,,,,,3,,,,,,,,,,6,,,3,50.00%,,,2,66.67%,2,33.33%,3,50.00%,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,1,,,2,100.00%,1,33.33%,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7809,BREEL,EMBOLO,EMBOLO B.,14-02-1997,132291,80,2,,,14,3,21.43%,11,78.57%,1,33.33%,7,28.00%,25,4,16.00%,1,,,,,,,,1,12,1,1,100.00%,2,1,8.33%,2,100.00%,3,16,1,6.25%,6,37.50%,2,33.33%,8,133.33%,5,31.25%,7,43.75%,1,1,50.00%,0.196,0.659,0.967,0.028,0.628,0.463,0.196,0.000,418,1,1,33.33%,1,20.00%,3,42.86%,,,,,,,2,2,100.00%,1,50.00%,1,50.00%,2,28.57%,1,100.00%,1,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10289,REMO,FREULER,FREULER R.,15-04-1992,132291,95,1,,,54,3,5.56%,49,90.74%,1,33.33%,4,8.70%,46,1,2.17%,,,,,,,,,1,5,2,,,6,3,60.00%,3,50.00%,,8,,,4,50.00%,1,25.00%,1,25.00%,1,12.50%,2,25.00%,,3,50.00%,0.488,0.945,0.657,0.000,0.959,0.457,0.488,0.000,418,1,,,1,100.00%,2,100.00%,,,,,,2,3,2,66.67%,1,33.33%,2,66.67%,1,25.00%,,,,1,50.00%,1,50.00%,1,2,100.00%,3,2,66.67%,1,33.33%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24817,DAN,NDOYE,NDOYE D.,25-10-2000,132291,80,2,1,50.00%,35,5,14.29%,30,85.71%,1,20.00%,5,16.67%,30,2,6.67%,1,,,,,,,,2,6,,,,6,1,16.67%,4,66.67%,6,16,4,25.00%,9,56.25%,6,66.67%,2,22.22%,,,2,12.50%,4,2,33.33%,0.330,0.156,0.427,0.023,0.521,-0.174,0.330,0.000,418,,4,66.67%,,,1,50.00%,,,,,,2,3,2,66.67%,2,66.67%,1,33.33%,1,20.00%,,,2,2,100.00%,,,,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24663,FABIAN,RIEDER,RIEDER F.,16-02-2002,132291,74,,,,28,6,21.43%,20,71.43%,1,16.67%,4,14.29%,28,,,,,,,,,,1,1,7,,,,2,,,1,50.00%,4,16,4,25.00%,11,68.75%,7,63.64%,3,27.27%,,,5,31.25%,4,,,0.035,0.423,1.197,0.000,0.964,0.388,0.035,0.000,418,,3,75.00%,,,3,60.00%,,,,,,,2,1,50.00%,,,2,100.00%,,,,,,,,1,100.00%,,,,3,2,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8585,RICARDO,RODRIGUEZ,RODRIGUEZ R.,25-08-1992,132291,95,5,,,68,,,60,88.24%,,,3,5.08%,59,,,,,,,,,,1,2,6,1,,,4,1,16.67%,1,25.00%,,3,,,1,33.33%,1,100.00%,1,100.00%,1,33.33%,1,33.33%,,,,0.066,0.044,0.135,0.000,0.200,-0.021,0.066,0.000,418,1,,,,,,,,,,2,33.33%,,2,1,50.00%,,,2,100.00%,,,,,,,,1,100.00%,,1,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7798,FABIAN,SCHAR,SCHAR F.,20-12-1991,132291,95,4,1,25.00%,44,2,4.55%,41,93.18%,1,50.00%,1,2.70%,37,,,1,,,,,,,,,2,,,,5,,,,,3,10,1,10.00%,8,80.00%,6,75.00%,1,12.50%,1,10.00%,1,10.00%,1,,,0.060,0.052,0.000,0.033,0.060,-0.008,0.060,0.000,418,4,3,100.00%,,,1,100.00%,,,,,,1,1,1,100.00%,1,100.00%,,,,,,,,1,100.00%,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24664,VINCENT,SIERRO,SIERRO V.,08-10-1995,132291,16,,,,9,1,11.11%,5,55.56%,,,1,11.11%,9,,,,,,,,,,,1,3,,,,1,1,33.33%,,,,3,1,33.33%,1,33.33%,,,1,100.00%,1,33.33%,,,1,,,0.000,0.000,0.195,0.000,0.195,0.000,0.000,0.000,418,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9554,YANN,SOMMER,SOMMER Y.,17-12-1988,132291,95,,,,28,1,3.57%,27,96.43%,,,,,22,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,,,,,,5,1,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,100.00%,2,21,2,100.00%,21,100.00%,1,20.00%,3,60.00%,1,100.00%,0.746,0.746,,,,,,,,,,,,,,
8446,RENATO,STEFFEN,STEFFEN R.,03-11-1991,132291,1,,,,2,,,2,100.00%,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25684,LEONIDAS,STERGIOU,STERGIOU L.,03-03-2002,132291,21,,,,5,,,4,80.00%,,,,,3,,,,,,,,,,,,1,,,,,1,100.00%,,,1,3,,,1,33.33%,,,,,1,33.33%,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,418,,,,1,100.00%,,,,,,2,200.00%,,,,,,,,,,,,,,,,,,,,,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23932,RUBEN,VARGAS,VARGAS R.,05-08-1998,132291,74,2,1,50.00%,32,4,12.50%,27,84.38%,2,50.00%,1,3.03%,33,1,3.03%,2,1,50.00%,1,50.00%,1,100.00%,2,2,6,,,,2,1,16.67%,2,100.00%,2,11,1,9.09%,2,18.18%,1,50.00%,7,350.00%,3,27.27%,3,27.27%,1,2,100.00%,0.096,0.461,0.997,0.073,1.093,0.365,0.096,0.000,418,,,,,,1,33.33%,,,,2,33.33%,1,1,1,100.00%,1,100.00%,,,1,100.00%,,,,1,100.00%,,,,,,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,1,50.00%,1,50.00%,,,,,,,,,,
10018,GRANIT,XHAKA,XHAKA G.,27-09-1992,132291,95,15,2,13.33%,99,3,3.03%,95,95.96%,3,100.00%,3,3.49%,86,,,2,,,1,50.00%,,,,,1,2,2,100.00%,7,,,3,42.86%,,5,1,20.00%,3,60.00%,1,33.33%,,,1,20.00%,,,1,2,28.57%,0.088,0.065,0.524,0.076,0.114,-0.023,0.088,0.000,418,6,,,1,100.00%,,,,,,,,1,1,1,100.00%,,,1,100.00%,,,,,,,,1,100.00%,,,,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16714,STEVEN,ZUBER,ZUBER S.,17-08-1991,132291,21,2,,,13,,,12,92.31%,,,2,12.50%,16,2,12.50%,,,,,,,,,,2,1,,,,1,50.00%,,,,3,,,,,,,2,,1,33.33%,,,,,,0.143,0.000,0.000,0.000,-0.124,-0.143,0.143,0.000,418,,,,,,,,,,,2,100.00%,1,1,,,1,100.00%,,,1,50.00%,,,,,,,,,1,100.00%,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6438,NICOLO',BARELLA,BARELLA N.,07-02-1997,132291,67,,,,28,2,7.14%,22,78.57%,,,2,6.90%,29,,,,,,,,,,,,7,1,,,1,3,42.86%,,,1,11,,,2,18.18%,,,4,200.00%,2,18.18%,3,27.27%,,,,0.000,0.000,0.290,0.000,0.290,0.000,0.000,0.000,1,,,,1,50.00%,1,33.33%,,,,4,57.14%,2,,,,,,,,,,,,,,,,,,1,100.00%,3,3,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,
12940,ALESSANDRO,BASTONI,BASTONI A.,13-04-1999,132291,95,1,,,73,5,6.85%,63,86.30%,1,20.00%,,,63,1,1.59%,,,,,,,,,2,6,1,,,6,2,33.33%,1,16.67%,,10,,,5,50.00%,3,60.00%,4,80.00%,4,40.00%,3,30.00%,,,,0.000,0.000,0.700,0.000,0.700,0.000,0.000,0.000,1,3,,,2,50.00%,2,66.67%,1,1,100.00%,2,33.33%,1,,,,,,,,,,,,1,,,,,,1,100.00%,2,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
21320,ANDREA,CAMBIASO,CAMBIASO A.,20-02-2000,132291,18,1,,,12,1,8.33%,10,83.33%,,,,,9,,,,,,,,,,1,2,3,,,,,1,33.33%,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.248,0.000,0.248,0.000,0.000,0.000,1,,,,,,,,,,,2,66.67%,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11798,FEDERICO,CHIESA,CHIESA F.,25-10-1997,132291,95,2,,,32,7,21.88%,20,62.50%,1,14.29%,2,6.67%,30,,,,,,,,,,2,4,10,,,,3,6,60.00%,1,33.33%,7,14,1,7.14%,8,57.14%,2,25.00%,2,25.00%,,,4,28.57%,1,1,33.33%,0.215,0.058,1.528,0.000,1.743,-0.157,0.215,0.000,1,,4,57.14%,,,3,75.00%,,,,4,40.00%,,3,1,33.33%,1,33.33%,2,66.67%,,,,,1,,,1,100.00%,,,,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,100.00%,,,,,,
8131,BRYAN,CRISTANTE,CRISTANTE B.,03-03-1995,132291,77,4,1,25.00%,60,4,6.67%,54,90.00%,1,25.00%,3,5.08%,59,1,1.69%,1,,,,,,,,2,3,,,,,1,33.33%,,,,4,,,3,75.00%,1,33.33%,,,1,25.00%,1,25.00%,,,,0.047,0.304,0.531,0.052,0.456,0.257,0.047,0.000,1,1,,,1,100.00%,1,100.00%,,,,,,1,1,1,100.00%,,,1,100.00%,1,33.33%,,,2,,,1,100.00%,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,
6314,MATTEO,DARMIAN,DARMIAN M.,02-12-1989,132291,77,,,,49,,,45,91.84%,,,,,35,,,,,,,,,,,,4,,,,8,4,100.00%,2,25.00%,,12,1,8.33%,5,41.67%,3,60.00%,2,40.00%,,,4,33.33%,1,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,1,,,,,1,25.00%,,,,6,150.00%,3,,,,,,,,,,,,,,,,,,,,4,1,25.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
