Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,tiri,tiriInPorta,tiriInPorta_PERC,tiriDaFuori,tiriDaFuori_PERC,passChiave,passChiaveInArea,passChiaveInArea_PERC,pass,passInArea,passInArea_PERC,passRiusciti,passRiusciti_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,passRicevutiInArea,passRicevutiInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdePalla,recuperaPalla,perdeMetaCampoProria,perdeMetaCampoProria_PERC,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribbling,dribblingSub,duelli,duelliFalliDiGioco,duelliFalliDiGioco_PERC,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliAereiVinti,duelliAereiVinti_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,falliSubiti,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,giochiPortiereRicevuti,traversoni,triangolazione,triFatta,triFatta_PERC,triChiusa,triChiusa_PERC,dribblingPositivo,dribblingPositivo_PERC,ammonizioni,interventoNegativo,tiriDaArea,tiriDaArea_PERC,tiriDiTesta,tiriDiTesta_PERC,tiriDiRigore,tiriDiRigore_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,inFuorigioco,tiriInPortaDaArea,tiriInPortaDaArea_PERC,thirdPass,parate,interventoPositivo,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,parataMano,parataMano_PERC,parataPiede,parataPiede_PERC,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC,uscite,tiriRigoreSubiti,tiriRigoreParati,tiriRigoreParati_PERC,rinvioPiede,rinvioPiede_PERC,cutBack
6345,BRUNO MIGUEL,BORGES FERNANDES,FERNANDES B.,08-09-1994,132293,128,1,1,100.00%,1,100.00%,3,1,33.33%,97,17,17.53%,80,82.47%,8,47.06%,4,4.40%,91,1,1.10%,2,1,50.00%,7,2,28.57%,7,13,4,3,23.08%,2,50.00%,1,2,22,1,4.55%,6,27.27%,1,16.67%,11,183.33%,6,27.27%,2,33.33%,10,45.45%,1,10.00%,2,1,1,100.00%,1,25.00%,4,30.77%,0.756,1.044,2.764,0.108,2.881,0.288,0.000,0.000,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13033,NELSON,CABRAL SEMEDO,SEMEDO N.,16-11-1993,132293,4,,,,,,,,,4,,,4,100.00%,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9759,JOAO PEDRO,CAVACO CANCELO,JOAO CANCELO,27-05-1994,132293,124,,,,,,2,1,50.00%,81,7,8.64%,68,83.95%,2,28.57%,2,3.17%,63,1,1.59%,1,1,100.00%,4,2,50.00%,6,11,11,2,18.18%,5,45.45%,10,1,31,2,6.45%,19,61.29%,12,63.16%,8,42.11%,5,16.13%,2,40.00%,13,41.94%,7,53.85%,,2,,,2,18.18%,4,36.36%,0.000,0.000,1.927,0.081,1.595,0.000,0.000,0.000,427,1,1,3,2,66.67%,1,33.33%,7,70.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7473,RUBEN DIOGO,DA SILVA NEVES,NEVES R.,13-03-1997,132293,4,1,,,1,100.00%,,,,5,,,5,100.00%,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.000,0.000,0.000,0.031,-0.031,0.031,0.000,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7483,KEPLER LAVERAN,DE LIMA FERREIRA,PEPE,26-02-1983,132293,124,,,,,,2,,,128,3,2.34%,111,86.72%,1,33.33%,,,97,2,2.06%,,,,,,,,5,15,1,20.00%,4,26.67%,,1,20,2,10.00%,16,80.00%,4,25.00%,1,6.25%,10,50.00%,8,80.00%,6,30.00%,5,83.33%,1,2,,,2,13.33%,2,40.00%,0.000,0.000,0.593,0.000,0.065,0.000,0.000,0.000,427,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7490,CRISTIANO RONALDO,DOS SANTOS AVEIRO,CRISTIANO RONALDO,05-02-1985,132293,128,6,4,66.67%,3,50.00%,,,,21,2,9.52%,17,80.95%,,,3,9.68%,31,6,19.35%,,,,1,,,1,11,,2,18.18%,,,2,,19,,,3,15.79%,3,100.00%,11,366.67%,9,47.37%,1,11.11%,6,31.58%,2,33.33%,2,,1,25.00%,,,2,18.18%,2.054,2.234,0.872,0.000,1.633,0.179,0.543,0.000,427,,,,,,,,,,,,3,50.00%,1,16.67%,1,16.67%,2,66.67%,2,3,75.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16957,RUBEN,DOS SANTOS GATO ALVES DIAS,RUBEN DIAS,14-05-1997,132293,128,1,,,,,1,,,108,1,0.93%,99,91.67%,,,,,89,1,1.12%,,,,1,,,1,3,9,1,33.33%,4,44.44%,1,,13,,,9,69.23%,2,22.22%,3,33.33%,7,53.85%,5,71.43%,5,38.46%,4,80.00%,,,,,1,11.11%,,,0.115,0.000,0.110,0.000,0.225,-0.115,0.115,0.000,427,5,,1,,,1,100.00%,,,,,1,100.00%,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25459,FRANCISCO,FERNANDES DA CONCEICAO,CONCEICAO F.,14-12-2002,132293,51,,,,,,1,,,26,3,11.54%,22,84.62%,1,33.33%,1,3.57%,28,,,1,,,3,1,33.33%,4,4,4,3,75.00%,3,75.00%,4,,13,,,4,30.77%,2,50.00%,3,75.00%,1,7.69%,,,8,61.54%,2,25.00%,,,,,,,6,150.00%,0.000,0.000,0.335,0.046,0.335,0.000,0.000,0.000,427,,,1,1,100.00%,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900,RAFAEL,LEAO,LEAO R.,10-06-1999,132293,78,,,,,,3,,,37,4,10.81%,33,89.19%,3,75.00%,,,43,,,1,,,2,2,100.00%,4,5,3,1,20.00%,1,33.33%,6,,19,3,15.79%,9,47.37%,7,77.78%,9,100.00%,,,,,9,47.37%,2,22.22%,1,3,,,1,33.33%,,,0.000,0.000,1.114,0.031,1.114,0.000,0.000,0.000,427,,1,2,1,50.00%,1,50.00%,4,66.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15421,JOAO MARIA,LOBO ALVES PALHARES COSTA PALHINHA GONCALVES,PALHINHA J.,09-07-1995,132293,128,2,1,50.00%,1,50.00%,1,,,66,3,4.55%,55,83.33%,,,2,4.08%,49,4,8.16%,,,,,,,,4,14,1,25.00%,6,42.86%,1,1,28,4,14.29%,20,71.43%,9,45.00%,6,30.00%,11,39.29%,6,54.55%,11,39.29%,9,81.82%,1,4,,,3,21.43%,2,50.00%,0.216,0.098,1.193,0.000,0.248,-0.118,0.216,0.000,427,,,,,,,,,,,,1,50.00%,1,50.00%,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
