Player ID,First Name,Last Name,Known Name,Born Date,Fixture ID,playTime,passChiave,pass,passRiusciti,passRiusciti_PERC,passChiaveRicevuti,passChiaveRicevuti_PERC,passRicevuti,perdePalla,triangolazione,triChiusa,triChiusa_PERC,recuperaPalla,recuperaMetaCampoAvversaria,recuperaMetaCampoAvversaria_PERC,dribblingSub,duelli,duelliVinti,duelliVinti_PERC,duelliVintiMetaCampo,duelliVintiMetaCampo_PERC,duelliPersiMetaCampo,duelliPersiMetaCampo_PERC,duelliAerei,duelliAerei_PERC,duelliTackle,duelliTackle_PERC,duelliTackleVinti,duelliTackleVinti_PERC,falliFatti,ammonizioni,retiSub,xG,xGoT,xA,xAe,xOvA,shotQuality,np_xG,op_xG,Team ID,passInArea,passInArea_PERC,passInAreaRiusciti,passInAreaRiusciti_PERC,passRicevutiInArea,passRicevutiInArea_PERC,dribbling,inFuorigioco,tiri,tiriDaFuori,tiriDaFuori_PERC,passChiaveInArea,passChiaveInArea_PERC,assist,assistInArea,assistInArea_PERC,cross,crossRiusciti,crossRiusciti_PERC,palleLaterali,perdeMetaCampoProria,perdeMetaCampoProria_PERC,duelliAereiVinti,duelliAereiVinti_PERC,recuperaTerzoOffensivo,recuperaTerzoOffensivo_PERC,triFatta,triFatta_PERC,dribblingPositivo,dribblingPositivo_PERC,tiriInPorta,tiriInPorta_PERC,tiriDaArea,tiriDaArea_PERC,passChiaveRicevutiInArea,passChiaveRicevutiInArea_PERC,traversoni,duelliFalliDiGioco,duelliFalliDiGioco_PERC,falliSubiti,tiriInPortaDaArea,tiriInPortaDaArea_PERC,tiriInPortaDaFuori,tiriInPortaDaFuori_PERC,tiriDiTesta,tiriDiTesta_PERC,giochiPortiereRicevuti,interventoPositivo,dribblingSubitoNegativo,dribblingSubitoNegativo_PERC,perdeTerzoDifensivo,perdeTerzoDifensivo_PERC,parate,uscite,tiriInPortaSubitiPortiere,tiriInPortaSubitiParati,tiriInPortaSubitiParati_PERC,lanci,passaggiPortiere,lanciPositivi,lanciPositivi_PERC,passaggiPortierePositivi,passaggiPortierePositivi_PERC,rinvio,rinvioMano,rinvioMano_PERC,rinvioPiede,rinvioPiede_PERC,parataMano,parataMano_PERC,retiSubGK,rinvioDalFondo,rinvioDalFondo_PERC,FxGoT,gkGP,golProcurati,tiriDaAreaPiccola,tiriDaAreaPiccola_PERC,tiroGol,tiroGol_PERC,tiroGolArea,tiroGolArea_PERC,tiroGolAreaPiccola,tiroGolAreaPiccola_PERC,tiroGolPiede,tiroGolPiede_PERC,golSviluppoPunizioneLaterale,golSviluppoPunizioneLaterale_PERC,giochiPortiereRicevutiMetaCampoAvversaria,giochiPortiereRicevutiMetaCampoAvversaria_PERC
17799,TYLER,ADAMS,ADAMS T.,14-02-1999,132446,102,2,35,29,82.86%,1,4.55%,22,4,1,1,100.00%,7,4,57.14%,2,8,3,37.50%,1,33.33%,4,133.33%,1,12.50%,3,37.50%,1,33.33%,2,1,1,0.000,0.000,0.165,0.000,0.165,0.000,0.000,0.000,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24860,FOLARIN,BALOGUN,BALOGUN F.,03-07-2001,132446,41,,8,6,75.00%,2,15.38%,13,5,,,,,,,,9,1,11.11%,,,8,800.00%,1,11.11%,7,77.78%,1,14.29%,,,,0.000,0.000,0.104,0.000,-0.004,0.000,0.000,0.000,819,1,12.50%,1,100.00%,2,15.38%,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17390,WESTON,MCKENNIE,MCKENNIE W.,28-08-1998,132446,102,2,34,27,79.41%,3,12.00%,25,6,1,1,100.00%,3,2,66.67%,,11,3,27.27%,2,66.67%,7,233.33%,4,36.36%,6,54.55%,1,16.67%,1,,1,0.128,0.000,1.075,0.025,0.743,-0.128,0.128,0.000,819,8,23.53%,4,50.00%,1,4.00%,,,1,1,100.00%,1,50.00%,1,1,100.00%,2,2,100.00%,2,1,16.67%,2,50.00%,1,33.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26315,YUNUS,MUSAH,MUSAH Y.,29-11-2002,132446,78,,13,10,76.92%,,,12,4,,,,1,,,,5,,,,,4,,2,40.00%,,,,,3,,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,819,,,,,,,,,,,,,,,,,,,,,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59298,RICARDO DANIEL,PEPI,PEPI R.,09-01-2003,132446,62,1,19,14,73.68%,3,17.65%,17,5,1,,,,,,,4,2,50.00%,2,100.00%,2,100.00%,,,3,75.00%,1,33.33%,,,1,0.000,0.000,0.959,0.040,0.601,0.000,0.000,0.000,819,,,,,2,11.76%,1,,,,,,,1,,,,,,,2,40.00%,,,,,1,100.00%,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10444,CHRISTIAN,PULISIC,PULISIC C.,18-09-1998,132446,102,1,33,17,51.52%,7,19.44%,36,14,1,1,100.00%,,,,,16,5,31.25%,5,100.00%,6,120.00%,2,12.50%,7,43.75%,1,14.29%,1,,1,0.362,0.293,1.584,0.044,1.281,-0.069,0.362,0.000,819,10,30.30%,2,20.00%,1,2.78%,5,,2,1,50.00%,1,100.00%,1,1,100.00%,,,,1,3,21.43%,,,,,,,3,60.00%,2,100.00%,1,50.00%,1,14.29%,1,1,6.25%,1,1,50.00%,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26314,TIM,REAM,REAM T.,05-10-1987,132446,95,5,50,40,80.00%,1,3.03%,33,3,,,,8,1,12.50%,,6,3,50.00%,2,66.67%,1,33.33%,5,83.33%,,,,,,,1,0.094,0.000,0.000,0.000,-0.119,-0.094,0.094,0.000,819,2,4.00%,1,50.00%,1,3.03%,1,,1,,,1,20.00%,,,,,,,,,,2,40.00%,,,,,1,100.00%,,,1,100.00%,1,100.00%,,,,,,,,,1,100.00%,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23343,GIOVANNI,REYNA,REYNA G.,13-11-2002,132446,102,4,31,21,67.74%,2,6.90%,29,6,3,,,1,,,1,11,5,45.45%,5,100.00%,4,80.00%,1,9.09%,4,36.36%,2,50.00%,1,,1,0.000,0.000,0.993,0.065,0.851,0.000,0.000,0.000,819,6,19.35%,3,50.00%,2,6.90%,2,,,,,1,25.00%,2,1,50.00%,1,1,100.00%,2,,,,,,,3,100.00%,1,50.00%,,,,,1,50.00%,1,2,18.18%,2,,,,,,,,,1,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24935,CHRISTOPHER JEFFREY,RICHARDS,RICHARDS C.,28-03-2000,132446,102,3,48,40,83.33%,,,28,5,,,,10,3,30.00%,2,10,7,70.00%,5,71.43%,1,14.29%,5,50.00%,2,20.00%,2,100.00%,1,1,1,0.000,0.000,0.378,0.000,0.378,0.000,0.000,0.000,819,3,6.25%,1,33.33%,1,3.57%,,,,,,,,,,,,,,,,,4,80.00%,1,10.00%,,,,,,,,,,,,,,,,,,,,,5,,1,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17797,ANTONEE,ROBINSON,ROBINSON A.,08-08-1997,132446,102,1,42,30,71.43%,,,18,4,2,2,100.00%,4,2,50.00%,2,13,6,46.15%,4,66.67%,6,100.00%,,,7,53.85%,3,42.86%,1,,1,0.075,0.071,0.141,0.000,0.215,-0.004,0.075,0.000,819,4,9.52%,1,25.00%,,,2,,1,,,,,,,,1,,,2,1,25.00%,,,,,,,1,50.00%,1,100.00%,1,100.00%,,,,1,7.69%,1,1,100.00%,,,1,100.00%,1,,1,50.00%,2,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
